diputado_id,diputado_nombre,modal_party,modal_party_share,modal_caucus,modal_caucus_share,modal_alignment,modal_alignment_share,specs_estimated,baseline_coord_aligned,baseline_z,baseline_binary_votes,max_abs_z_shift_from_baseline,sd_z_across_specs,min_rank,max_rank,rank_range,coord_raw_lop025,z_raw_lop025,rank_raw_lop025,coord_raw_lop050,z_raw_lop050,rank_raw_lop050,coord_raw_lop100,z_raw_lop100,rank_raw_lop100,coord_dedup_lop025,z_dedup_lop025,rank_dedup_lop025,coord_cap20_balanced_lop025,z_cap20_balanced_lop025,rank_cap20_balanced_lop025,coord_cap10_balanced_lop025,z_cap10_balanced_lop025,rank_cap10_balanced_lop025
1152,Gloria Naveillan Arriagada,Partido Nacional Libertario,1.0,Comité Partido Nacional Libertarios,1.0,no_alineado,1.0,6,-0.85929924249649,-0.9025514330566374,244,0.39128992692390907,0.20151644343546504,2,56,54,-0.85929924249649,-0.9025514330566374,48,-0.87295526266098,-0.9030854749567357,50,-0.761426508426666,-0.7887630906309631,56,-0.858866393566132,-0.9013114263984674,48,-1.0,-1.2918309216475796,2,-1.0,-1.2938413599805465,2
1148,Javiera Morales Alvarado,Frente Amplio,1.0,Frente Amplio,1.0,oposicion,1.0,5,0.639329791069031,1.1457437551207683,87,0.3763450989231898,0.17145643612554756,123,147,24,0.639329791069031,1.1457437551207683,123,0.626721501350403,1.1579766788810584,124,0.869681179523468,1.522088854043958,143,0.63204824924469,1.141237858391202,123,1.0,1.4710509487917718,147,,,
1259,Juan Marcelo Valenzuela Henríquez,Partido de la Gente,1.0,Comité Partido de la Gente,1.0,no_alineado,1.0,6,-0.21808123588562,-0.02614791484311543,256,0.2765159627058527,0.1180510957224076,79,79,0,-0.21808123588562,-0.02614791484311543,79,-0.243868499994278,-0.03850788788755553,79,-0.241539776325226,-0.0522198968476529,79,-0.210934981703758,-0.013647033085389311,79,0.0609937384724617,0.17386926069003786,79,0.0510837584733963,0.2503680478627373,79
1015,Jorge Brito Hasbún,Frente Amplio,1.0,Frente Amplio,1.0,oposicion,1.0,6,0.763551115989685,1.3155268945135985,237,0.27249494188258816,0.10081547004681815,140,144,4,0.763551115989685,1.3155268945135985,140,0.743838846683502,1.3189354493419236,142,0.916219770908356,1.5880218363961867,144,0.762316048145294,1.319704412971359,140,0.975267112255096,1.4368839252147683,141,0.879084169864655,1.4668324967336341,141
1235,Javier Olivares Avendaño,Partido de la Gente,1.0,Comité Partido de la Gente,1.0,no_alineado,1.0,6,-0.417377352714539,-0.29854172810849106,268,0.2666286982366857,0.11079560661408376,78,78,0,-0.417377352714539,-0.29854172810849106,78,-0.434691488742828,-0.3007630948961948,78,-0.398999929428101,-0.27529965037629517,78,-0.413522064685822,-0.2911908237027475,78,-0.12790684401989,-0.08708573665173797,78,-0.141054078936577,-0.03191302987180532,78
1192,Lilian Betancurt Delgado,Partido de la Gente,1.0,Comité Partido de la Gente,1.0,no_alineado,1.0,6,-0.0820343121886253,0.15979820853599602,161,0.23498227373803965,0.10110470975877633,81,90,9,-0.0820343121886253,0.15979820853599602,82,-0.112257599830627,0.1423699198303258,82,-0.124597497284412,0.11345665224384027,82,-0.077951654791832,0.1685397879929861,81,0.156416788697243,0.30569056843407383,81,0.149379730224609,0.39478048227403567,90
1075,Diego Schalper Sepúlveda,Renovación Nacional,1.0,"Renovación Nacional, Evopoli e Independientes",1.0,oficialismo,1.0,6,-0.809191346168518,-0.8340649960268626,248,0.2079669577006279,0.10568725177665472,12,58,46,-0.809191346168518,-0.8340649960268626,55,-0.830089390277863,-0.8441732950922136,54,-0.743189513683319,-0.7629260505145914,58,-0.806382834911346,-0.8294090839602409,55,-0.819175064563751,-1.0420319537274905,12,-0.818590223789215,-1.0273215124031192,12
1195,Carlos Carvajal Gallardo,Independientes,1.0,Partido Por la Democracia e Independientes,1.0,oposicion,1.0,6,0.340061336755753,0.7367098172924333,249,0.20720696991870646,0.07513375858672781,91,106,15,0.340061336755753,0.7367098172924333,106,0.304197072982788,0.7147192323773299,106,0.258752346038818,0.6565628723166592,106,0.330161720514297,0.7276540785824601,106,0.370799720287323,0.6018479259450097,94,0.241080045700073,0.5295028473737269,91
1215,Álvaro Jofré Cáceres,Partido Nacional Libertario,1.0,Comité Partido Nacional Libertarios,1.0,no_alineado,1.0,6,-0.992805957794189,-1.085025652098712,275,0.20680526954886758,0.1264065911342595,4,40,36,-0.992805957794189,-1.085025652098712,15,-0.986752510070801,-1.0594813100298448,30,-0.865669727325439,-0.936448400982322,40,-0.993245899677277,-1.085411009443837,23,-1.0,-1.2918309216475796,4,-0.992788076400757,-1.283245895840968,7
1212,Erich Grohs Marín,Partido Nacional Libertario,1.0,Comité Partido Nacional Libertarios,1.0,no_alineado,1.0,6,-0.995947360992432,-1.0893192570609604,264,0.20452210291958606,0.12376640055974299,1,35,34,-0.995947360992432,-1.0893192570609604,6,-1.0,-1.0776878334498556,1,-0.874470114707947,-0.948916242588978,35,-0.995607137680054,-1.0886458995276163,6,-1.0,-1.2918309216475796,3,-1.0,-1.2938413599805465,3
