spec_id,group_type,group,n_members,mean_coord,median_coord,q25_coord,q75_coord,min_coord,max_coord,mean_z
raw_lop025,party,Evolución Política,2,-0.7552978098392484,-0.7552978098392484,-0.7679324895143507,-0.7426631301641462,-0.780567169189453,-0.730028450489044,-0.7604044244880418
raw_lop025,party,Federación Regionalista Verde Social,1,0.21259069442749,0.21259069442749,0.21259069442749,0.21259069442749,0.21259069442749,0.21259069442749,0.5624855780264529
raw_lop025,party,Frente Amplio,15,0.7406972885131836,0.751131236553192,0.733826607465744,0.761631339788437,0.639329791069031,0.790138483047485,1.2842907554804577
raw_lop025,party,Independientes,25,-0.03342137336730948,0.288333207368851,-0.787695109844208,0.434719085693359,-0.993116140365601,0.932657659053802,0.22624136854468702
raw_lop025,party,Partido Acción Humanista,1,0.902786135673523,0.902786135673523,0.902786135673523,0.902786135673523,0.902786135673523,0.902786135673523,1.5058304415933323
raw_lop025,party,Partido Comunista,8,0.956133134663105,0.952311784029007,0.9233842045068743,0.991220951080322,0.917440712451935,1.0,1.5787440171925524
raw_lop025,party,Partido Demócrata Cristiano,7,0.2566556675093516,0.245622903108597,0.232943505048752,0.2755631506443025,0.199255913496017,0.334697544574738,0.6227126724635619
raw_lop025,party,Partido Demócratas Chile,1,-0.697044610977173,-0.697044610977173,-0.697044610977173,-0.697044610977173,-0.697044610977173,-0.697044610977173,-0.6807851563084799
raw_lop025,party,Partido Liberal de Chile,2,0.30453027784824405,0.30453027784824405,0.2844018265604975,0.32465872913599053,0.264273375272751,0.344787180423737,0.6881467003628582
raw_lop025,party,Partido Nacional Libertario,8,-0.9668611139059067,-0.9976453185081484,-1.0,-0.966477736830711,-1.0,-0.85929924249649,-1.0495647757216235
raw_lop025,party,Partido Por la Democracia,4,0.4197153970599175,0.402250051498413,0.4006979539990423,0.42126749455928825,0.397401720285416,0.476959764957428,0.8455793405604007
raw_lop025,party,Partido Radical de Chile,1,0.337180376052856,0.337180376052856,0.337180376052856,0.337180376052856,0.337180376052856,0.337180376052856,0.7327721797497838
raw_lop025,party,Partido Republicano,28,-0.9874053874186108,-0.992275357246399,-0.993062406778336,-0.9863514155149462,-1.0,-0.94441020488739,-1.0776442641328112
raw_lop025,party,Partido Social Cristiano,3,-0.71386456489563,-0.725470304489136,-0.727170377969742,-0.706361621618271,-0.728870451450348,-0.687252938747406,-0.7037743216755573
raw_lop025,party,Partido Socialista,10,0.6245770514011383,0.6076802909374235,0.579050049185753,0.648384287953377,0.518639802932739,0.762329995632172,1.1255800154644744
raw_lop025,party,Partido de la Gente,14,-0.06892139584358252,-0.07395577058196065,-0.10301734320819368,0.06423530168831347,-0.470514535903931,0.170654118061066,0.17772067156783858
raw_lop025,party,Renovación Nacional,11,-0.7696929953315041,-0.763008773326874,-0.790871798992157,-0.7476015090942381,-0.837105631828308,-0.724691212177277,-0.7800794664872994
raw_lop025,party,Unión Demócrata Independiente,13,-0.8601663892085736,-0.866795241832733,-0.879655182361603,-0.852442920207977,-0.916859328746796,-0.784243583679199,-0.9037366312598103
raw_lop025,caucus,Comité Comunista e Independientes,12,0.9350728044907252,0.924488961696625,0.9194126278162003,0.9829061925411222,0.81469863653183,1.0,1.5499591932052044
raw_lop025,caucus,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",10,0.24626472592353832,0.23701321333646802,0.2181056030094625,0.2666305899620055,0.199255913496017,0.334697544574738,0.6085105482726166
raw_lop025,caucus,Comité Partido Nacional Libertarios,8,-0.9668611139059067,-0.9976453185081484,-1.0,-0.966477736830711,-1.0,-0.85929924249649,-1.0495647757216235
raw_lop025,caucus,Comité Partido Republicano,31,-0.9876148739168722,-0.992275357246399,-0.993080317974091,-0.9862127602100375,-1.0,-0.94441020488739,-1.0779305859487953
raw_lop025,caucus,Comité Partido de la Gente,13,-0.03802961583894032,-0.0715738758444786,-0.0841939747333527,0.0800754055380821,-0.417377352714539,0.170654118061066,0.2199429179814152
raw_lop025,caucus,Frente Amplio,17,0.7367729088839363,0.75061160326004,0.725313663482666,0.760322391986847,0.639329791069031,0.790138483047485,1.2789269945155148
raw_lop025,caucus,Fuera del Comité Partido de la Gente,1,-0.470514535903931,-0.470514535903931,-0.470514535903931,-0.470514535903931,-0.470514535903931,-0.470514535903931,-0.37116853180865733
raw_lop025,caucus,Partido Por la Democracia e Independientes,10,0.3843679368495942,0.3841999471187595,0.3441107869148258,0.402476727962494,0.327570497989655,0.476959764957428,0.7972671625353698
raw_lop025,caucus,Por definir,3,-0.71386456489563,-0.725470304489136,-0.727170377969742,-0.706361621618271,-0.728870451450348,-0.687252938747406,-0.7037743216755573
raw_lop025,caucus,"Renovación Nacional, Evopoli e Independientes",16,-0.7705761417746544,-0.7630419433116915,-0.7930691689252856,-0.7400596439838407,-0.867259979248047,-0.697044610977173,-0.7812865327921987
raw_lop025,caucus,"Socialista, Liberal, Radical e Independientes",15,0.5390021840731304,0.587814927101135,0.431713491678238,0.6198230385780334,0.264273375272751,0.762329995632172,1.0086180555324369
raw_lop025,caucus,Unión Demócrata Independiente,18,-0.8327244785096909,-0.856681019067764,-0.8734380602836608,-0.8018506765365603,-0.916859328746796,-0.616479396820068,-0.8662295949086039
raw_lop025,alignment,no_alineado,22,-0.3954449296844276,-0.163686517626047,-0.966477736830711,-0.0314936893992126,-1.0,0.170654118061066,-0.26856494562832944
