"spec_id","diputado_id","diputado_nombre","binary_votes_selected","included_by_minvotes","dimension_1_raw","se_1d","gmp","correctly_classified","dimension_1_aligned"
"raw_lop025","803","René Alinco Bustos",220,TRUE,0.239919424057007,0,0.586324989795685,0.813636363636364,0.239919424057007
"raw_lop025","815","Sergio Bobadilla Muñoz",267,TRUE,-0.866172969341278,0,0.936942994594574,0.98501872659176,-0.866172969341278
"raw_lop025","843","René Manuel García García",227,TRUE,-0.818010449409485,0,0.910121738910675,0.969162995594714,-0.818010449409485
"raw_lop025","872","Jaime Mulet Martínez",248,TRUE,0.21259069442749,0,0.627420485019684,0.798387096774194,0.21259069442749
"raw_lop025","915","Germán Verdugo Soto",257,TRUE,-0.887493073940277,0,0.913946211338043,0.972762645914397,-0.887493073940277
"raw_lop025","986","Marcela Hernando Pérez",212,TRUE,0.337180376052856,0,0.814886748790741,0.929245283018868,0.337180376052856
"raw_lop025","1009","Jorge Alessandri Vergara",251,TRUE,-0.879655182361603,0,0.959765613079071,0.99203187250996,-0.879655182361603
"raw_lop025","1012","Boris Barrera Moreno",267,TRUE,0.991220951080322,0,0.953802704811096,0.99250936329588,0.991220951080322
"raw_lop025","1013","Alejandro Bernales Maldonado",242,TRUE,0.264273375272751,0,0.736209094524384,0.871900826446281,0.264273375272751
"raw_lop025","1015","Jorge Brito Hasbún",237,TRUE,0.763551115989685,0,0.929900109767914,0.974683544303797,0.763551115989685
"raw_lop025","1017","Álvaro Carter Fernández",255,TRUE,-0.981062054634094,0,0.974351644515991,0.996078431372549,-0.981062054634094
"raw_lop025","1021","Andrés Celis Montt",241,TRUE,-0.763008773326874,0,0.886072874069214,0.941908713692946,-0.763008773326874
"raw_lop025","1025","Catalina Del Real Mihovilovic",227,TRUE,-0.979113221168518,0,0.971892595291138,0.995594713656388,-0.979113221168518
"raw_lop025","1028","Eduardo Durán Salinas",255,TRUE,-0.729755461215973,0,0.939746141433716,0.984313725490196,-0.729755461215973
"raw_lop025","1038","Marcos Ilabaca Cerda",227,TRUE,0.576128423213959,0,0.881873607635498,0.960352422907489,0.576128423213959
"raw_lop025","1039","Pamela Jiles Moreno",257,TRUE,0.170654118061066,0,0.676354348659515,0.828793774319066,0.170654118061066
"raw_lop025","1044","Raúl Leiva Carvajal",231,TRUE,0.518639802932739,0,0.913749933242798,0.974025974025974,0.518639802932739
"raw_lop025","1054","Francesca Muñoz González",254,TRUE,-0.728870451450348,0,0.933310329914093,0.976377952755906,-0.728870451450348
"raw_lop025","1056","Emilia Nuyado Ancapichun",269,TRUE,0.654856085777283,0,0.91583389043808,0.955390334572491,0.654856085777283
"raw_lop025","1059","Ximena Ossandón Irarrázabal",253,TRUE,-0.772552251815796,0,0.86609423160553,0.940711462450593,-0.772552251815796
"raw_lop025","1060","Luis Pardo Sáinz",261,TRUE,-0.763075113296509,0,0.940488636493683,0.977011494252874,-0.763075113296509
"raw_lop025","1061","Andrea Parra Sauterel",252,TRUE,0.397401720285416,0,0.857955694198608,0.956349206349206,0.397401720285416
"raw_lop025","1062","Joanna Pérez Olea",223,TRUE,-0.697044610977173,0,0.900244534015656,0.977578475336323,-0.697044610977173
"raw_lop025","1065","Guillermo Ramírez Diez",249,TRUE,-0.866795241832733,0,0.972123205661774,0.991967871485944,-0.866795241832733
"raw_lop025","1073","Juan Santana Castillo",250,TRUE,0.762329995632172,0,0.946866393089294,0.992,0.762329995632172
"raw_lop025","1074","Marisela Santibáñez Novoa",238,TRUE,0.81469863653183,0,0.924321174621582,0.978991596638655,0.81469863653183
"raw_lop025","1075","Diego Schalper Sepúlveda",248,TRUE,-0.809191346168518,0,0.932710289955139,0.963709677419355,-0.809191346168518
"raw_lop025","1077","Raúl Soto Mardones",237,TRUE,0.402703404426575,0,0.868855953216553,0.949367088607595,0.402703404426575
"raw_lop025","1082","Cristóbal Urruticoechea Ríos",239,TRUE,-0.999343276023865,0,0.92620050907135,0.9581589958159,-0.999343276023865
"raw_lop025","1086","Gonzalo Winter Etcheberry",228,TRUE,0.725313663482666,0,0.899527251720428,0.973684210526316,0.725313663482666
"raw_lop025","1087","Gael Yeomans Araya",253,TRUE,0.738458812236786,0,0.936672389507294,0.988142292490119,0.738458812236786
"raw_lop025","1099","Jaime Araya Guerrero",230,TRUE,0.434719085693359,0,0.894850313663483,0.969565217391304,0.434719085693359
