vote_id,diputado_id,diputado_nombre,opcion,opcion_codigo
89072,1207,Valentina Cáceres Monsálvez,Afirmativo,1
89072,1208,Jorge Díaz Ibarra,Afirmativo,1
89072,1209,Matías Fernández Hartwig,Afirmativo,1
89072,1210,Gustavo Gatica Villarroel,No Vota,4
89072,1211,Sofía González Cortés,Afirmativo,1
89072,1212,Erich Grohs Marín,Afirmativo,1
89072,1213,Irací Hassler Jacob,Afirmativo,1
89072,1214,Constanza Hube Portus,Afirmativo,1
89072,1215,Álvaro Jofré Cáceres,Afirmativo,1
89072,1216,Stephanie Jéldrez Ortiz,Afirmativo,1
89072,1217,Pier Karlezi Hazleby,Afirmativo,1
89072,1218,José Antonio Kast Adriasola,Afirmativo,1
89072,1219,Tomás Kast Sommerhoff,Dispensado,3
89072,1220,Leandro Kunstmann Collado,Afirmativo,1
89072,1221,Benjamín Lorca Inzunza,Afirmativo,1
89072,1222,Andrea Macías Palma,No Vota,4
89072,1223,Hans Marowski Cuevas,Afirmativo,1
89072,1224,Cristian Mella Andaur,Afirmativo,1
89072,1225,Cristian Menchaca Pinochet,Afirmativo,1
89072,1226,José Montalva Feuerhake,Afirmativo,1
89072,1227,Claudia Mora Vega,Afirmativo,1
89072,1228,Paulina Muñoz Minte,Afirmativo,1
89072,1229,Javier Muñoz Riquelme,Afirmativo,1
89072,1230,Alex Nahuelquin Nahuelquin,Afirmativo,1
89072,1231,Ximena Naranjo Pinto,Afirmativo,1
89072,1232,Cristian Neira Martínez,Afirmativo,1
89072,1233,Ricardo Neumann Bertín,Afirmativo,1
89072,1234,Mario Olavarría Rodríguez,Afirmativo,1
89072,1235,Javier Olivares Avendaño,Afirmativo,1
89072,1236,Paula Olmos Contreras,Afirmativo,1
89072,1237,Francisco Orrego Gutiérrez,Afirmativo,1
89072,1238,Álvaro Ortiz Vera,Afirmativo,1
89072,1239,Fabián Ossandón Briceño,Afirmativo,1
89072,1240,Zandra Parisi Fernández,Afirmativo,1
89072,1241,Patricio Pinilla Valencia,Afirmativo,1
89072,1242,Rodrigo Ramírez Parra,Afirmativo,1
89072,1243,Tamara Ramírez Ramírez,Afirmativo,1
89072,1244,Claudia Reyes Larenas,Afirmativo,1
89072,1245,Alejandro Riquelme Ducci,Afirmativo,1
89072,1246,José Antonio Rivas Villalobos,No Vota,4
89072,1247,Javiera Rodríguez Pascual,Afirmativo,1
89072,1248,Felipe Ross Correa,Afirmativo,1
89072,1249,Omar Sabat Guzmán,Afirmativo,1
89072,1250,Bernardo Salinas Maya,Afirmativo,1
89072,1251,Macarena Santelices Cañas,Afirmativo,1
89072,1252,Constanza Schonhaut Soto,Afirmativo,1
89072,1253,Fernando Ugarte Tejeda,Afirmativo,1
89072,1254,Ignacio Urcullú Clèment-Lund,Afirmativo,1
89072,1255,Eileen Urqueta Rojas,Afirmativo,1
89072,1256,Tatiana Urrutia Herrera,Afirmativo,1
89072,1257,Alejandra Valdebenito Torres,No Vota,4
89072,1258,Guillermo Valdés Carmona,Afirmativo,1
89072,1259,Juan Marcelo Valenzuela Henríquez,Afirmativo,1
89072,1260,César Valenzuela Maass,Afirmativo,1
89072,1261,Daniel Valenzuela Salazar,Afirmativo,1
89072,1262,Diego Vergara Rodríguez,Afirmativo,1
89072,1263,Sebastián Zamora Soto,Afirmativo,1
