boletin,rollcalls,titulo,fecha_ingreso,origen_iniciativa,tipo_iniciativa,camara_origen,codigo_destinacion,comision_origen_proxy,comisiones_tramitacion,topic_primary,topic_secondary,method,confidence,needs_review,review_reason,evidence,document_url,text_quality,source_url,taxonomy_version
17690-07,1,Modifica el Código Penal para disponer la intervención de la fiscalía militar en la investigación del delito de espionaje,2025-07-09,parlamentario,Moción,Cámara de Diputados,07,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,hibrido_institucional_texto,0.866,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:11.00 || score_2=Defensa:5.00",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18335&prmBOLETIN=17690-07,institutional-hybrid-v0.3
17724-34,1,"Reemplaza el artículo 5 bis del decreto ley N° 3.500, de 1980",2025-08-04,ejecutivo,Mensaje,Cámara de Diputados,34,Mujeres y Equidad de Género,Mujeres y Equidad de Género,Mujeres y género,,institucional_destinacion,0.97,0,,comision_origen=Mujeres y Equidad de Género,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18378&prmBOLETIN=17724-34,institutional-hybrid-v0.3
17737-14,1,"Modifica la ley N° 21.442, que aprueba nueva Ley de Copropiedad Inmobiliaria, a fin de facultar a los administradores de condominios para emitir certificados de residencia",2025-07-25,parlamentario,Moción,Cámara de Diputados,14,"Vivienda, Desarrollo Urbano","Vivienda, Desarrollo Urbano",Vivienda y territorio,,institucional_destinacion,0.97,0,,"comision_origen=Vivienda, Desarrollo Urbano",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18385&prmBOLETIN=17737-14,institutional-hybrid-v0.3
17757-29,1,Modifica la ley N° 19.327 para imponer nuevas obligaciones a los organizadores de espectáculos de fútbol profesional,2025-08-06,parlamentario,Moción,Cámara de Diputados,29,Deportes y Recreación,Deportes y Recreación,Deportes,,institucional_destinacion,0.97,0,,comision_origen=Deportes y Recreación,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18406&prmBOLETIN=17757-29,institutional-hybrid-v0.3
17795-19,1,"Regula la creación y difusión de imitaciones digitales realistas de la imagen, cuerpo o voz de las personas, generadas mediante inteligencia artificial",2025-08-21,parlamentario,Moción,Cámara de Diputados,19,Ciencia y Tecnología,Ciencia y Tecnología,Ciencia y tecnología,,institucional_destinacion,0.97,0,,comision_origen=Ciencia y Tecnología,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18447&prmBOLETIN=17795-19,institutional-hybrid-v0.3
17837-13,1,Modifica el Código del Trabajo y otros cuerpos legales para fortalecer la protección de la salud y seguridad de las personas trabajadoras,2025-09-05,parlamentario,Moción,Cámara de Diputados,13,Trabajo y Seguridad Social,Trabajo y Seguridad Social,Trabajo y seguridad social,,institucional_destinacion,0.97,0,,comision_origen=Trabajo y Seguridad Social,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18491&prmBOLETIN=17837-13,institutional-hybrid-v0.3
17880-13,1,Crea un nuevo Juzgado de Letras del Trabajo en Santiago y fortalece los juzgados de letras del trabajo que indica,2025-10-03,ejecutivo,Mensaje,Cámara de Diputados,13,Trabajo y Seguridad Social,"Trabajo y Seguridad Social | Constitución, Legislación, Justicia y Reglamento | Hacienda",Trabajo y seguridad social,Constitución y justicia | Economía y hacienda,institucional_destinacion,0.97,0,,comision_origen=Trabajo y Seguridad Social,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18539&prmBOLETIN=17880-13,institutional-hybrid-v0.3
17956-10,1,"Aprueba el &quot;Acuerdo sobre transporte aéreo entre la República de Chile y el Reino de España&quot;, suscrito en Montreal, Canadá, el 1 de octubre de 2022",2025-11-14,ejecutivo,Mensaje,Senado,10,Relaciones Exteriores,Relaciones Exteriores,Relaciones exteriores,,institucional_destinacion,0.97,0,,comision_origen=Relaciones Exteriores,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18613&prmBOLETIN=17956-10,institutional-hybrid-v0.3
17957-10,1,"Aprueba el &quot;Acuerdo entre el Gobierno de la República de Chile y el Gobierno de la República Helénica en materia de servicios aéreos&quot;, suscrito en Atenas, Grecia, el 27 de mayo de 2021",2025-11-14,ejecutivo,Mensaje,Senado,10,Relaciones Exteriores,Relaciones Exteriores,Relaciones exteriores,,institucional_destinacion,0.97,0,,comision_origen=Relaciones Exteriores,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18614&prmBOLETIN=17957-10,institutional-hybrid-v0.3
17958-10,1,"Aprueba el &quot;Acuerdo de servicios aéreos entre el Reino de los Países Bajos y la República de Chile&quot;, suscrito en Santiago, Chile, el 24 de mayo de 2021",2025-11-14,ejecutivo,Mensaje,Senado,10,Relaciones Exteriores,Relaciones Exteriores,Relaciones exteriores,,institucional_destinacion,0.97,0,,comision_origen=Relaciones Exteriores,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18615&prmBOLETIN=17958-10,institutional-hybrid-v0.3
18003-35,1,"Modifica la ley N° 18.700, orgánica constitucional sobre Votaciones Populares y Escrutinios, para eximir al Servicio Electoral del deber de denunciar a personas postradas y electrodependientes, por incumplimiento de la obligación de sufragar",2025-12-03,parlamentario,Moción,Cámara de Diputados,35,Personas Mayores y Discapacidad,Personas Mayores y Discapacidad,Personas mayores y discapacidad,,institucional_destinacion,0.97,0,,comision_origen=Personas Mayores y Discapacidad,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18661&prmBOLETIN=18003-35,institutional-hybrid-v0.3
18016-13,1,Modifica el Código del Trabajo en lo tocante a la jornada laboral de los trabajadores del cine y el audiovisual que indica,2025-12-12,parlamentario,Moción,Cámara de Diputados,13,Trabajo y Seguridad Social,Trabajo y Seguridad Social,Trabajo y seguridad social,,institucional_destinacion,0.97,0,,comision_origen=Trabajo y Seguridad Social,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18674&prmBOLETIN=18016-13,institutional-hybrid-v0.3
18043-06,1,"Concede, por especial gracia, la nacionalidad chilena al sacerdote alemán Wolter Josef Tilmann Dütting",2026-01-05,parlamentario,Moción,Cámara de Diputados,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización","Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,,institucional_destinacion,0.97,0,,"comision_origen=Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18704&prmBOLETIN=18043-06,institutional-hybrid-v0.3
18048-06,1,"Concede, por especial gracia, la nacionalidad chilena a la destacada deportista juvenil colombiana María Camila Valencia Mosquera",2026-01-07,parlamentario,Moción,Cámara de Diputados,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización","Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,,institucional_destinacion,0.97,0,,"comision_origen=Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18708&prmBOLETIN=18048-06,institutional-hybrid-v0.3
18107-07,1,"Modifica la ley N° 18.918, orgánica constitucional del Congreso Nacional, en materia de quórum necesario para revertir la declaración de inadmisibilidad recaída en proyectos de ley e indicaciones",2026-03-04,parlamentario,Moción,Cámara de Diputados,07,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,hibrido_institucional_texto,0.92,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:12.75 || score_2=Economía, comercio y consumidores:3.00",https://www.camara.cl/verDoc.aspx?prmID=18336&prmTIPO=INICIATIVA,rica,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18770&prmBOLETIN=18107-07,institutional-hybrid-v0.3
