vote_id,boletin,fecha,topic_primary,topic_secondary,topic_method,topic_confidence,topic_source_layer,taxonomy_version,tipo_votacion_proyecto,resultado
88646,17757-29,2026-04-15,Deportes,,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,General,Aprobado
88647,17522-12,2026-04-15,Medio ambiente,,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,General,Aprobado
88648,17522-12,2026-04-15,Medio ambiente,,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,General,Unánime
88679,18043-06,2026-04-21,Gobierno interior y descentralización,,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,General,Aprobado
88680,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,General,Aprobado
88681,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Unánime
88682,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Aprobado
88683,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Unánime
88684,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Aprobado
88685,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Unánime
88686,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Unánime
88687,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Unánime
88688,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Unánime
88689,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Unánime
88690,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Unánime
88691,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Unánime
88692,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Aprobado
88693,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Aprobado
88694,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Unánime
88695,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Aprobado
