boletin,rollcalls,first_vote_date,sample_description,sample_verification_url
17451-15,1,2026-08-17,Boletín N°17451-15,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89783
17471-07,1,2026-05-05,Boletín N°17471-07,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88758
17504-22,1,2026-04-07,Boletín N°17504-22,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88564
17630-10,1,2026-06-10,Boletín N°17630-10,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89105
17690-07,1,2026-04-14,Boletín N°17690-07,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88634
17724-34,1,2026-05-05,Boletín N°17724-34,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88754
17737-14,1,2026-03-24,Boletín N°17737-14,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88472
17757-29,1,2026-04-15,Boletín N°17757-29,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88646
17795-19,1,2026-07-22,Boletín N°17795-19,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89524
17837-13,1,2026-08-17,Boletín N°17837-13,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89784
17880-13,1,2026-04-13,Boletín N°17880-13,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88611
17956-10,1,2026-06-08,Boletín N°17956-10,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89067
17957-10,1,2026-06-08,Boletín N°17957-10,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89068
17958-10,1,2026-06-08,Boletín N°17958-10,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89069
18003-35,1,2026-03-25,Boletín N°18003-35,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88500
18016-13,1,2026-05-05,Boletín N°18016-13,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88755
18043-06,1,2026-04-21,Boletín N°18043-06,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88679
18048-06,1,2026-06-10,Boletín N°18048-06,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89104
18107-07,1,2026-05-06,Boletín N°18107-07,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88794
