boletin,titulo,origen_iniciativa,codigo_destinacion,comision_destino_sufijo,comision_origen_evento,comision_origen_proxy,origin_proxy_source,origin_proxy_mismatch,tema_proxy_origen,materia_pagina,materias_oficiales,comisiones_tramitacion,temas_proxy_trayectoria,comisiones_sustantivas,ministerios,text_quality,signal_strength,review_reason,origin_evidence_event
18279-10,"Aprueba el Acuerdo que modifica el Convenio entre la República de Chile y el Gobierno de la República de Hungría con el Objeto de Autorizar el Ejercicio de Actividades Remuneradas en el Estado Receptor por los Familiares Dependientes del Personal Diplomático, Consular, Administrativo y Técnico de las Misiones Diplomáticas y Consulares Acreditadas ante los respectivos Gobiernos, y por los Familiares Dependientes de Nacionales Chilenos o Húngaros Acreditados ante Organizaciones Internacionales con Sede en Cualquiera de los Dos Países, adoptado por intercambio de Notas, fechadas en Santiago y Budapest, el 15 de julio de 2024.",ejecutivo,10,Relaciones Exteriores,,Relaciones Exteriores,sufijo_boletin,0,Relaciones exteriores,,,Relaciones Exteriores,Relaciones exteriores,Relaciones Exteriores,Ministerio de Relaciones Exteriores,rica,alta,,
18286-03,"Modifica la ley N° 19.799, sobre documentos electrónicos, firma electrónica y servicios de certificación de dicha firma, y otros cuerpos legales relacionados",ejecutivo,03,"Economía, Fomento, MIPYMES, Consumidores y Turismo",,"Economía, Fomento, MIPYMES, Consumidores y Turismo",sufijo_boletin,0,"Economía, comercio y consumidores",,,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores","Economía, Fomento, MIPYMES, Consumidores y Turismo","Ministerio de Economía, Fomento y Turism | Ministerio de Justicia y de Derechos Humanos | Ministerio de Hacienda",rica,alta,,
18297-07,"Interpreta el artículo primero transitorio de la ley N° 21.772, que modifica el sistema registral y notarial en sus aspectos orgánicos y funcionales, en lo relativo al procedimiento para proveer las vacantes que indica",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento | Derechos Humanos y Pueblos Originarios",Constitución y justicia | Derechos humanos,Derechos Humanos y Pueblos Originarios,,rica,media,origen_transversal_con_comision_sustantiva | trayectoria_multitematica,
18298-07,"Modifica la Carta Fundamental, con el objeto de incluir a las empresas del Estado entre las entidades fiscalizadas por la Contraloría General de la República",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18313-08,"Modifica el decreto ley N° 1.349, de 1976, que crea la Comisión Chilena del Cobre, para otorgar a la Contraloría General de la República facultades fiscalizadoras respecto de las empresas estatales productoras de cobre y sus derivados",parlamentario,08,Minería y Energía,,Minería y Energía,sufijo_boletin,0,Minería y energía,,,"Constitución, Legislación, Justicia y Reglamento | Minería y Energía",Constitución y justicia | Minería y energía,Minería y Energía,,rica,alta,trayectoria_multitematica,
18316-02,"Previene y sanciona la fabricación, adaptación y circulación de armas hechizas y dispositivos susceptibles de ser transformados en armas de fuego",parlamentario,02,Defensa Nacional,,Defensa Nacional,sufijo_boletin,0,Defensa,,,Defensa Nacional,Defensa,Defensa Nacional,,rica,alta,,
18317-13,Modifica el Código de Trabajo para eximir de la jornada ordinaria de trabajo a quienes se desempeñen en instituciones de beneficencia,parlamentario,13,Trabajo y Seguridad Social,,Trabajo y Seguridad Social,sufijo_boletin,0,Trabajo y seguridad social,,,Trabajo y Seguridad Social,Trabajo y seguridad social,Trabajo y Seguridad Social,,rica,alta,,
18318-19,"Establece un estatuto de responsabilidad algorítmica y protección digital de niños, niñas y adolescentes",parlamentario,19,Ciencia y Tecnología,,Ciencia y Tecnología,sufijo_boletin,0,Ciencia y tecnología,,,Ciencia y Tecnología,Ciencia y tecnología,Ciencia y Tecnología,,rica,alta,,
18319-07,"Modifica el Código Penal para incorporar la circunstancia agravante de atentado contra personas que se desempeñen en centros de acogida y cuidado de niños, niñas y adolescentes reconocidos por el Estado",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18320-18,Modifica la ley N° 21.430 para incorporar medidas de protección de la infancia y la adolescencia en entornos digitales,parlamentario,18,"Familia, Infancia y Adolescencia",,"Familia, Infancia y Adolescencia",sufijo_boletin,0,"Familia, infancia y adolescencia",,,"Familia, Infancia y Adolescencia","Familia, infancia y adolescencia","Familia, Infancia y Adolescencia",,rica,alta,,
