boletin,titulo,origen_iniciativa,codigo_destinacion,comision_destino_sufijo,comision_origen_evento,comision_origen_proxy,origin_proxy_source,origin_proxy_mismatch,tema_proxy_origen,materia_pagina,materias_oficiales,comisiones_tramitacion,temas_proxy_trayectoria,comisiones_sustantivas,ministerios,text_quality,signal_strength,review_reason,origin_evidence_event
18131-06,"Modifica la ley Nº 18.575, orgánica constitucional de Bases Generales de la Administración del Estado, para incorporar una nueva infracción al principio de probidad administrativa, relacionada con la contratación o nombramiento de personas inhabilitadas para trabajar con niños, niñas o adolescentes",parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,utilizable,alta,,
18132-04,"Modifica la ley Nº 20.370, General de Educación, para sancionar a padres y apoderados cuyos hijos o pupilos participen en hechos constitutivos de acoso escolar",parlamentario,04,Educación,,Educación,sufijo_boletin,0,Educación,,,Educación,Educación,Educación,,utilizable,alta,,
18133-07,Modifica la Carta Fundamental para asignar a las Fuerzas Armadas un rol coadyuvante en el resguardo del orden público y la seguridad interior del país,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18135-06,"Modifica la ley N° 18.575, orgánica constitucional de Bases Generales de la Administración del Estado, para resguardar la soberanía nacional en la ejecución de políticas públicas",parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18136-11,Modifica el Código Sanitario para exigir que el etiquetado de medicamentos y vacunas contenga información sobre precauciones y efectos adversos,parlamentario,11,Salud,,Salud,sufijo_boletin,0,Salud,,,Salud,Salud,Salud,,rica,alta,,
18138-07,Modifica la Carta Fundamental para reconocer el derecho de todas las personas a la autodeterminación en materia de inmunización,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18140-07,Modifica la Carta Fundamental para garantizar la autonomía estratégica en inversiones relevantes,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18141-07,Modifica la Carta Fundamental para establecer un Proyecto Educativo Nacional,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18143-07,Modifica la Carta Fundamental para habilitar la convocatoria a plebiscito con el objeto de restituir la pena de muerte en los casos que indica,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18151-24,"Modifica la ley N° 19.132, que crea empresa Televisión Nacional de Chile, con el objeto de modernizar su misión y estrategia de gobernanza",parlamentario,24,"Cultura, Artes y Comunicaciones",,"Cultura, Artes y Comunicaciones",sufijo_boletin,0,Cultura y comunicaciones,,,"Constitución, Legislación, Justicia y Reglamento | Cultura, Artes y Comunicaciones",Constitución y justicia | Cultura y comunicaciones,"Cultura, Artes y Comunicaciones",,rica,alta,trayectoria_multitematica,
18134-11,"Modifica la ley N° 20.606, sobre composición nutricional de los alimentos y su publicidad, para exigir a los establecimientos que expendan alimentos preparados para el consumo humano, que informen si contienen o han sido elaborados con alguno de los ingredientes que indica",parlamentario,11,Salud,,Salud,sufijo_boletin,0,Salud,,,Salud,Salud,Salud,,rica,alta,,
18137-05,"Adopta medidas transitorias para contener el precio del kerosene doméstico en el contexto de la emergencia energética internacional, y otras medidas que indica",ejecutivo,05,Hacienda,,Hacienda,sufijo_boletin,0,Economía y hacienda,,,Hacienda,Economía y hacienda,,Ministerio de Hacienda,rica,media,origen_transversal,
18139-07,"Modifica la Carta Fundamental, para eliminar la atribución presidencial  de otorgar indultos particulares",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18142-35,"Establece el reconocimiento y protección integral de los derechos de las personas con síndrome de Down, y modifica el Código del Trabajo, del modo que indica",parlamentario,35,Personas Mayores y Discapacidad,,Personas Mayores y Discapacidad,sufijo_boletin,0,Personas mayores y discapacidad,,,Personas Mayores y Discapacidad,Personas mayores y discapacidad,Personas Mayores y Discapacidad,,rica,alta,,
18144-07,"Modifica el Código Procesal Penal, para fortalecer la persecución penal del crimen organizado y regular el juicio oral en ausencia del imputado",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18145-07,Modifica la Carta Fundamental para derogar la facultad presidencial de otorgar indultos particulares,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18146-07,Modifica la Carta Fundamental a fin de suprimir la atribución del Presidente de la República para otorgar indultos particulares,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18147-07,"Modifica el Código Penal, con el objeto de establecer una agravante para los delitos cometidos contra autoridades o funcionarios públicos, en los casos que indica.",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18148-07,"Modifica la Carta Fundamental, para fortalecer la conducción estratégica de las Fuerzas Armadas",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18149-07,Modifica la Carta Fundamental con el objeto de eliminar la atribución presidencial de otorgar indultos particulares,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18150-07,Modifica la Carta Fundamental a efectos de inhabilitar a los secretarios regionales ministeriales para ser candidatos a diputados o senadores,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18157-33,Prorroga el plazo para la regularización e inscripción de derechos de aprovechamiento de aguas hasta el año 2030,parlamentario,33,Recursos Hídricos y Desertificación,,Recursos Hídricos y Desertificación,sufijo_boletin,0,Agua y recursos hídricos,,,Recursos Hídricos y Desertificación,Agua y recursos hídricos,Recursos Hídricos y Desertificación,,rica,alta,,
18158-13,Modifica el Código del Trabajo para establecer fuero laboral para trabajadores y trabajadoras con diagnóstico de cáncer,parlamentario,13,Trabajo y Seguridad Social,,Trabajo y Seguridad Social,sufijo_boletin,0,Trabajo y seguridad social,,,Trabajo y Seguridad Social,Trabajo y seguridad social,Trabajo y Seguridad Social,,rica,alta,,
18152-07,"Modifica normas sobre prisión preventiva, suspensión condicional del procedimiento, cumplimiento de penas sustitutivas y facultades de incautación de las fuerzas de orden y seguridad, en los delitos que indica",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento | Seguridad Ciudadana",Constitución y justicia | Seguridad,Seguridad Ciudadana,,rica,media,origen_transversal_con_comision_sustantiva | trayectoria_multitematica,
18153-24,Declara patrimonio Biocultural de la Nación las especies vegetales que indica,parlamentario,24,"Cultura, Artes y Comunicaciones",,"Cultura, Artes y Comunicaciones",sufijo_boletin,0,Cultura y comunicaciones,,,"Cultura, Artes y Comunicaciones",Cultura y comunicaciones,"Cultura, Artes y Comunicaciones",,rica,alta,,
18154-25,"Modifica los textos legales que indica con el objeto de tipificar el tráfico internacional, la fabricación y modificación ilegal mediante tecnologías digitales, de armas y sus componentes esenciales",parlamentario,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana,Seguridad,Seguridad Ciudadana,,rica,alta,,
18155-25,Modifica el Código Penal para establecer nuevas agravantes por delitos cometidos contra la comunidad educativa y en recintos educacionales,ejecutivo,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,"Constitución, Legislación, Justicia y Reglamento | Seguridad Ciudadana",Constitución y justicia | Seguridad,Seguridad Ciudadana,Ministerio de Justicia y de Derechos Humanos | Ministerio de Seguridad Pública,rica,alta,trayectoria_multitematica,
18156-04,"Establece medidas de seguridad, orden y respeto para la comunidad educativa",ejecutivo,04,Educación,,Educación,sufijo_boletin,0,Educación,,,Educación,Educación,Educación,Ministerio de Justicia y de Derechos Humanos | Ministerio de Seguridad Pública | Ministerio de Educación,rica,alta,,
18159-11,Establece el 6 de abril de cada año como el Día Nacional de Reconocimiento a las Organizaciones de Pacientes,parlamentario,11,Salud,,Salud,sufijo_boletin,0,Salud,,,Salud,Salud,Salud,,rica,alta,,
18160-07,Modifica la Carta Fundamental a fin de suprimir la atribución del Presidente de la República para otorgar indultos particulares,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18161-07,Modifica el Código Penal para fortalecer la protección de la comunidad educativa agravando las penas aplicables a los delitos cometidos en contra de docentes y trabajadores de la educación,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18213-07,Modifica la Constitución Política para restablecer la estabilidad de los precios de los combustibles,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18162-07,"Modifica diversos cuerpos legales, con el objeto de fortalecer el cumplimiento de las sanciones y la persecución de delitos graves en materia de responsabilidad penal adolescente",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18163-14,"Modifica la ley N° 20.898, que establece un procedimiento simplificado para la regularización de viviendas de autoconstrucción, con el objeto de establecer un mecanismo para la formulación de observaciones y subsanación de éstas y extender el plazo de vigencia del procedimiento",parlamentario,14,"Vivienda, Desarrollo Urbano",,"Vivienda, Desarrollo Urbano",sufijo_boletin,0,Vivienda y territorio,,,"Vivienda, Desarrollo Urbano",Vivienda y territorio,"Vivienda, Desarrollo Urbano",,rica,alta,,
18164-17,"Modifica la ley N° 20.405, del Instituto Nacional de Derechos Humanos, en lo relativo a sus reglas de funcionamiento y obligaciones de información",parlamentario,17,Derechos Humanos y Pueblos Originarios,,Derechos Humanos y Pueblos Originarios,sufijo_boletin,0,Derechos humanos,,,Derechos Humanos y Pueblos Originarios,Derechos humanos,Derechos Humanos y Pueblos Originarios,,rica,alta,,
18165-07,"Modifica la Carta Fundamental, con el objeto de establecer un período de inhabilidad para que los fiscales del Ministerio Público ejerzan los cargos que indica",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18166-24,Introduce la obligación de las empresas productoras de conciertos y eventos musicales masivos en orden a garantizar la adecuada visibilidad del espectáculo a sus asistentes,parlamentario,24,"Cultura, Artes y Comunicaciones",,"Cultura, Artes y Comunicaciones",sufijo_boletin,0,Cultura y comunicaciones,,,"Cultura, Artes y Comunicaciones",Cultura y comunicaciones,"Cultura, Artes y Comunicaciones",,rica,alta,,
18167-11,"Modifica el Código Sanitario y la ley N° 19.496, que establece normas sobre protección de los derechos de los consumidores, para sancionar la adulteración de fechas de vencimiento y rotulación de productos críticos para la salud",parlamentario,11,Salud,,Salud,sufijo_boletin,0,Salud,,,Salud,Salud,Salud,,rica,alta,,
18168-03,"Modifica la ley N° 19.496, que establece normas sobre protección de los derechos de los consumidores, para incorporar deberes de trazabilidad en la comercialización digital de bienes usados",parlamentario,03,"Economía, Fomento, MIPYMES, Consumidores y Turismo",,"Economía, Fomento, MIPYMES, Consumidores y Turismo",sufijo_boletin,0,"Economía, comercio y consumidores",,,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores","Economía, Fomento, MIPYMES, Consumidores y Turismo",,rica,alta,,
18172-21,"Modifica la ley N° 21.027, con el objeto de incorporar a las organizaciones de carpinteros de ribera como asignatarios de caletas artesanales",parlamentario,21,"Pesca, Acuicultura e Intereses Marítimos",,"Pesca, Acuicultura e Intereses Marítimos",sufijo_boletin,0,Pesca y acuicultura,,,"Pesca, Acuicultura e Intereses Marítimos",Pesca y acuicultura,"Pesca, Acuicultura e Intereses Marítimos",,rica,alta,,
18173-21,"Modifica la Ley General de Pesca y Acuicultura, con el objeto de exceptuar a los armadores que señala, de la prohibición establecida en materia de artes y aparejos de pesca para la extracción de jibia",parlamentario,21,"Pesca, Acuicultura e Intereses Marítimos",,"Pesca, Acuicultura e Intereses Marítimos",sufijo_boletin,0,Pesca y acuicultura,,,"Pesca, Acuicultura e Intereses Marítimos",Pesca y acuicultura,"Pesca, Acuicultura e Intereses Marítimos",,rica,alta,,
18169-07,"Modifica diversos cuerpos legales a fin de otorgar atención preferente para la constatación de lesiones a víctimas e imputados, así como para la realización de exámenes toxicológicos a conductores",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18170-13,"Modifica el Código de Trabajo en materia de prevención, investigación y sanción de acoso laboral y sexual",parlamentario,13,Trabajo y Seguridad Social,,Trabajo y Seguridad Social,sufijo_boletin,0,Trabajo y seguridad social,,,Trabajo y Seguridad Social,Trabajo y seguridad social,Trabajo y Seguridad Social,,rica,alta,,
18171-13,Modifica el Código del Trabajo en lo relativo a la distribución de la jornada laboral,parlamentario,13,Trabajo y Seguridad Social,,Trabajo y Seguridad Social,sufijo_boletin,0,Trabajo y seguridad social,,,Trabajo y Seguridad Social,Trabajo y seguridad social,Trabajo y Seguridad Social,,rica,alta,,
18175-02,Modifica cuerpos legales que indica en materia de protección del espacio aéreo,parlamentario,02,Defensa Nacional,,Defensa Nacional,sufijo_boletin,0,Defensa,,,Defensa Nacional,Defensa,Defensa Nacional,,rica,alta,,
18174-07,"Modifica la ley N° 17.798, sobre control de armas, y el Código Penal y Código Procesal Penal, en materia de responsabilidad de los padres, adoptantes, tutores y cuidadores de menores de edad en el acceso, facilitación, porte y utilización de armas u otros elementos aptos para agredir",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18176-35,"Modifica la ley N° 19.712, del Deporte, con el objeto de promover la inclusión de personas con discapacidad en las actividades deportivas.",parlamentario,35,Personas Mayores y Discapacidad,,Personas Mayores y Discapacidad,sufijo_boletin,0,Personas mayores y discapacidad,,,Personas Mayores y Discapacidad,Personas mayores y discapacidad,Personas Mayores y Discapacidad,,rica,alta,,
18177-01,Declara el olivo y la aceituna del Valle de Azapa como patrimonio regional y promueve su denominación de origen,parlamentario,01,"Agricultura, Silvicultura y Desarrollo Rural",,"Agricultura, Silvicultura y Desarrollo Rural",sufijo_boletin,0,Agricultura y mundo rural,,,"Agricultura, Silvicultura y Desarrollo Rural",Agricultura y mundo rural,"Agricultura, Silvicultura y Desarrollo Rural",,rica,alta,,
18179-18,"Prohíbe la apología y promoción de la narcocultura, incorporando medidas preventivas y sancionatorias para evitar la exposición de niños, niñas y adolescentes a contenidos que incentiven la comisión de delitos",parlamentario,18,"Familia, Infancia y Adolescencia",,"Familia, Infancia y Adolescencia",sufijo_boletin,0,"Familia, infancia y adolescencia",,,"Familia, Infancia y Adolescencia","Familia, infancia y adolescencia","Familia, Infancia y Adolescencia",,rica,alta,,
18180-13,Modifica el Código del Trabajo en lo referido al contenido del contrato de trabajo y la protección de derechos a su terminación,parlamentario,13,Trabajo y Seguridad Social,,Trabajo y Seguridad Social,sufijo_boletin,0,Trabajo y seguridad social,,,Trabajo y Seguridad Social,Trabajo y seguridad social,Trabajo y Seguridad Social,,rica,alta,,
18181-13,Modifica el Código del Trabajo en materia de transparencia sindical y buena fe en las relaciones colectivas,parlamentario,13,Trabajo y Seguridad Social,,Trabajo y Seguridad Social,sufijo_boletin,0,Trabajo y seguridad social,,,Trabajo y Seguridad Social,Trabajo y seguridad social,Trabajo y Seguridad Social,,rica,alta,,
18182-07,"Deroga la ley N° 80, que manda publicar en el Diario Oficial y en orden correlativo todos los decretos de que tome razón la Dirección del Tesoro",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18183-07,"Deroga la ley N° 1.025, que ordena que los conocimientos de naves vengan visados por los cónsules de la República",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18184-07,"Deroga la ley N° 1.187, sobre internación de mercaderías por los boquetes de Antuco, Lonquimay, Pucón y Nahuelhuapi",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18185-07,"Deroga la ley N° 1.559, que incluye a Pisagua, Coronel y Puerto Montt entre los puertos por los cuales puede incorporarse y exportarse alcoholes, licores espirituosos y vinos de todas clases",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18186-07,"Deroga la ley N° 1.644, que fija la pena en que deben incurrir los tesoreros fiscales, los administradores de Aduana, el Intendente General del Ejército y de la Marina, que no rindan sus cuentas en el plazo de veinte días después de terminado el mes y período en que deben presentarlas",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18187-07,"Deroga la ley N° 1.930, que fija la ley de las monedas de un peso y cincuenta centavos",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18188-07,"Deroga la ley N° 3.297, que prohíbe la exportación de los metales viejos o usados, que se indica",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18178-10,"Aprueba el Acuerdo entre el Gobierno de la República de Chile y el Gobierno de la República de Tayikistán sobre la exención mutua del requisito de visa para titulares de pasaportes diplomáticos oficiales y de servicio, suscrito en Dushanbe, República de Tayikistán, el 9 de marzo de 2023",ejecutivo,10,Relaciones Exteriores,,Relaciones Exteriores,sufijo_boletin,0,Relaciones exteriores,,,Relaciones Exteriores,Relaciones exteriores,Relaciones Exteriores,Ministerio de Relaciones Exteriores,rica,alta,,
18189-14,"Modifica la ley N° 20.898, con el objeto de ampliar el régimen excepcional de regularización de viviendas y actualizar la fecha de su aplicación",parlamentario,14,"Vivienda, Desarrollo Urbano",,"Vivienda, Desarrollo Urbano",sufijo_boletin,0,Vivienda y territorio,,,"Vivienda, Desarrollo Urbano",Vivienda y territorio,"Vivienda, Desarrollo Urbano",,rica,alta,,
18190-11,"Modifica la ley N° 20.606, sobre composición nutricional de los alimentos y su publicidad, con el objeto de incorporar criterios de rotulación de alimentos para animales",parlamentario,11,Salud,,Salud,sufijo_boletin,0,Salud,,,Salud,Salud,Salud,,rica,alta,,
18191-37,Establece el 13 de octubre de cada año como el Día Nacional de la Gestión Cultural,parlamentario,37,,,,sin_proxy,0,,,,,,,,rica,baja,codigo_destinacion_no_mapeado | sin_proxy_comision_origen,
18192-25,"Modifica diversos cuerpos legales, con el objeto de fortalecer la persecución penal de la distribución digital ilícita y proteger a los consumidores",parlamentario,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana,Seguridad,Seguridad Ciudadana,,rica,alta,,
18193-06,"Modifica la ley N° 19.886, Ley de Bases sobre Contratos Administrativos de Suministro y Prestación de Servicios, con el objeto de perfeccionar las disposiciones relativas a los procedimientos de contratación",parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18194-08,Crea un régimen jurídico especial aplicable a los minerales críticos,parlamentario,08,Minería y Energía,,Minería y Energía,sufijo_boletin,0,Minería y energía,,,Minería y Energía,Minería y energía,Minería y Energía,,rica,alta,,
18195-07,"Modifica la Carta Fundamental, con el objeto de establecer la exigencia para senadores y diputados de someterse a un examen para detectar el consumo de sustancias o drogas estupefacientes o sicotrópicas.",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18196-04,Amplía hipótesis de ingreso de Fuerzas de Orden y Seguridad a recintos universitarios y colegiales,parlamentario,04,Educación,,Educación,sufijo_boletin,0,Educación,,,Educación,Educación,Educación,,rica,alta,,
18197-04,"Modifica la ley N° 20.027, en materia de cobro de créditos de educación superior, para fortalecer las garantías del debido proceso",parlamentario,04,Educación,,Educación,sufijo_boletin,0,Educación,,,Educación | Hacienda,Educación | Economía y hacienda,Educación,,rica,alta,trayectoria_multitematica,
18198-15,Modifica cuerpos legales que indica con el objeto de fortalecer la seguridad marítima y pesquera,parlamentario,15,Transportes y Telecomunicaciones,,Transportes y Telecomunicaciones,sufijo_boletin,0,Transportes y telecomunicaciones,,,"Transportes y Telecomunicaciones | Pesca, Acuicultura e Intereses Marítimos",Transportes y telecomunicaciones | Pesca y acuicultura,"Transportes y Telecomunicaciones | Pesca, Acuicultura e Intereses Marítimos",,rica,alta,trayectoria_multitematica,
18205-29,"Reconoce al fútbol amateur como actividad de interés público y establece normas sobre prevención de la violencia, seguridad, responsabilidad y transparencia en esa actividad",parlamentario,29,Deportes y Recreación,,Deportes y Recreación,sufijo_boletin,0,Deportes,,,Deportes y Recreación,Deportes,Deportes y Recreación,,rica,alta,,
18214-07,Modifica la Constitución Política para declarar incompatible percibir pensiones de retiro y remuneraciones por ejercer cargos de elección popular o altos cargos de la administración del Estado,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18206-13,Modifica el Código del Trabajo en materia de contrato por horas y educación dual,parlamentario,13,Trabajo y Seguridad Social,,Trabajo y Seguridad Social,sufijo_boletin,0,Trabajo y seguridad social,,,Trabajo y Seguridad Social,Trabajo y seguridad social,Trabajo y Seguridad Social,,rica,alta,,
18243-13,Establece como feriado irrenunciable el día Viernes Santo de cada año,parlamentario,13,Trabajo y Seguridad Social,,Trabajo y Seguridad Social,sufijo_boletin,0,Trabajo y seguridad social,,,Trabajo y Seguridad Social,Trabajo y seguridad social,Trabajo y Seguridad Social,,rica,alta,,
18199-12,"Modifica la ley N° 20.920, que establece marco para la gestión de residuos, la responsabilidad extendida del productor y fomento al reciclaje, para sancionar las infracciones en la gestión de desechos textiles",parlamentario,12,Medio Ambiente y Recursos Naturales,,Medio Ambiente y Recursos Naturales,sufijo_boletin,0,Medio ambiente,,,Medio Ambiente y Recursos Naturales,Medio ambiente,Medio Ambiente y Recursos Naturales,,rica,alta,,
18200-06,"Modifica la ley N° 19.886, de bases sobre contratos administrativos de suministro y prestación de servicios, con el objeto de establecer una inhabilidad especial respecto de las personas jurídicas que indica",parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18201-06,Rehabilita la nacionalidad chilena a Manuel Guillermo Pinto Pizarro,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
