boletin,titulo,origen_iniciativa,comision_origen_proxy,comisiones_tramitacion,topic_primary,topic_secondary,confidence,review_reason,evidence,text_excerpt
18412-07,"Modifica ley N° 18.415, orgánica constitucional de los Estados de Excepción, con el objeto de introducir el concepto de bienes y servicios esenciales durante su vigencia",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,Salud,0.79,solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:9.75 || score_2=Salud:6.75","Antecedentes. La legislación chilena en materia de catástrofes y estados de excepción constitucional posee una evolución histórica estrechamente vinculada a la experiencia permanente del país frente a terremotos, inundaciones, incendios y otras emergencias de gran magnitud que han afectado recurrentemente el normal desarrollo de la vida nacional. A lo largo del siglo XX, distintos eventos sísmicos y desastres naturales impulsaron la creación progresiva de mecanismos legales destinados a fortalecer la capacidad de respuesta del Estado, particularmente en materias de reconstrucción, abastecimiento, coordinación administrativa y protección de la población. Uno de los hitos fundamentales en esta evolución normativa fue la dictación de la Ley N.º 16.282 de 1965, conocida como la ley sobre disposiciones permanentes para casos de sismos o catástrofes, promulgada tras el terremoto de marzo de es"
18330-07,Modifica el Código Procesal Penal para restringir la presentación de querellas por parte de parlamentarios en ejercicio,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,Cultura y comunicaciones,0.794,solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:9.75 || score_2=Cultura y comunicaciones:6.50","ANTECEDENTES Un elemento esencial del régimen democrático es la existencia de mecanismos de control político y de rendición de cuentas respecto de la gestión de quienes ejercen cargos públicos. Ello se vincula a un orden institucional en que las diferencias entre adversarios de distintos sectores enriquecen el diálogo cívico siempre que el disenso se manifieste sobre la base del pluralismo, el respeto y la tolerancia. Sin perjuicio de lo anterior, en el último tiempo se ha constatado una creciente judicialización de controversias de índole política, específicamente a través de la presentación de querellas por parte de parlamentarios en ejercicio. Esta práctica ha generado cuestionamientos respecto de la utilización de acciones penales para trasladar a tribunales de justicia, conflictos que por su naturaleza debiesen resolverse mediante la aplicación de herramientas disponibles en otros p"
18611-07,Modifica el Código Penal para agravar la penalidad en caso de sustracción y receptación de combustibles en supuestos que indica,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Minería y energía,Constitución y justicia,0.794,empate_tematico,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Minería y energía:11.75 || score_2=Constitución y justicia:10.50","Fundamentos del proyecto Uno de los deberes centrales de la función legislativa es resguardar la vida e integridad de las personas, la continuidad de los servicios esenciales y la seguridad pública. La distribución de gas licuado, combustibles y otros insumos energéticos depende d iariamente de trabajadores que transportan y entregan estos productos en todo el territorio nacional, muchas veces durante jornadas nocturnas o en sectores con alta exposición delictual. El asalto a un vehículo repartidor de gas o combustibles no constituye únicamente una afectación patrimonial. La violencia ejercida contra el conductor o sus acompañantes, la pérdida de control sobre la carga y la eventual interrupción del abastecimiento p ueden afectar simultáneamente a trabajadores, familias, pequeños comercios y actividades productivas que dependen de estos insumos. La gravedad es aún mayor cuando la sustrac"
18442-07,"Modifica diversos cuerpos legales, con el objeto de agravar las sanciones en el caso de entrega o exhibición de material pornográfico e inadecuado a menores de catorce años",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento","Familia, infancia y adolescencia",Constitución y justicia,0.802,empate_tematico,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Familia, infancia y adolescencia:12.75 || score_2=Constitución y justicia:11.50","Boletín N° 18.442-07 Proyecto de ley, iniciado en Moción de los Honorables Senadores señoras Kaiser y Balladares, y señores Bianchi, Lee y Squella, que modifica diversos cuerpos legales, con el objeto de agravar las sanciones en el caso de entrega o exhibición de material pornográfico e inadecuado a menores de catorce años. FUNDAMENTOS En virtud del principio protector del interés superior del menor, es un deber no. del Estado proteger a los menores de edad de toda forma de abuso e injerencia indebida en su debido y sano desarrollo físico y mental, siendo precisamente los atentados a su 0 0- integridad psíquica y física en cuanto sano desarrollo de la sexualidad, y los atentados contra la indemnidad sexual infantil, uno de los aspectos en los cuales no se puede tener dobles lecturas, debiendo ser estrictos y tajantes en dicho ámbito protector de nuestros menores de edad. En efecto, el ar"
18133-07,Modifica la Carta Fundamental para asignar a las Fuerzas Armadas un rol coadyuvante en el resguardo del orden público y la seguridad interior del país,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Defensa,Seguridad | Constitución y justicia,0.816,empate_tematico,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Defensa:15.25 || score_2=Seguridad:13.25","Reforma Constitucional del H.D. Contreras Radovic que modifica el Capítulo XI de la Carta Fundamental para establecer un estatuto permanente de coadyuvancia de las Fuerzas Armadas en la seguridad interior y el orden público. FUNDAMENTACIÓN 1. Diagnóstico de la Crisis de Seguridad: Chile enfrenta una mutación del fenómeno delictual. Según datos del Centro de Estudios y Análisis del Delito (CEAD), la tasa de homicidios y delitos con uso de armas de fuego ha mostrado un incremento sostenido, vinculado a la penetración de estructuras criminales transnacionales. Esta realidad ha sobrepasado la capacidad operativa de las Fuerzas de Orden y Seguridad Pública, cuya dotación se encuentra estresada por la multiplicidad de funciones (investigación, patrullaje, control de fronteras y custodia de infraestructura). 2. Insuficiencia del Marco Normativo Actual: Actualmente, la participación militar en e"
18144-07,"Modifica el Código Procesal Penal, para fortalecer la persecución penal del crimen organizado y regular el juicio oral en ausencia del imputado",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,Seguridad,0.816,empate_tematico,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:15.00 || score_2=Seguridad:13.00","Boletín N° 18.144-07 Proyecto de ley , iniciado en Moción de los Honorables Senadores señora Núñez y señores Flores, Kuschel, Moreira y Saavedra, que modifica el Código Procesal Penal, para fortalecer la persecución penal del crimen organizado y regular el juicio oral en ausencia del imputado. FUNDAMENTOS El sistema procesal penal chileno, estructurado sobre un modelo acusatorio, ha demostrado solidez en la protección de las garantías fundamentales del imputado, en particular el debido proceso, la presunción de inocencia y el derecho a defensa. Sin embargo, dicho modelo fue concebido sobre la base de una criminalidad predominantemente individual, lo que genera tensiones relevantes frente a las formas contemporáneas de criminalidad organizada, caracterizadas por su complejidad estructural, permanencia en el t iempo y capacidad de adaptación. La criminalidad organizada se manifiesta a trav"
18169-07,"Modifica diversos cuerpos legales a fin de otorgar atención preferente para la constatación de lesiones a víctimas e imputados, así como para la realización de exámenes toxicológicos a conductores",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Transportes y telecomunicaciones,Salud | Constitución y justicia,0.816,empate_tematico,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Transportes y telecomunicaciones:12.50 || score_2=Salud:10.50","MODIFICA EL CÓDIGO PROCESAL PENAL Y LA LEY N°18.290, DE TRÁNSITO, PARA DISPONER UNA ATENCIÓN PREFERENTE PARA LA CONSTATACIÓN DE LESIONES DE VÍCTIMAS E IMPUTADOS , ASÍ COMO PARA LA REALIZACIÓN DE LOS EXÁMENES DE DETECCIÓN DE ALCOHOL U OTRAS SUSTANCIAS PSICOTRÓPICAS O ESTUPEFACIENTES EN CONDUCTORES Antecedentes y Fundamentos En el proceso penal existen actuaciones que inicialmente deben realizarse ante un servicio de salud. Ellas son esencialmente dos: la constatación de lesiones de personas víctimas o imputadas y los exámenes de medición de la presencia de alcohol u otras sustancias en la sangre. La así denominada “constatación de lesiones” del imputado se ampara en la garantía que el literal h) del artículo 93 del Código Procesal Penal reconoce a todo imputado -esté o no privado de libertad- en orden a no recibir tratos que afecten su integridad. De allí que ante la detención de un imput"
18455-07,Restringe la sustitución y remisión de sanciones respecto de adolescentes condenados por delitos de especial gravedad,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento","Familia, infancia y adolescencia",Seguridad | Constitución y justicia,0.816,empate_tematico,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Familia, infancia y adolescencia:14.00 || score_2=Seguridad:12.00","FUNDAMENTOS • La seguridad pública atraviesa una crisis profunda que ha impactado de manera directa la vida cotidiana de las familias chilenas. En los últimos años, delitos como encerronas, portonazos, robos con violencia, homicidios, secuestros, delitos sexuales graves, uso de armas de fuego y ataques contra funcionarios policiales han dejado de ser hechos aislados para convertirse en expresiones especialmente violentas de una criminalidad que actúa con mayor organización, mayor desprecio por la vida humana y mayor capa cidad de intimidación sobre la población. • Uno de los hechos que ha conmovido más profundamente al país fue la muerte de Alejandro Águila, un niño de 12 años, ocurrida en la comuna de San Bernardo en el contexto de una violenta encerrona. Su fallecimiento no sólo produjo dolor e indignación pública, sino que volvió a poner en el centro del debate una pregunta que el sis"
18264-07,"Modifica el artículo 57 de la Constitución Política de la República, para eliminar la facultad de las autoridades locales y regionales de renunciar a sus cargos para ser candidatos a diputados y senadores",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,0.817,solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:9.00 || score_2=Gobierno interior y descentralización:3.75","Antecedentes La actual legislación chilena est ablece un trat o desigual entre las autoridades locales y regionales frente a los legisladores respecto a la posibilidad de que postulen a otros cargos de elección p opular. Mientras el artículo 60 de la Constitución Política establec e causales específicas y restrictivas para el ce se de funciones de diputados y senadores, permitiéndoles renunciar únicamente cuando les afecte una enfermedad grave que les impida desempeñarlos, las autoridades locales y regionales gozan de una inflexibilidad injustificada para renunciar a sus cargos. El artículo 57 de la Constitución , que establece las inhabilidades para ejercer el cargo de diputado y senador, señala que no podrán serlo ciertas autoridades como los ministros de Estado, los gobernadores regionales, los alcaldes, los consejeros regionales y los concejales, entre otros. Sin embargo, en su incis"
18432-07,"Modifica el Código Penal para delimitar la aplicación del tipo penal de apremios ilegítimos u otros tratos crueles, inhumanos o degradantes, a conductas cometidas por empleados públicos respecto de personas bajo su custodia",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,0.817,solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:8.25 || score_2=Derechos humanos:2.25","Fundamentos: • Uno de los principales problemas interpretativos que ha generado la aplicación del artículo 150 D del Código Penal dice relación con la amplitud de su redacción y, especialmente, con la ausencia de una exigencia expresa de que la víctima se encuentre privada de libertad, bajo custodia o sometida al control efectivo del funcionario público imputado. En la práctica judicial, esta amplitud ha permitido que el delito de apremios ilegítimos sea invocado en contextos muy diversos, incluyendo procedimientos policiales dinámicos y actuaciones de control del orden público, aun cuando la víctima no se encontraba bajo custodia efectiva del funcionario. Ello ha abierto un debate relevante en relación a como parece inconveniente sostener una tesis extensiva del tipo penal y confundirlo con figuras como las lesiones, u otros ilícitos vinculados al uso ilegítimo de la fuerza. 25-06-2026 "
