boletin,rollcalls,titulo,fecha_ingreso,origen_iniciativa,tipo_iniciativa,camara_origen,codigo_destinacion,comision_origen_proxy,comisiones_tramitacion,topic_primary,topic_secondary,method,confidence,needs_review,review_reason,evidence,document_url,text_quality,source_url,taxonomy_version,text_excerpt,top_scores
17170-07,3,Modifica el Código Penal para agravar la pena y agregar una nueva circunstancia en el delito de robo en lugar no habitado,2024-10-09,parlamentario,Moción,Cámara de Diputados,07,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento | Agricultura, Silvicultura y Desarrollo Rural | Seguridad Ciudadana",Constitución y justicia,Seguridad,hibrido_institucional_texto,0.746,1,empate_tematico,"origen=Constitución, Legislación, Justicia y Reglamento || trayectoria=Agricultura, Silvicultura y Desarrollo Rural | Seguridad Ciudadana || score_1=Constitución y justicia:9.00 || score_2=Seguridad:8.75",https://www.camara.cl/verDoc.aspx?prmID=17396&prmTIPO=INICIATIVA,rica,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17793&prmBOLETIN=17170-07,institutional-hybrid-v0.3,"Modifica el Código Penal para agravar la sanción penal aplicable ante el delito de robo en lugar no habitado y consagrar una nueva circunstancia que constituiría fuerza en las cosas respecto de este mismo delito Fundamentos Nuestro país experimenta en la actualidad un complejo escenario en materia de seguridad y criminalidad. Asimismo, la población y los sectores rurales de Chile experimentan la misma realidad. En 2022, por ejemplo, se dio cuenta de un recrudecimiento en los delitos en zonas rurales en función de cómo las condiciones de dichas zonas facilitan los delitos: largas distancias, dificultades para acceder a distintas zonas, insuficiencia de funcionarios policiales, inclemencias climáticas y otras razones explican esta realidad. Los robos no violentos contra la propiedad son aquellos que posibilitan la apropiación de bienes sin mediar un acto violento o intimidatorio contra las personas, pero que suponen de igual manera una grave vulneración del patrimonio de la víctima. Dentro de esta clase de hechos, el robo en lugar no habitado es un fenómeno criminal que se sucede regularmente en zonas rurales y tuvo un incremento exponencial desde 2021 a 2022, así como también para 2023, tal como informa la Subsecretaría de Prevención del Delito: En el ámbito rural, como se ha expuesto, los robos han aumentado drásticamente. Ya en enero de este año se informaba que regiones con alta ruralidad, como Ñuble, presentan a la vez los más altos índices de victimización, dando cuenta así del impacto de los hechos criminales en las zonas rurales. Asimismo, el fenómeno del robo en lugar no habitado en zonas rurales conflictúa la legislación penal entre las figuras de robo y hurto, ya que en muchos casos los delincuentes pueden acceder a predios o inmuebles sin cometer fuerza en las","{""Constitución y justicia"": 9.0, ""Seguridad"": 8.75, ""Agricultura y mundo rural"": 8.0, ""Cultura y comunicaciones"": 1.5, ""Ciencia y tecnología"": 0.75, ""Agua y recursos hídricos"": 0.0}"
17235-07,1,Modifica el Código Penal para crear el tipo especial de robo cometido por tumulto o multitud,2024-11-14,parlamentario,Moción,Cámara de Diputados,07,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,hibrido_institucional_texto,0.83,1,solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:8.25 || score_2=Gobierno interior y descentralización:1.50",https://www.camara.cl/verDoc.aspx?prmID=17461&prmTIPO=INICIATIVA,rica,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17863&prmBOLETIN=17235-07,institutional-hybrid-v0.3,"Proyecto de ley que crea el tipo penal de robo cometido por tumulto o multitud. Antecedentes En los últimos años, hemos visto cómo la violencia en nuestro país ha ido en aumento, afectando tanto a la seguridad pública como a la percepción de seguridad de la ciudadanía. Los delincuentes, por su parte, han desarrollado nuevas formas de delinquir, adaptándose y creando modalidades de crimen más organizadas y de mayor impacto. Una de estas prácticas es conocida popularmente como los “turbazos”. Este término no se refiere a un tipo penal específico dentro de la legislación chilena, sino que describe un método de robo que involucra la participación de varias personas que actúan en conjunto, usando violencia o intimidación para cometer el delito. Los “turbazos” suelen caracterizarse por la irrupción de un grupo numeroso en un lugar público, como un centro comercial o tienda, con la finalidad de sustraer bienes de manera rápida y coordinada, creando caos y temor entre las víctimas. Esta modalidad dificulta las detenciones en el momento, ya que los delincuentes, al ser numerosos, logran distraer y superar las capacidades de seguridad en el lugar. La situación ha generado un debate en torno a la adecuación de las leyes actuales para sancionar de manera efectiva este tipo de conducta. De acuerdo a la información obtenida del sistema AUPOL, los turbazos han tenido una evolución de un 150% entre el año 2023 y 2024. En la legislación comparada, supuestos homologables sería el robo de bandas, pandillas o grupos de personas. Así, Argentina contempla dicha situación en el Art. 167 de su Código Penal. Lo mismo el Art. 185 del Código Penal de Perú. La ausencia de una tipificación clara para los ""turbazos"" genera la necesidad de discutir una actualización de nuestro marco penal, para que p","{""Constitución y justicia"": 8.25, ""Gobierno interior y descentralización"": 1.5, ""Cultura y comunicaciones"": 0.75, ""Seguridad"": 0.75, ""Vivienda y territorio"": 0.75, ""Agricultura y mundo rural"": 0.0}"
