boletin,sequence,commission,topic_proxy,is_origin_proxy,is_transversal,source_type,first_seen_date,etapa,evidence_event,source_url
18413-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-06-22,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19103&prmBOLETIN=18413-07
18414-18,1,"Familia, Infancia y Adolescencia","Familia, infancia y adolescencia",1,0,sufijo_boletin,2026-06-22,destinación inicial,Código de destinación del boletín: 18,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19109&prmBOLETIN=18414-18
18414-18,2,Mujeres y Equidad de Género,Mujeres y género,0,0,evento_tramitacion,2026-07-13,Primer trámite constitucional / C. Diputados,"Oficio N° 21381. Comunica a la Comisión de Mujeres y Equidad de Género que la Sala accedió a su solicitud, en orden a que le sea remitido el proyecto de ley.",https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19109&prmBOLETIN=18414-18
18385-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-06-23,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19088&prmBOLETIN=18385-07
18389-04,1,Educación,Educación,1,0,sufijo_boletin,2026-06-23,destinación inicial,Código de destinación del boletín: 04,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19070&prmBOLETIN=18389-04
18389-04,2,Hacienda,Economía y hacienda,0,1,evento_tramitacion,2026-08-03,Primer trámite constitucional / C. Diputados,Primer informe de comisión. Pasa a Comisión de Hacienda,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19070&prmBOLETIN=18389-04
18406-02,1,Defensa Nacional,Defensa,1,0,sufijo_boletin,2026-06-23,destinación inicial,Código de destinación del boletín: 02,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19089&prmBOLETIN=18406-02
18415-18,1,"Familia, Infancia y Adolescencia","Familia, infancia y adolescencia",1,0,sufijo_boletin,2026-06-23,destinación inicial,Código de destinación del boletín: 18,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19111&prmBOLETIN=18415-18
18415-18,2,Ciencia y Tecnología,Ciencia y tecnología,0,0,evento_tramitacion,2026-07-14,Primer trámite constitucional / C. Diputados,"Comunica el acuerdo de los Comités Parlamentarios para radicar el proyecto en la Comisión de Futuro, Ciencias, tecnología, Conocimiento e Innovación",https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19111&prmBOLETIN=18415-18
18416-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-06-23,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19110&prmBOLETIN=18416-07
