boletin,sequence,commission,topic_proxy,is_origin_proxy,is_transversal,source_type,first_seen_date,etapa,evidence_event,source_url
18482-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-14,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19166&prmBOLETIN=18482-07
18483-01,1,"Agricultura, Silvicultura y Desarrollo Rural",Agricultura y mundo rural,1,0,sufijo_boletin,2026-07-14,destinación inicial,Código de destinación del boletín: 01,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19171&prmBOLETIN=18483-01
18484-15,1,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,1,0,sufijo_boletin,2026-07-14,destinación inicial,Código de destinación del boletín: 15,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19167&prmBOLETIN=18484-15
18485-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-14,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19163&prmBOLETIN=18485-07
18486-03,1,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores",1,0,sufijo_boletin,2026-07-14,destinación inicial,Código de destinación del boletín: 03,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19169&prmBOLETIN=18486-03
18487-12,1,Medio Ambiente y Recursos Naturales,Medio ambiente,1,0,sufijo_boletin,2026-07-14,destinación inicial,Código de destinación del boletín: 12,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19165&prmBOLETIN=18487-12
18462-11,1,Salud,Salud,1,0,sufijo_boletin,2026-07-15,destinación inicial,Código de destinación del boletín: 11,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19151&prmBOLETIN=18462-11
18464-14,1,"Vivienda, Desarrollo Urbano",Vivienda y territorio,1,0,sufijo_boletin,2026-07-15,destinación inicial,Código de destinación del boletín: 14,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19146&prmBOLETIN=18464-14
18464-14,2,Hacienda,Economía y hacienda,0,1,evento_tramitacion,2026-08-05,Primer trámite constitucional / C. Diputados,Primer informe de comisión. Pasa a Comisión de Hacienda,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19146&prmBOLETIN=18464-14
18470-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-15,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19150&prmBOLETIN=18470-07
18490-06,1,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,1,0,sufijo_boletin,2026-07-15,destinación inicial,Código de destinación del boletín: 06,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19168&prmBOLETIN=18490-06
18529-14,1,"Vivienda, Desarrollo Urbano",Vivienda y territorio,1,0,sufijo_boletin,2026-07-15,destinación inicial,Código de destinación del boletín: 14,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19207&prmBOLETIN=18529-14
18598-06,1,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,1,0,sufijo_boletin,2026-07-15,destinación inicial,Código de destinación del boletín: 06,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19284&prmBOLETIN=18598-06
18492-13,1,Trabajo y Seguridad Social,Trabajo y seguridad social,1,0,sufijo_boletin,2026-07-16,destinación inicial,Código de destinación del boletín: 13,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19183&prmBOLETIN=18492-13
18493-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-17,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19182&prmBOLETIN=18493-07
18494-06,1,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,1,0,sufijo_boletin,2026-07-17,destinación inicial,Código de destinación del boletín: 06,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19178&prmBOLETIN=18494-06
18495-04,1,Educación,Educación,1,0,sufijo_boletin,2026-07-20,destinación inicial,Código de destinación del boletín: 04,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19176&prmBOLETIN=18495-04
18496-06,1,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,1,0,sufijo_boletin,2026-07-20,destinación inicial,Código de destinación del boletín: 06,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19177&prmBOLETIN=18496-06
18497-11,1,Salud,Salud,1,0,sufijo_boletin,2026-07-20,destinación inicial,Código de destinación del boletín: 11,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19181&prmBOLETIN=18497-11
18498-19,1,Ciencia y Tecnología,Ciencia y tecnología,1,0,sufijo_boletin,2026-07-20,destinación inicial,Código de destinación del boletín: 19,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19179&prmBOLETIN=18498-19
18499-02,1,Defensa Nacional,Defensa,1,0,sufijo_boletin,2026-07-20,destinación inicial,Código de destinación del boletín: 02,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19184&prmBOLETIN=18499-02
18500-13,1,Trabajo y Seguridad Social,Trabajo y seguridad social,1,0,sufijo_boletin,2026-07-20,destinación inicial,Código de destinación del boletín: 13,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19180&prmBOLETIN=18500-13
18472-04,1,Educación,Educación,1,0,sufijo_boletin,2026-07-21,destinación inicial,Código de destinación del boletín: 04,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19162&prmBOLETIN=18472-04
18478-13,1,Trabajo y Seguridad Social,Trabajo y seguridad social,1,0,evento_tramitacion,2026-07-21,Primer trámite constitucional / C. Diputados,"Oficio N° 21405. Comunica a la Comisión del Trabajo y Seguridad Social el acuerdo de la Sala, en orden a remitir el proyecto de ley a la Comisión de Economía, Fomento; Micro, Pequeña y Mediana Empresa; Protección de los Consumidores y Turismo, con posterioridad a su despacho.",https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19161&prmBOLETIN=18478-13
18488-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-21,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19173&prmBOLETIN=18488-07
18489-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-21,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19174&prmBOLETIN=18489-07
18491-03,1,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores",1,0,sufijo_boletin,2026-07-21,destinación inicial,Código de destinación del boletín: 03,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19175&prmBOLETIN=18491-03
18506-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-21,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19190&prmBOLETIN=18506-07
18507-04,1,Educación,Educación,1,0,evento_tramitacion,2026-08-04,Primer trámite constitucional / C. Diputados,"Oficio N° 21429. Comunica a la Comisión de Futuro, Ciencias, Tecnología, Conocimiento e Innovación el acuerdo de la Sala, en orden remiti a ésta el proyecto de ley, correspondiente al boletín N° 18.507-04, inicialmente asignado a la Comisión de Educación.",https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19189&prmBOLETIN=18507-04
18507-04,2,Ciencia y Tecnología,Ciencia y tecnología,0,0,evento_tramitacion,2026-08-04,Primer trámite constitucional / C. Diputados,"Oficio N° 21429. Comunica a la Comisión de Futuro, Ciencias, Tecnología, Conocimiento e Innovación el acuerdo de la Sala, en orden remiti a ésta el proyecto de ley, correspondiente al boletín N° 18.507-04, inicialmente asignado a la Comisión de Educación.",https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19189&prmBOLETIN=18507-04
18508-04,1,Educación,Educación,1,0,sufijo_boletin,2026-07-21,destinación inicial,Código de destinación del boletín: 04,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19193&prmBOLETIN=18508-04
18509-35,1,Obras Públicas,Infraestructura y obras públicas,0,0,evento_tramitacion,2026-08-03,Primer trámite constitucional / C. Diputados,"Oficio N° 21431. Comunica a la Comisión de Personas Mayores y Discapacidad el acuerdo de la Sala, en orden a remitir el proyecto de ley a la Comisión de Obras Públicas, Transportes, con posterioridad a su despacho.",https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19192&prmBOLETIN=18509-35
18509-35,2,Personas Mayores y Discapacidad,Personas mayores y discapacidad,1,0,evento_tramitacion,2026-08-03,Primer trámite constitucional / C. Diputados,"Oficio N° 21431. Comunica a la Comisión de Personas Mayores y Discapacidad el acuerdo de la Sala, en orden a remitir el proyecto de ley a la Comisión de Obras Públicas, Transportes, con posterioridad a su despacho.",https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19192&prmBOLETIN=18509-35
18509-35,3,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,0,0,evento_tramitacion,2026-08-03,Primer trámite constitucional / C. Diputados,"Oficio N° 21432. Comunica a la Comisión de Obras Públicas, Transporte y Telecomunicaciones la asignación del proyecto de ley, una vez despachado por la Comisión de Personas Mayores.",https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19192&prmBOLETIN=18509-35
18502-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-22,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19185&prmBOLETIN=18502-07
18503-13,1,Trabajo y Seguridad Social,Trabajo y seguridad social,1,0,sufijo_boletin,2026-07-22,destinación inicial,Código de destinación del boletín: 13,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19186&prmBOLETIN=18503-13
18504-09,1,Obras Públicas,Infraestructura y obras públicas,1,0,sufijo_boletin,2026-07-22,destinación inicial,Código de destinación del boletín: 09,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19187&prmBOLETIN=18504-09
18510-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-22,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19191&prmBOLETIN=18510-07
18511-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-22,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19199&prmBOLETIN=18511-07
18511-07,2,Personas Mayores y Discapacidad,Personas mayores y discapacidad,0,0,evento_tramitacion,2026-08-10,Primer trámite constitucional / C. Diputados,"Oficio N°21.471. Comunica que la Cámara de Diputados dio su acuerdo a la solicitud de la Comisión de Personas Mayores y Discapacidad, para que se le remita el proyecto de ley en calidad de comisión técnica.",https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19199&prmBOLETIN=18511-07
18512-03,1,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores",1,0,sufijo_boletin,2026-07-22,destinación inicial,Código de destinación del boletín: 03,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19201&prmBOLETIN=18512-03
18538-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-22,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19226&prmBOLETIN=18538-07
18513-03,1,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores",1,0,sufijo_boletin,2026-07-23,destinación inicial,Código de destinación del boletín: 03,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19196&prmBOLETIN=18513-03
18514-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,evento_tramitacion,2026-08-04,Primer trámite constitucional / C. Diputados,"Oficio N° 21436. Remite a la Comisión de Seguridad Ciudadana el proyecto de ley asignado incialmente a la Comisión de Constitución, Legislación, Justicia y Reglamento.",https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19197&prmBOLETIN=18514-07
18514-07,2,Seguridad Ciudadana,Seguridad,0,0,evento_tramitacion,2026-08-04,Primer trámite constitucional / C. Diputados,"Oficio N° 21436. Remite a la Comisión de Seguridad Ciudadana el proyecto de ley asignado incialmente a la Comisión de Constitución, Legislación, Justicia y Reglamento.",https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19197&prmBOLETIN=18514-07
18515-08,1,Minería y Energía,Minería y energía,1,0,sufijo_boletin,2026-07-24,destinación inicial,Código de destinación del boletín: 08,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19200&prmBOLETIN=18515-08
18516-18,1,"Familia, Infancia y Adolescencia","Familia, infancia y adolescencia",1,0,sufijo_boletin,2026-07-24,destinación inicial,Código de destinación del boletín: 18,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19195&prmBOLETIN=18516-18
18517-15,1,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,1,0,sufijo_boletin,2026-07-26,destinación inicial,Código de destinación del boletín: 15,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19198&prmBOLETIN=18517-15
18501-10,1,Relaciones Exteriores,Relaciones exteriores,1,0,sufijo_boletin,2026-07-27,destinación inicial,Código de destinación del boletín: 10,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19194&prmBOLETIN=18501-10
18518-06,1,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,1,0,sufijo_boletin,2026-07-27,destinación inicial,Código de destinación del boletín: 06,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19213&prmBOLETIN=18518-06
18519-13,1,Trabajo y Seguridad Social,Trabajo y seguridad social,1,0,sufijo_boletin,2026-07-27,destinación inicial,Código de destinación del boletín: 13,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19212&prmBOLETIN=18519-13
18520-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-27,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19211&prmBOLETIN=18520-07
18531-03,1,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores",1,0,sufijo_boletin,2026-07-28,destinación inicial,Código de destinación del boletín: 03,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19214&prmBOLETIN=18531-03
18531-03,2,Defensa Nacional,Defensa,0,0,evento_tramitacion,2026-08-06,Primer trámite constitucional / C. Diputados,"Oficio N° 21460. Comunica a la Comisión de Defensa Nacional el acuerdo de la Sala, por el cual le asigna el proyecto de ley, una vez que sea despachado por la Comisión de Economía.",https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19214&prmBOLETIN=18531-03
18527-04,1,Educación,Educación,1,0,sufijo_boletin,2026-07-29,destinación inicial,Código de destinación del boletín: 04,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19210&prmBOLETIN=18527-04
18528-01,1,"Agricultura, Silvicultura y Desarrollo Rural",Agricultura y mundo rural,1,0,sufijo_boletin,2026-07-29,destinación inicial,Código de destinación del boletín: 01,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19208&prmBOLETIN=18528-01
18530-02,1,Defensa Nacional,Defensa,1,0,sufijo_boletin,2026-07-29,destinación inicial,Código de destinación del boletín: 02,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19209&prmBOLETIN=18530-02
18532-06,1,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,1,0,sufijo_boletin,2026-07-29,destinación inicial,Código de destinación del boletín: 06,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19223&prmBOLETIN=18532-06
18533-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-29,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19222&prmBOLETIN=18533-07
18622-24,1,"Cultura, Artes y Comunicaciones",Cultura y comunicaciones,1,0,sufijo_boletin,2026-07-29,destinación inicial,Código de destinación del boletín: 24,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19306&prmBOLETIN=18622-24
18505-06,1,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,1,0,sufijo_boletin,2026-07-30,destinación inicial,Código de destinación del boletín: 06,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19188&prmBOLETIN=18505-06
18526-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-30,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19206&prmBOLETIN=18526-07
18534-13,1,Trabajo y Seguridad Social,Trabajo y seguridad social,1,0,sufijo_boletin,2026-07-30,destinación inicial,Código de destinación del boletín: 13,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19218&prmBOLETIN=18534-13
18535-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-30,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19217&prmBOLETIN=18535-07
18536-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-31,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19224&prmBOLETIN=18536-07
18537-06,1,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,1,0,sufijo_boletin,2026-07-31,destinación inicial,Código de destinación del boletín: 06,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19221&prmBOLETIN=18537-06
18521-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-08-03,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19202&prmBOLETIN=18521-07
18522-10,1,Relaciones Exteriores,Relaciones exteriores,1,0,sufijo_boletin,2026-08-03,destinación inicial,Código de destinación del boletín: 10,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19203&prmBOLETIN=18522-10
18540-06,1,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,1,0,sufijo_boletin,2026-08-03,destinación inicial,Código de destinación del boletín: 06,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19216&prmBOLETIN=18540-06
18523-16,1,Régimen Interno y Administración,Administración parlamentaria,1,1,sufijo_boletin,2026-08-04,destinación inicial,Código de destinación del boletín: 16,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19215&prmBOLETIN=18523-16
18524-05,1,Hacienda,Economía y hacienda,1,1,sufijo_boletin,2026-08-04,destinación inicial,Código de destinación del boletín: 05,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19204&prmBOLETIN=18524-05
18525-06,1,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,1,0,sufijo_boletin,2026-08-04,destinación inicial,Código de destinación del boletín: 06,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19205&prmBOLETIN=18525-06
18539-21,1,"Pesca, Acuicultura e Intereses Marítimos",Pesca y acuicultura,1,0,sufijo_boletin,2026-08-04,destinación inicial,Código de destinación del boletín: 21,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19228&prmBOLETIN=18539-21
18541-06,1,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,1,0,sufijo_boletin,2026-08-04,destinación inicial,Código de destinación del boletín: 06,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19219&prmBOLETIN=18541-06
18541-06,2,Seguridad Ciudadana,Seguridad,0,0,evento_tramitacion,2026-08-06,Primer trámite constitucional / C. Diputados,Eximido del trámite ante Comisión Derivado a Comisión de Seguridad Ciudadana,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19219&prmBOLETIN=18541-06
18542-29,1,Deportes y Recreación,Deportes,1,0,sufijo_boletin,2026-08-04,destinación inicial,Código de destinación del boletín: 29,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19225&prmBOLETIN=18542-29
18543-35,1,Personas Mayores y Discapacidad,Personas mayores y discapacidad,1,0,sufijo_boletin,2026-08-04,destinación inicial,Código de destinación del boletín: 35,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19220&prmBOLETIN=18543-35
18544-06,1,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,1,0,sufijo_boletin,2026-08-04,destinación inicial,Código de destinación del boletín: 06,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19244&prmBOLETIN=18544-06
18545-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-08-04,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19243&prmBOLETIN=18545-07
18546-34,1,Mujeres y Equidad de Género,Mujeres y género,1,0,sufijo_boletin,2026-08-04,destinación inicial,Código de destinación del boletín: 34,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19229&prmBOLETIN=18546-34
18547-35,1,Personas Mayores y Discapacidad,Personas mayores y discapacidad,1,0,sufijo_boletin,2026-08-04,destinación inicial,Código de destinación del boletín: 35,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19232&prmBOLETIN=18547-35
18548-11,1,Salud,Salud,1,0,sufijo_boletin,2026-08-04,destinación inicial,Código de destinación del boletín: 11,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19230&prmBOLETIN=18548-11
18549-15,1,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,1,0,sufijo_boletin,2026-08-04,destinación inicial,Código de destinación del boletín: 15,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19231&prmBOLETIN=18549-15
18550-36,1,"Familia, Infancia y Adolescencia","Familia, infancia y adolescencia",1,0,sufijo_boletin,2026-08-04,destinación inicial,Código de destinación del boletín: 36,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19233&prmBOLETIN=18550-36
18552-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-08-04,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19234&prmBOLETIN=18552-07
18551-04,1,Educación,Educación,1,0,sufijo_boletin,2026-08-05,destinación inicial,Código de destinación del boletín: 04,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19227&prmBOLETIN=18551-04
18553-11,1,Salud,Salud,1,0,sufijo_boletin,2026-08-05,destinación inicial,Código de destinación del boletín: 11,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19235&prmBOLETIN=18553-11
18554-36,1,"Familia, Infancia y Adolescencia","Familia, infancia y adolescencia",1,0,sufijo_boletin,2026-08-05,destinación inicial,Código de destinación del boletín: 36,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19236&prmBOLETIN=18554-36
18555-17,1,Derechos Humanos y Pueblos Originarios,Derechos humanos,1,0,sufijo_boletin,2026-08-05,destinación inicial,Código de destinación del boletín: 17,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19237&prmBOLETIN=18555-17
18556-13,1,Trabajo y Seguridad Social,Trabajo y seguridad social,1,0,sufijo_boletin,2026-08-05,destinación inicial,Código de destinación del boletín: 13,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19238&prmBOLETIN=18556-13
18557-03,1,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores",1,0,sufijo_boletin,2026-08-05,destinación inicial,Código de destinación del boletín: 03,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19239&prmBOLETIN=18557-03
18562-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-08-05,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19248&prmBOLETIN=18562-07
18563-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-08-05,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19246&prmBOLETIN=18563-07
18564-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-08-05,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19242&prmBOLETIN=18564-07
18565-03,1,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores",1,0,sufijo_boletin,2026-08-05,destinación inicial,Código de destinación del boletín: 03,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19247&prmBOLETIN=18565-03
18565-03,2,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,0,1,evento_tramitacion,2026-08-19,Primer trámite constitucional / C. Diputados,"Oficio N° 21.475. Remite a la Comisión de Economía, Fomento; Micro, Pequeña y Mediana Empresa; Protección de los Consumidores y Turismo, el proyecto de ley, inicialmente asignado a la Comisión de Constitución, Legislación, Justicia y Reglamento.",https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19247&prmBOLETIN=18565-03
18566-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-08-05,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19245&prmBOLETIN=18566-07
