boletin,project_id,fecha_ingreso,origen_iniciativa,titulo,document_type,event_label,source_url,resolved_url,mime_type,extraction_method,pages_total,units_examined,raw_chars,cleaned_chars,text_quality,text_sha256,synced_at
18424-07,19098,2026-06-24,parlamentario,"Modifica el Código de Procedimiento Civil, con el objeto de establecer la inembargabilidad de determinadas sumas de dinero pertenecientes a deudores de créditos destinados a financiar estudios de educación superior, en las condiciones que indica",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18645&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18645&prmTIPO=INICIATIVA,application/pdf,pdf_text,4,4,6864,6864,rica,8ec802a9cadc37bbf2e4b1802aee99be3f86cbdfa863e306e312f46d747cc2dc,2026-09-02T15:10:57+00:00
18425-15,19095,2026-06-24,parlamentario,"Modifica la Ley de Tránsito, con el objeto de hacer procedente la aplicación de la medida cautelar de suspensión provisoria de la licencia de conducir, en el caso del delito que indica",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18642&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18642&prmTIPO=INICIATIVA,application/pdf,pdf_text,2,2,3482,3482,rica,770db7bf9b3cf87f7bc35f3e4c4d6e8afa39bec68f0699b5f53d9452a18f0370,2026-09-02T15:10:58+00:00
18426-07,19091,2026-06-30,parlamentario,"Modifica el Código Penal, con el objeto de aumentar la sanción asignada al homicidio simple y modificar reglas de determinación de la pena respecto de los delitos que indica",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18638&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18638&prmTIPO=INICIATIVA,application/pdf,pdf_text,7,7,14910,14910,rica,0419137bd68f74029a24878242e3927ae16c43bee69f59938871c8a7ad185e8c,2026-09-02T15:11:03+00:00
18427-07,19096,2026-07-03,parlamentario,"Modifica el artículo 52 de la Carta Fundamental, en materia de procedencia y admisibilidad de las acusaciones constitucionales",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18643&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18643&prmTIPO=INICIATIVA,application/pdf,pdf_text,7,7,15785,15785,rica,149d922b399676fcc988c8b60a5e0ebf5917fbc114377757c34eea9ef3e73eaa,2026-09-02T15:11:05+00:00
18428-10,19105,2026-07-06,ejecutivo,"Aprueba el Sexto Protocolo Adicional al Acuerdo de Alcance Parcial sobre Transporte Internacional Terrestre, suscrito en Montevideo, el 4 de agosto de 2025",texto_mensaje,Texto del Mensaje,https://www.camara.cl/verDoc.aspx?prmID=36777&prmTIPO=OFICIOPLEY,https://www.camara.cl/verDoc.aspx?prmID=36777&prmTIPO=OFICIOPLEY,application/vnd.openxmlformats-officedocument.wordprocessingml.document,docx_text,0,123,7086,7086,rica,48c5cd65ac8960477fc6a93d68fdaf9b718cfe924ea07dabddf565b127d232fc,2026-09-02T15:11:07+00:00
18429-10,19106,2026-07-06,ejecutivo,"Aprueba el Tratado entre la República de Chile y la República Federativa de Brasil sobre Asistencia Jurídica Mutua en Materia Penal, hecho en Brasilia, el 22 de abril de 2025",texto_mensaje,Texto de Mensaje,https://www.camara.cl/verDoc.aspx?prmID=36778&prmTIPO=OFICIOPLEY,https://www.camara.cl/verDoc.aspx?prmID=36778&prmTIPO=OFICIOPLEY,application/vnd.openxmlformats-officedocument.wordprocessingml.document,docx_text,0,119,9332,9332,rica,5d868139cd37c658fd30ed9b70d57394470894609cca3785e2c1f0d4b5cfcbfe,2026-09-02T15:16:09+00:00
18430-07,19114,2026-06-24,parlamentario,"Modifica el Código Orgánico de Tribunales, con el objeto de actualizar las reglas de competencia penal respecto de delitos cometidos mediante sistemas informáticos, plataformas tecnológicas u otros medios digitales",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18661&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18661&prmTIPO=INICIATIVA,application/pdf,pdf_text,10,10,18081,18081,rica,a51f82f46a37184300057e557d8e1f7c33907840312af65e22c59d1453c91c24,2026-09-02T15:10:58+00:00
18431-31,19107,2026-07-06,ejecutivo,"Modifica la ley N° 21.805, que reconoce el derecho al cuidado y crea el Sistema Nacional de Apoyos y Cuidados, y otros cuerpos normativos que indica",texto_mensaje,Texto del Mensaje,https://www.camara.cl/verDoc.aspx?prmID=36779&prmTIPO=OFICIOPLEY,https://www.camara.cl/verDoc.aspx?prmID=36779&prmTIPO=OFICIOPLEY,application/vnd.openxmlformats-officedocument.wordprocessingml.document,docx_text,0,226,18596,18596,rica,a98304cf8eb58ecf6d4e149913282abf0e169d22a00251cc921a3292263d16c8,2026-09-02T15:11:07+00:00
18432-07,19117,2026-06-25,parlamentario,"Modifica el Código Penal para delimitar la aplicación del tipo penal de apremios ilegítimos u otros tratos crueles, inhumanos o degradantes, a conductas cometidas por empleados públicos respecto de personas bajo su custodia",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18664&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18664&prmTIPO=INICIATIVA,application/pdf,pdf_text,6,6,6476,4724,rica,ed612c54c6bc762ba75b8135b4552a544b77becf0f34a84d330da41843d94531,2026-09-02T15:11:00+00:00
18433-04,19118,2026-06-25,parlamentario,Modifica diversos cuerpos legales para promover la ciudadanía digital y establecer medidas de prevención y protección frente al daño digital en el sistema escolar,ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18665&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18665&prmTIPO=INICIATIVA,application/pdf,pdf_text,7,7,13184,11490,rica,cfaaed85e9e52b271f7e183d98981d02ad5960662d9c7a1e6881c51294ca529a,2026-09-02T15:11:00+00:00
