boletin,titulo,origen_iniciativa,comision_origen_proxy,comisiones_tramitacion,topic_primary,topic_secondary,method,confidence,needs_review,review_reason,evidence,taxonomy_version,text_excerpt,top_scores
18182-07,"Deroga la ley N° 80, que manda publicar en el Diario Oficial y en orden correlativo todos los decretos de que tome razón la Dirección del Tesoro",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,hibrido_institucional_texto,0.583,1,evidencia_semantica_debil | empate_tematico | solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:1.00 || score_2=Cultura y comunicaciones:0.75",institutional-hybrid-v0.3,"Boletín N° 18.182-07 Proyecto de ley, iniciado en Moción de los Honorables Senadores señores Urrutia, Carter, Squella, Trisotti y Vial, que deroga la ley N° 80, que manda publicar en el Diario Oficial y en orden correlativo todos los decretos de que tome razón la Dirección del Tesoro. FUNDAMENTOS Nuestro ordenamiento jurídico ha crecido sostenidamente en el tiempo, dando lugar a que subsistan disposiciones dictadas en contextos que no se corresponden con la realidad actual. Por lo anterior, existen leyes que han caído en desuso o han sido superadas por regulaciones posteriores, generando incertidumbre en cuanto a su vigencia. Esta situación dificulta la adecuada identificación del derecho aplicable y puede dar lugar a interpretaciones divergentes. En particular, la ausencia de una derogación expresa respecto de determinadas normas obliga, en muchos casos, a efectuar ejercicios interpretativos para determinar si estas se mantienen o no vigentes, lo que no siempre resulta evidente y puede afectar la certeza ju rídica. En este sentido, nuestro ordenamiento jurídico contempla tanto la derogación expresa como tácita; mientras la primera permite identificar de manera clara y formal la exclusión de una norma del sistema jurídico, produciendo efectos generales, la seg unda supone un ejercicio interpretativo para determinar la incompatibilidad entre disposiciones, cuyos efectos se circunscriben al caso concreto. En ese contexto, se estima necesario este proceso de revisión y depuración legislativa, orientado a precisar e l ordenamiento jurídico vigente, eliminando disposiciones que ya no cumplen una función efectiva dentro del sistema jurídico. En virtud de lo anterior, el presente proyecto tiene por objeto disponer la derogación expresa de la ley que se indica, contribuye ndo así a una mayor claridad y coherencia de nuestro ordenamiento jurídico. PROYECTO DE LEY Artículo único: Derógase expresamente la Ley N° 80, que “Manda publicar en Diario Oficial y en orden correlativo todos los decretos de que tome razón la direcci ón del Tesoro.”, publicada en el Diario Oficial con fecha 17 de agosto de 1893.","{""Constitución y justicia"": 1.0, ""Cultura y comunicaciones"": 0.75, ""Agricultura y mundo rural"": 0.0, ""Agua y recursos hídricos"": 0.0, ""Ciencia y tecnología"": 0.0, ""Defensa"": 0.0}"
18184-07,"Deroga la ley N° 1.187, sobre internación de mercaderías por los boquetes de Antuco, Lonquimay, Pucón y Nahuelhuapi",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,hibrido_institucional_texto,0.583,1,evidencia_semantica_debil | empate_tematico | solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:1.00 || score_2=Cultura y comunicaciones:0.75",institutional-hybrid-v0.3,"Boletín N° 18.184-07 Proyecto de ley, iniciado en Moción d e los Honorables Senadores señores Urrutia, Carter, Squella, Trisotti y Vial, que deroga la ley N° 1.187, sobre internación de mercaderías por los boquetes de Antuco, Lonquimay, Pucón y Nahuelhuapi. FUNDAMENTOS Nuestro ordenamiento jurídico ha crecido sostenidamente en el tiempo, dando lugar a que subsistan disposiciones dictadas en contextos que no se corresponden con la realidad actual. Por lo anterior, existen leyes que han caído en desuso o han sido superadas por regulaciones posteriores, generando incertidumbre en cuanto a su vigencia. Esta situación dificulta la adecuada identificación del derecho aplicable y puede dar lugar a interpretaciones divergentes. En particular, la ausencia de una derogación expresa respecto de determinadas normas obliga, en muchos casos, a efectuar ejercicios interpretativos para determinar si estas se mantienen o no vigentes, lo que no siempre resulta evidente y puede afectar la certeza jurídica. En este sentido, nuestro ordenamiento jurídico contempla tanto la derogación expresa como tácita; mientras la primera permite identificar de manera clara y formal la exclusión de una norma del sistema jurídico, produciendo efectos generales, la segunda supone un ejercicio interpretativo par a determinar la incompatibilidad entre disposiciones, cuyos efectos se circunscriben al caso concreto. En ese contexto, se estima necesario este proceso de revisión y depuración legislativa, orientado a precisar el ordenamiento jurídico vigente, eliminando disposiciones que ya no cumplen una función efectiva dentro del sistema jurídico. En virtud de lo anterior, el presente proyecto tiene por objeto disponer la derogación expresa de la ley que se indica, contribuyendo así a una mayor claridad y coherencia de nuestro ordenamiento jurídico. PROYECTO DE LEY Artículo único: Derógase expresamente la ley N° 1187, que “Permite la internación, en tránsito, de lanas, crin y pieles al natural, por los boquetes de la cordillera que se expresan.”, publicada en el Diario Oficial con fecha 26 de enero de 1899.","{""Constitución y justicia"": 1.0, ""Cultura y comunicaciones"": 0.75, ""Transportes y telecomunicaciones"": 0.75, ""Agricultura y mundo rural"": 0.0, ""Agua y recursos hídricos"": 0.0, ""Ciencia y tecnología"": 0.0}"
18187-07,"Deroga la ley N° 1.930, que fija la ley de las monedas de un peso y cincuenta centavos",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,hibrido_institucional_texto,0.583,1,evidencia_semantica_debil | empate_tematico | solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:1.00 || score_2=Cultura y comunicaciones:0.75",institutional-hybrid-v0.3,"Boletín N° 18.187-07 Proyecto de ley, iniciado en M oción d e los Honorables Senadores señores Urrutia, Carter, Squella, Trisotti y Vial, que deroga la ley N° 1.930, que fija la ley de las monedas de un peso y cincuenta centavos. FUNDAMENTOS Nuestro ordenamiento jurídico ha crecido sostenidamente en el tiempo, dando lugar a que subsistan disposiciones dictadas en contextos que no se corresponden con la realidad actual. Por lo anterior, existen leyes que han caído en desuso o han sido superadas por regulaciones posteriores, generando incertidumbre en cuanto a su vigencia. Esta situación dificulta la adecuada identificación del derecho aplicable y puede dar lugar a interpretaciones divergentes. En particular, la ausencia de una derogación expresa respecto de determinadas normas obliga, en muchos casos, a efectuar ejercicios interpretativos para determinar si estas se mantienen o no vigentes, lo que no siempre resulta evidente y puede afectar la certeza jurídica. En este sentido, nuestro ordenamiento jurídico contempla tanto la derogación expresa como tácita; mientras la primera permite identificar de manera clara y formal la exclusión de una norma del sistema jurídico, produciendo efectos generales, la segunda supone un ejercicio interpretativo par a determinar la incompatibilidad entre disposiciones, cuyos efectos se circunscriben al caso concreto. En ese contexto, se estima necesario este proceso de revisión y depuración legislativa, orientado a precisar el ordenamiento jurídico vigente, eliminando disposiciones que ya no cumplen una función efectiva dentro del sistema jurídico. En virtud de lo anterior, el presente proyecto tiene por objeto disponer la derogación expresa de la ley que se indica, contribuyendo así a una mayor claridad y coherencia d e nuestro ordenamiento jurídico. PROYECTO DE LEY Artículo único: Derógase expresamente la ley N° 1930, que “Fija la ley de monedas de un peso y cincuenta centavos.”, publicada en el Diario Oficial con fecha 09 de febrero de 1907.","{""Constitución y justicia"": 1.0, ""Cultura y comunicaciones"": 0.75, ""Agricultura y mundo rural"": 0.0, ""Agua y recursos hídricos"": 0.0, ""Ciencia y tecnología"": 0.0, ""Defensa"": 0.0}"
18188-07,"Deroga la ley N° 3.297, que prohíbe la exportación de los metales viejos o usados, que se indica",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,hibrido_institucional_texto,0.583,1,evidencia_semantica_debil | empate_tematico | solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:1.00 || score_2=Cultura y comunicaciones:0.75",institutional-hybrid-v0.3,"Boletín N° 18.188-07 Proyecto de ley, iniciado en M oción d e los Honorables Senadores señores Urrutia, Carter, Squella, Trisotti y Vial, que deroga la ley N° 3.297, que prohíbe la exportación de los metales viejos o usados, que se indican. FUNDAMENTOS Nuestro ordenamiento jurídico ha crecido sostenidamente en el tiempo, dando lugar a que subsistan disposiciones dictadas en contextos que no se corresponden con la realidad actual. Por lo anterior, existen leyes que han caído en desuso o han sido superadas por regulaciones posteriores, generando incertidumbre en cuanto a su vigencia. Esta situación dificulta la adecuada identificación del derecho aplicable y puede dar lugar a interpretaciones divergentes. En particular, la ausencia de una derogación expresa respecto de determinadas normas obliga, en muchos casos, a efectuar ejercicios interpretativos para determinar si estas se mantienen o no vigentes, lo que no siempre resulta evidente y puede afectar la certeza jurídica. En este sentido, nuestro ordenamiento jurídico contempla tanto la derogación expresa como tácita; mientras la primera permite identificar de manera clara y formal la exclusión de una norma del sistema jurídico, produciendo efectos generales, la segunda supone un ejercicio interpretativo par a determinar la incompatibilidad entre disposiciones, cuyos efectos se circunscriben al caso concreto. En ese contexto, se estima necesario este proceso de revisión y depuración legislativa, orientado a precisar el ordenamiento jurídico vigente, eliminando disposiciones que ya no cumplen una función efectiva dentro del sistema jurídico. En virtud de lo anterior, el presente proyecto tiene por objeto disponer la derogación expresa de la ley que se indica, contribuyendo así a una mayor claridad y coherencia d e nuestro ordenamiento jurídico. PROYECTO DE LEY Artículo único: Derógase expresamente la Ley N° 3297, que “Prohíbe la exportación de los metales viejos o usados, que se indican.”, publicada en el Diario Oficial con fecha 21 de septiembre de 1917.","{""Constitución y justicia"": 1.0, ""Cultura y comunicaciones"": 0.75, ""Agricultura y mundo rural"": 0.0, ""Agua y recursos hídricos"": 0.0, ""Ciencia y tecnología"": 0.0, ""Defensa"": 0.0}"
18343-16,"Modifica el inciso segundo del artículo 355 del Reglamento de la Cámara de Diputados, con el objeto de aumentar el quorum de los acuerdos adoptados por la Comisión de Ética que apliquen sanciones por faltas a los deberes parlamentarios",parlamentario,Régimen Interno y Administración,Régimen Interno y Administración,Administración parlamentaria,,hibrido_institucional_texto,0.583,1,evidencia_semantica_debil | empate_tematico | solo_comision_transversal,origen=Régimen Interno y Administración || score_1=Administración parlamentaria:1.00 || score_2=Cultura y comunicaciones:0.75,institutional-hybrid-v0.3,"ANTECEDENTES La Comisión de Ética y Transparencia (en adelante, “la Comisión”) corresponde a una instancia de gran relevancia en el funcionamiento de la Cámara de Diputados, por cuanto ejerce la potestad disciplinaria respecto de eventuales incumplimientos de deberes parlamentarios tanto en ejercicio del cargo como también en otras actuaciones públicas fuera del ámbito de las funciones legislativas y fiscalizadoras. De acuerdo con lo dispuesto en el artículo 351 del Reglamento de la Corporación (en adelante “el Reglamento”), el procedimiento destinado al conocimiento de posibles vulneraciones al estatuto de obligaciones en materia de ética, probidad y transparencia puede iniciarse por requerimiento de cualquier diputado o de oficio, a petición de algún integrante de la Comisión. La presentación debe contener una relación circunstanciada de los hechos sobre los que se pide pronunciamiento, la indicación de las normas infringidas, junto con los antecedentes y pruebas que permitan sostener fundadamente las respectivas imputaciones. Como se aprecia, las disposiciones internas se ajustan a las normas del debido proceso al exigir que el requirente explique la forma en que una determinada acción u omisión 08-06-2026 14:03 podría configurarse como una transgresión a la ética parlamentaria, acompañando medios probatorios para acreditar las circunstancias fácticas de cada caso, donde la evaluación debe efectuarse de manera razonable y objetiva conforme a las reglas de la sana crítica, como mandata el artículo 349 del Reglamento. Lo anterior se encuentra estrechamente vinculado al principio de imparcialidad, cuya observancia constituye una premisa básica de cualquier procedimiento sancionatorio en que las decisiones adoptadas necesariamente deben responder a criterios objetivos sin sesgos que comprometan la neutralidad e independencia de quienes se encuentran a cargo de dictar la resolución final. Sin perjuicio de ello, en el último tiempo, la Comisión ha sido objeto de múltiples cuestionamientos a raíz de la manera en que ha abordado determinados conflictos, pues algunas actuaciones han generado dudas legítimas sobre la objetividad de sus pronunciamientos. Al respecto, cabe mencionar que el artículo 339 del Reglamento -en lo que interesa- dispone que la Comisión estará integrada por nueve miembros elegidos por la Sala a propuesta de los Comités Parlamentarios, la que deberá ser aprobada por los tres quintos de los diputados en ejercicio al comienzo de cada período legislativo. Agrega el referido precepto que la conformación se sujetará a la regla de proporcionalidad consagrada en el artículo 216, cuyo tenor literal -en lo pertinente- señala que “los partidos políticos que formen parte de la Cámara estarán representados en las comisiones por un número proporcional al de diputados con que cuenten (…)”. Por tanto, y dado que la integración mayoritaria de este organismo colegiado representa un factor que podría afectar su imparcialidad, resulta necesario establecer un quórum reforzado que asegure la legitimidad de aquellos acuerdos que impongan medidas disciplinarias. 08-06-2026 14:03 II. OBJETIVO El presente proyecto tiene por finalidad elevar el quórum de aprobación de medidas disciplinarias por infracciones a deberes parlamentarios en el marco del procedimiento de la Comisión de Ética y Transparencia de la Cámara de Diputados, de modo de aumentar los niveles de legitimidad, credibilidad y validez jurídica de sus decisiones. III. PROYECTO DE REFORM","{""Administración parlamentaria"": 1.0, ""Cultura y comunicaciones"": 0.75, ""Agricultura y mundo rural"": 0.0, ""Agua y recursos hídricos"": 0.0, ""Ciencia y tecnología"": 0.0, ""Constitución y justicia"": 0.0}"
18394-16,Modifica el Reglamento de la Cámara de Diputados para permitir el ingreso del Subsecretario General de la Presidencia a las sesiones de Sala,parlamentario,Régimen Interno y Administración,Régimen Interno y Administración,Administración parlamentaria,,hibrido_institucional_texto,0.583,1,evidencia_semantica_debil | empate_tematico | solo_comision_transversal,origen=Régimen Interno y Administración || score_1=Administración parlamentaria:1.00 || score_2=Constitución y justicia:0.75,institutional-hybrid-v0.3,"Fundamentos El Reglamento de la Cámara de Diputados establece actualmente que los subsecretarios de Estado sólo podrán ingresar a la Sala de Sesiones cuando se encuentre presente el ministro del ramo respectivo y mientras éste permanezca en ella. La mencionada regla responde a la lógica general de la organización administrativa del Poder Ejecutivo, en virtud de la cual los subsecretarios actúan como colaboradores inmediatos de los ministros de Estado y ejercen sus funciones bajo su dependencia. Sin perjuicio de lo ant erior, la aplicación uniforme de esta disposición desconoce la naturaleza singular de la Subsecretaría General de la Presidencia y las funciones específicas que la Constitución, la ley y la práctica institucional le han encomendado en la relación permanente entre el Poder Ejecutivo y el Congreso Nacional. La Subsecretaría General de la Presidencia cumple un rol estratégico y transversal de coordinación legislativa, seguimiento de la tramitación de proyectos de ley, articulación entre ministerios y apoyo técnico-político en la relación cotidiana con ambas cámaras del Congreso Nacional. Sus funciones exceden la lógica sectorial que caracteriza a otras subsecretarías, constituyéndose como un órgano permanente de enlace institucional entre el Ejecutivo y el Poder Legislativo. En este contexto, exigir la presencia previa del Ministro Secretario General de la Presidencia o someter el ingreso del Subsecretario General de la Presidencia a la unanimidad de los diputados presentes puede generar obstáculos ope rativos innecesarios para el adecuado desarrollo de esta labor de coordinación y colaboración legislativa , particularmente en sesiones donde se requiera reacciones inmediatas respecto del estado de tramitación de iniciativas legales o la representación institucional del Ejecutivo. 16-06-2026 17:14 La presente modificación no altera la regla general aplicable a los demás subsecretarios de Estado, sino que establece una excepción acotada y debidamente justificada atendida la naturaleza especial del cargo y la función permanente que éste desempeña en el vínculo entre ambos poderes. Asimismo, esta excepción fortalece la colaboración institucional y contribuye a un funcionamiento más eficiente del proceso legislativo, favoreciendo una comunicación oportuna, continua y directa e ntre el Ejecutivo y la Cámara de Diputadas y Diputados, sin afectar las atribuciones de los parlamentarios ni alterar los equilibrios propios del sistema de separación de poderes. En consecuencia, se propone incorporar una excepción expresa al régimen de acceso a la Sala de Sesiones, permitiendo que el Subsecretario General de la Presidencia pueda ingresar y permanecer en ella con independencia de la presencia del Ministro Secretario General de la Presidencia. II. Idea matriz La idea matriz del proyecto consiste en permitir el ingreso a la Sala de la Cámara de Diputados al Subsecretario correspondiente al Ministerio Secretaría General de la Presidencia sin tener que requerir la unanimidad de la Sala ni la presencia del Ministro en cuestión. III. Proyecto de reforma “Artículo único. Modifícase el artículo 70 inciso segundo del Reglamento de la Cámara de Diputados en el siguiente sentido: “A la Sala de Sesiones sólo tendrán acceso los diputados, los senadores, los ministros de Estado y el personal de la Cámara. También lo tendrá el personal del Senado a título de reciprocidad. Los subsecretarios de Estado podrán ingresar a la Sala de Sesiones sólo si está 16-0","{""Administración parlamentaria"": 1.0, ""Constitución y justicia"": 0.75, ""Agricultura y mundo rural"": 0.0, ""Agua y recursos hídricos"": 0.0, ""Ciencia y tecnología"": 0.0, ""Cultura y comunicaciones"": 0.0}"
18183-07,"Deroga la ley N° 1.025, que ordena que los conocimientos de naves vengan visados por los cónsules de la República",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Infraestructura y obras públicas,Constitución y justicia,hibrido_institucional_texto,0.596,1,evidencia_semantica_debil | empate_tematico,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Infraestructura y obras públicas:1.50 || score_2=Constitución y justicia:1.00",institutional-hybrid-v0.3,"Boletín N° 18.183-07 Proyecto de ley, iniciado en Moción de los Honorables Senadores señores Urrutia, Carter, Squella, Trisotti y Vial, que deroga la ley N° 1.025, que ordena que los conocimientos de naves vengan visados por los cónsules de la República. FUNDAMENTOS Nuestro ordenamiento jurídico ha crecido sostenidamente en el tiempo, dando lugar a que subsistan disposiciones dictadas en contextos que no se corresponden con la realidad actual. Por lo anterior, existen leyes que han caído en desuso o han sido superadas por regulaciones posteriores, generando incertidumbre en cuanto a su vigencia. Esta situación dificulta la adecuada identificación del derecho aplicable y puede dar lugar a interpretaciones divergentes. En particular, la ausencia de una derogación expresa respecto de determinadas normas obliga, en muchos casos, a efectuar ejercicios interpretativos para determinar si estas se mantienen o no vigentes, lo que no siempre resulta evidente y puede afectar la certeza jurídica. En este sentido, nuestro ordenamiento jurídico contempla tanto la derogación expresa como tácita; mientras la primera permite identificar de manera clara y formal la exclusión de una norma del sistema jurídico, produciendo efectos generales, la segunda supone un ejercicio interpretativo par a determinar la incompatibilidad entre disposiciones, cuyos efectos se circunscriben al caso concreto. En ese contexto, se estima necesario este proceso de revisión y depuración legislativa, orientado a precisar el ordenamiento jurídico vigente, eliminando disposiciones que ya no cumplen una función efectiva dentro del sistema jurídico. En virtud de lo anterior, el presente proyecto tiene por objeto disponer la derogación expresa de la ley que se indica, contribuyendo así a una mayor claridad y coherencia d e nuestro ordenamiento jurídico. PROYECTO DE LEY Artículo único: Derogase expresamente la Ley N° 1025, que “Dispone que los conocimientos de las naves que lleguen a los puertos de la República deberán venir visados por los cónsules de Chile en el puerto de procedencia.”, publicada con fecha 25 de enero de 1898.","{""Infraestructura y obras públicas"": 1.5, ""Constitución y justicia"": 1.0, ""Cultura y comunicaciones"": 0.75, ""Agricultura y mundo rural"": 0.0, ""Agua y recursos hídricos"": 0.0, ""Ciencia y tecnología"": 0.0}"
18591-07,"Modifica la ley Nº 19.903, que establece el procedimiento para el otorgamiento de la posesión efectiva de la herencia, para facilitar el acceso de los herederos a activos financieros hereditarios",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Cultura y comunicaciones,Constitución y justicia,hibrido_institucional_texto,0.596,1,evidencia_semantica_debil | empate_tematico,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Cultura y comunicaciones:1.50 || score_2=Constitución y justicia:1.00",institutional-hybrid-v0.3,"ANTECEDENTES 1. La Ley N.º 19.903 estableció un procedimiento administrativo destinado a simplificar y agilizar el reconocimiento de la calidad de heredero en las sucesiones intestadas, entregando al Servicio de Registro Civil e Identificación la facultad de conceder la posesión efectiva de la herencia. 2. Una vez otorgada la posesión efectiva, la ley determina quiénes son los herederos y la proporción en que concurren a la sucesión. Sin embargo, la materialización efectiva de esos derechos suele enfrentar obstáculos prácticos cuando el patrimonio hereditario se compone de depósitos bancarios, acciones, cuotas de fondos de inversión, fondos mutuos u otros instrumentos financieros mantenidos por entidades sujetas a fiscalización financiera. 3. En la práctica es frecuente que uno o más herederos se encuentren inubicables, residan permanentemente en el extranjero, mantengan conflictos familiares con los demás asignatarios o simplemente no manifiesten interés en comparecer para realizar los trámites necesarios. Como consecuencia de ello, activos financieros plenamente identificados permanecen inmovilizados durante años, privando a los demás herederos del ejercicio efectivo de derechos que ya les corresponden por disposición de la ley. 4. Esta situación resulta particularmente injustificada tratándose de activos financieros, pues ellos presentan características que los diferencian sustancialmente de otros bienes hereditarios. Los depósitos de dinero, acciones, cuotas de fondos e instrumento s financieros son activos divisibles, fungibles o susceptibles de valorización objetiva, 11-08-2026 09:49 permitiendo determinar con precisión la cuota que corresponde a cada heredero sin afectar los derechos de los restantes comuneros. Esta inmovilización genera costos de transacción evitables, fomenta litigios innecesarios e impide la circulación de recursos económicos plenamente identificados, afectando la eficacia práctica del sistema de posesiones efectivas administrado por el Servicio de Registro Civil e Identificación. II. IDEA MATRIZ La idea matriz del presente proyecto de ley consiste en permitir que cualquier heredero individualizado en una posesión efectiva pueda solicitar y obtener, de manera individual y sin necesidad de la comparecencia o autorización de los demás herederos, la e ntrega, transferencia o pago de la cuota que le corresponde sobre los activos financieros que formen parte de la herencia. Lo anterior, sin alterar en caso alguno las reglas de la sucesión intestada, las cuotas hereditarias establecidas por la ley, los procedimientos de partición ni la comunidad hereditaria respecto de los demás bienes, los cuales permanecerán sujetos al régimen general aplicable a la herencia. Para resguardar los derechos de los demás herederos, el proyecto contempla la práctica de una anotación marginal en el Registro Nacional de Posesiones Efectivas, previa a toda entrega, que individualiza al solicitante, la entidad respectiva y los activos e fectivamente retirados. Dicha anotación, junto con el consiguiente mecanismo de publicidad registral, otorga transparencia y seguridad jurídica al sistema, exime de responsabilidad a las entidades que actúen de buena fe sobre la base de la posesión efectiva vigente, y hace responsable al heredero requirente por la exactitud de los antecedentes que proporcione. En mérito de lo expuesto, sometemos a consideración del Congreso Nacional el siguiente: PROYECTO DE LEY Artículo único.- Introdúcense las siguientes ","{""Cultura y comunicaciones"": 1.5, ""Constitución y justicia"": 1.0, ""Familia, infancia y adolescencia"": 0.75, ""Relaciones exteriores"": 0.75, ""Agricultura y mundo rural"": 0.0, ""Agua y recursos hídricos"": 0.0}"
18564-07,Impide temporalmente el alza en el valor del avalúo fiscal de los inmuebles residenciales por la instalación de paneles solares,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,hibrido_institucional_texto,0.623,1,evidencia_semantica_debil | empate_tematico | solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:3.25 || score_2=Minería y energía:3.00",institutional-hybrid-v0.3,"antecedentes expuestos, y con el objeto de incentivar el uso de energías renovables, fortalecer la seguridad energética, disminuir costos para familias y organizaciones comunitarias, así como eliminar desincentivos tributarios al autoconsu mo eléctrico, los diputados que suscriben vienen en someter a la consideración de este Honorable Congreso Nacional el siguiente: 05-08-2026 14:50 4 “PROYECTO DE REFORMA CONSTITUCIONAL” ARTÍCULO ÚNICO. - Agrégase la siguiente disposición transitoria en la Constitución Política de la República: “QUINCUAGÉSIMA SÉPTIMA: Por el plazo de Quince años contado desde la publicación de esta reforma constitucional, la instalación o incorporación de sistemas solares fotovoltaicos destinados al autoconsumo energético residencial o a la inyección de energía al sistema eléctrico no p odrá ser considerada, por sí sola, como causal de aumento del avalúo fiscal de bienes raíces, ni dar lugar al incremento del monto del impuesto territorial de bienes raíces que grave al inmueble respectivo.”. 05-08-2026 14:50 05-08-2026 14:50","{""Constitución y justicia"": 3.25, ""Minería y energía"": 3.0, ""Economía y hacienda"": 1.5, ""Familia, infancia y adolescencia"": 0.75, ""Transportes y telecomunicaciones"": 0.75, ""Agricultura y mundo rural"": 0.0}"
18609-07,Con el objeto de consagrar a la persecución de la corrupción como un principio rector para el Estado,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,hibrido_institucional_texto,0.636,1,evidencia_semantica_debil | empate_tematico | solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:4.00 || score_2=Cultura y comunicaciones:3.75",institutional-hybrid-v0.3,"Boletín N° 18.609-07 Proyecto de reforma constitucional, iniciado en Moción de los Honorables Senadores señor Velásquez y señora Sepúlveda, con el objeto de consagrar a la persecución de la corrupción como un principio rector para el Estado. I. FUNDAMENTOS La corrupción constituye una de las amenazas más graves para el funcionamiento del Estado democrático de derecho, por lo tanto, afecta la legitimidad de sus instituciones, compromete la correcta utilización de los recursos públicos, distorsiona los procesos de toma de decisiones y debilita la confianza de la ciudadanía en quienes ejercen funciones públicas. Sus consecuencias exceden, por tanto, la afectación patrimonial inmediata que pueda ocasionar una determinada conducta ¡lícita, proyectándose sobre la calidad de la democracia, la igualdad ante la ley y la capacidad del Estado para cumplir adecuadamente sus fines. Nuestro ordenamiento jurídico ha avanzado progresivamente en la construcción de un sistema destinado a resguardar la probidad y transparencia en el ejercicio de las funciones públicas. El artículo 8° de la Constitución Política de la República establece que el ejercicio de las funciones públicas obliga a sus titulares a dar estricto cumplimiento al principio de probidad en todas sus actuaciones, consagrando además como regla general la publicidad de los actos y resoluciones de los órganos del Estado, así como de sus fundamentos y procedimientos. A partir de este mandato constitucional se ha desarrollado una extensa legislación en materia de probidad administrativa, transparencia, declaraciones de intereses y patrimonio, regulación del lobby, prevención de conflictos de interés, responsabilidad penal de las personas jurídicas, contratación pública y persecución de los delitos funcionarios. Sin embargo, la evolución experimentada por los fenómenos de corrupción demuestra que su tratamiento no pu ede quedar circunscrito exclusivamente a la sanción individual de determinadas conductas ni al deber personal de probidad que recae sobre quienes ejercen funciones públicas. La experiencia contemporánea demuestra que la corrupción constituye un fenómeno complejo que puede manifestarse mediante el desvío o utilización indebida de recursos públicos, conflictos de interés no gestionados adecuadamente, tráfico de influencias, intervenciones indebidas sobre las decisiones públicas, fraude, irregularidades en los procesos de contratación y diversas formas de interacción ilícita entre agentes públicos y privados. En consecuencia, enfrentar eficazmente este fenómeno exige complemen tar el deber individual de probidad con un deber institucional del Estado destinado a prevenir las condiciones que facilitan la corrupción, detectar oportunamente sus manifestaciones y asegurar su investigación, persecución y sanción. Esta concepción se encuentra en concordancia con las obligaciones internacionales asumidas por Chile. La Convención de las Naciones Unidas contra la Corrupción reconoce que la prevención y erradicación de la corrupción constituye una responsabilidad de los Estados y promueve la adopción de políticas coordinadas destinadas a fortalecer la integridad, la transparencia, la rendición de cuentas y la adecuada gestión de los asuntos y bienes públicos. De esta forma, el fenómeno de la corrupción ha dejado de ser e ntendido exclusivamente desde una perspectiva penal o represiva, para ser abordado también mediante mecanismos preventivos e institucionales. En la misma dirección ha avanzado nu","{""Constitución y justicia"": 4.0, ""Cultura y comunicaciones"": 3.75, ""Economía, comercio y consumidores"": 2.25, ""Gobierno interior y descentralización"": 2.25, ""Familia, infancia y adolescencia"": 1.5, ""Vivienda y territorio"": 1.5}"
