"replicate","diputado_id","dimension_1_aligned"
1,"803",0.322593629360199
1,"815",-0.70421975851059
1,"843",-0.703429698944092
1,"872",0.306641817092896
1,"915",-0.798808932304382
1,"986",0.45527371764183
1,"1009",-0.699672043323517
1,"1012",0.990423679351807
1,"1013",0.386132299900055
1,"1015",0.784405469894409
1,"1017",-0.723008275032043
1,"1021",-0.769537508487701
1,"1025",-0.705423057079315
1,"1028",-0.635739922523499
1,"1038",0.626844644546509
1,"1039",0.210649564862251
1,"1044",0.59828907251358
1,"1054",-0.606404840946198
1,"1056",0.760116636753082
1,"1059",-0.771542370319366
1,"1060",-0.701164782047272
1,"1061",0.500679552555084
1,"1062",-0.596491277217865
1,"1065",-0.748631417751312
1,"1073",0.788750350475311
1,"1074",0.796928703784943
1,"1075",-0.87361866235733
1,"1077",0.502045214176178
1,"1082",-1
1,"1086",0.772207796573639
1,"1087",0.787542223930359
1,"1099",0.556111931800842
1,"1100",-0.729651153087616
1,"1102",-0.64521187543869
1,"1104",-0.721962153911591
1,"1105",0.370408535003662
1,"1108",-0.634190857410431
1,"1110",0.433145850896835
1,"1114",0.689807415008545
1,"1116",0.291331440210342
1,"1117",0.921196401119232
1,"1119",-0.603901922702789
1,"1122",0.980075418949127
1,"1127",0.809444904327393
1,"1128",0.893464505672455
1,"1131",-0.634371697902679
1,"1132",-0.722747921943665
1,"1133",-0.726115584373474
1,"1140",-0.971518635749817
1,"1141",0.458342224359512
1,"1142",0.619732320308685
1,"1143",-0.650409340858459
1,"1146",-0.720839142799377
1,"1148",0.685736358165741
1,"1150",-0.729674458503723
1,"1152",-0.902529299259186
1,"1153",0.756011605262756
1,"1157",-0.617971956729889
1,"1159",0.915649771690369
1,"1165",-0.729674458503723
1,"1166",-0.531631231307983
1,"1170",-0.726694703102112
1,"1171",0.809236228466034
1,"1172",-0.721376359462738
1,"1173",0.990423679351807
1,"1174",-0.68385249376297
1,"1175",0.432718873023987
1,"1176",-0.632811307907104
1,"1177",0.818142354488373
1,"1178",0.456145256757736
1,"1180",0.811357259750366
1,"1181",0.68848317861557
1,"1182",0.398364156484604
1,"1183",-0.656744956970215
1,"1184",0.799391508102417
1,"1186",0.791808724403381
1,"1187",-0.726115584373474
1,"1188",0.925538182258606
1,"1189",0.806866526603699
1,"1190",-0.729674458503723
1,"1191",-0.729735314846039
1,"1192",-0.0225196722894907
1,"1193",-0.0121792182326317
1,"1194",-0.729674458503723
1,"1195",0.405849784612656
1,"1196",0.299832046031952
1,"1197",-0.620410919189453
1,"1198",-0.729674458503723
1,"1199",-0.862168073654175
1,"1200",-0.396091550588608
1,"1201",-0.0123171806335449
1,"1202",-0.955437421798706
1,"1203",-0.726115584373474
1,"1204",0.645211756229401
1,"1205",0.555234253406525
1,"1206",0.669838845729828
1,"1207",0.755543649196625
1,"1208",0.337292283773422
1,"1209",0.786323070526123
1,"1210",0.932743608951569
1,"1211",1
1,"1212",-1
1,"1213",0.925538182258606
1,"1214",-0.976735413074493
1,"1215",-0.963368773460388
1,"1216",-0.729682922363281
1,"1217",-0.974523901939392
1,"1218",-0.729674458503723
1,"1219",-0.650210678577423
1,"1220",-0.729674458503723
1,"1221",-0.729767203330994
1,"1222",0.695206761360168
1,"1223",-0.978941440582275
1,"1224",0.345968514680862
1,"1225",-0.729618489742279
1,"1226",0.46156719326973
1,"1227",-0.768507838249207
1,"1228",-0.988129436969757
1,"1229",0.338716357946396
1,"1230",-0.0210642572492361
1,"1231",-0.624916911125183
1,"1232",-0.725995004177094
1,"1233",-0.85687667131424
1,"1234",-0.785211563110352
1,"1235",-0.326969414949417
1,"1236",0.0794699341058731
1,"1237",-0.680619478225708
1,"1238",0.366980403661728
1,"1239",0.212383449077606
1,"1240",-0.0473700016736984
1,"1241",0.423462718725204
1,"1242",-0.787634372711182
1,"1243",0.198127269744873
1,"1244",-0.706600546836853
1,"1245",-0.729695439338684
1,"1246",0.690381765365601
1,"1247",-0.729674458503723
1,"1248",-1
1,"1249",-0.852242529392242
1,"1250",0.920470118522644
1,"1251",-0.725263595581055
1,"1252",0.800541877746582
1,"1253",-0.729674458503723
1,"1254",-0.729674458503723
1,"1255",0.1385258436203
1,"1256",0.795912206172943
1,"1257",-0.638839721679688
1,"1258",0.0446861572563648
1,"1259",-0.153018429875374
1,"1260",0.649593889713287
1,"1261",-0.750664353370667
1,"1262",-0.729674458503723
1,"1263",-0.723624169826508
1,"1264",0.509633600711823
2,"803",0.351613074541092
2,"815",-0.610573410987854
2,"843",-0.541908323764801
2,"872",0.315667361021042
2,"915",-0.60502415895462
2,"986",0.446074157953262
2,"1009",-0.612162351608276
2,"1012",0.994327783584595
2,"1013",0.38041877746582
2,"1015",0.812019169330597
2,"1017",-0.950024366378784
2,"1021",-0.444461107254028
2,"1025",-0.990131855010986
2,"1028",-0.429490298032761
2,"1038",0.614076435565948
2,"1039",0.305269926786423
2,"1044",0.580332338809967
2,"1054",-0.423043578863144
2,"1056",0.712661147117615
2,"1059",-0.44938251376152
2,"1060",-0.455644845962524
2,"1061",0.483821332454681
2,"1062",-0.393356710672379
2,"1065",-0.577894032001495
2,"1073",0.764820396900177
2,"1074",0.870098233222961
2,"1075",-0.467064887285233
2,"1077",0.491519331932068
2,"1082",-0.660467207431793
2,"1086",0.757952868938446
2,"1087",0.777290284633636
2,"1099",0.51504385471344
2,"1100",-0.999878644943237
2,"1102",-0.423420906066895
2,"1104",-0.989780783653259
2,"1105",0.372312158346176
2,"1108",-0.508193612098694
2,"1110",0.4392249584198
2,"1114",0.761941492557526
2,"1116",0.327222585678101
2,"1117",0.941810071468353
2,"1119",-0.411849826574326
2,"1122",0.985455572605133
2,"1127",0.807693481445312
2,"1128",0.929934799671173
2,"1131",-0.442372530698776
2,"1132",-0.417718082666397
2,"1133",-0.973757088184357
2,"1140",-0.595142066478729
2,"1141",0.450242400169373
2,"1142",0.612719118595123
2,"1143",-0.535918116569519
2,"1146",-1
2,"1148",0.690085470676422
2,"1150",-0.995992541313171
2,"1152",-0.510980486869812
2,"1153",0.791826009750366
2,"1157",-0.509006500244141
2,"1159",0.940994501113892
2,"1165",-0.996139824390411
2,"1166",-0.353769719600677
2,"1170",-0.977491796016693
2,"1171",0.813122868537903
2,"1172",-0.966472506523132
2,"1173",0.994327783584595
2,"1174",-0.592129468917847
2,"1175",0.433674275875092
2,"1176",-0.509643375873566
2,"1177",0.807158291339874
2,"1178",0.456430464982986
2,"1180",0.763067424297333
2,"1181",0.66236537694931
2,"1182",0.397380948066711
2,"1183",-0.591210007667542
2,"1184",0.770544588565826
2,"1186",0.800735235214233
2,"1187",-0.973131895065308
2,"1188",0.945711851119995
2,"1189",0.810860991477966
2,"1190",-0.995942115783691
2,"1191",-1
2,"1192",0.10059804469347
2,"1193",0.104531653225422
2,"1194",-0.996576488018036
2,"1195",0.423401266336441
2,"1196",0.304468244314194
2,"1197",-0.44134521484375
2,"1198",-0.995992541313171
2,"1199",-0.607996106147766
2,"1200",-0.199771299958229
2,"1201",0.10924082249403
2,"1202",-0.597871780395508
2,"1203",-0.973230361938477
2,"1204",0.63375598192215
2,"1205",0.543522953987122
2,"1206",0.639391779899597
2,"1207",0.762665212154388
2,"1208",0.335311204195023
2,"1209",0.791697859764099
2,"1210",0.952797412872314
2,"1211",1
2,"1212",-0.591619431972504
2,"1213",0.945711851119995
2,"1214",-0.605821251869202
2,"1215",-0.613862931728363
2,"1216",-1
2,"1217",-0.631136953830719
2,"1218",-0.996013998985291
2,"1219",-0.496965259313583
2,"1220",-0.996313452720642
2,"1221",-1
2,"1222",0.806226551532745
2,"1223",-0.616016983985901
2,"1224",0.343366235494614
2,"1225",-0.999369263648987
2,"1226",0.460382372140884
2,"1227",-0.440552026033401
2,"1228",-0.613953590393066
2,"1229",0.33529981970787
2,"1230",0.0979708209633827
2,"1231",-0.458757132291794
2,"1232",-0.973251640796661
2,"1233",-0.604118704795837
2,"1234",-0.560740053653717
2,"1235",-0.147639617323875
2,"1236",0.183987572789192
2,"1237",-0.530516028404236
