"diputado_id","diputado_nombre","opportunities","binary_votes","participation_share","required_votes_10pct","eligible_10pct","required_votes_20pct","eligible_20pct","required_votes_30pct","eligible_30pct"
"1166","Natalia Romero Talguia",276,265,0.960144927536232,28,TRUE,56,TRUE,83,TRUE
"1170","Luis Sánchez Ossa",276,259,0.938405797101449,28,TRUE,56,TRUE,83,TRUE
"1171","Emilia Schneider Videla",276,267,0.967391304347826,28,TRUE,56,TRUE,83,TRUE
"1172","Stephan Schubert Rubio",276,224,0.811594202898551,28,TRUE,56,TRUE,83,TRUE
"1173","Daniela Serrano Salazar",276,267,0.967391304347826,28,TRUE,56,TRUE,83,TRUE
"1174","Marco Antonio Sulantay Olivares",276,261,0.945652173913043,28,TRUE,56,TRUE,83,TRUE
"1175","Cristián Tapia Ramos",276,224,0.811594202898551,28,TRUE,56,TRUE,83,TRUE
"1176","Hotuiti Teao Drago",276,220,0.797101449275362,28,TRUE,56,TRUE,83,TRUE
"1177","Carolina Tello Rojas",276,263,0.952898550724638,28,TRUE,56,TRUE,83,TRUE
"1178","Héctor Ulloa Aguilera",276,241,0.873188405797101,28,TRUE,56,TRUE,83,TRUE
"1180","Consuelo Veloso Ávila",276,262,0.949275362318841,28,TRUE,56,TRUE,83,TRUE
"1181","Nelson Venegas Salazar",276,258,0.934782608695652,28,TRUE,56,TRUE,83,TRUE
"1182","Sebastián Videla Castillo",276,255,0.923913043478261,28,TRUE,56,TRUE,83,TRUE
"1183","Flor Weisse Novoa",276,193,0.699275362318841,28,TRUE,56,TRUE,83,TRUE
"1184","Roberto Celedón Fernández",276,265,0.960144927536232,28,TRUE,56,TRUE,83,TRUE
"1186","Ignacio Achurra Díaz",276,265,0.960144927536232,28,TRUE,56,TRUE,83,TRUE
"1187","Carlo Arqueros Pizarro",276,268,0.971014492753623,28,TRUE,56,TRUE,83,TRUE
"1188","Marcos Barraza Gómez",276,267,0.967391304347826,28,TRUE,56,TRUE,83,TRUE
"1189","Jaime Bassa Mercado",276,261,0.945652173913043,28,TRUE,56,TRUE,83,TRUE
"1190","Enrique Bassaletti Riess",276,271,0.981884057971015,28,TRUE,56,TRUE,83,TRUE
"1191","Valentina Becerra Peña",276,264,0.956521739130435,28,TRUE,56,TRUE,83,TRUE
"1192","Lilian Betancurt Delgado",276,161,0.583333333333333,28,TRUE,56,TRUE,83,TRUE
"1193","Patricio Briones Moller",276,262,0.949275362318841,28,TRUE,56,TRUE,83,TRUE
"1194","Daniel Bustos Leal",276,271,0.981884057971015,28,TRUE,56,TRUE,83,TRUE
"1195","Carlos Carvajal Gallardo",276,249,0.902173913043478,28,TRUE,56,TRUE,83,TRUE
"1196","Priscilla Castillo Gerli",276,265,0.960144927536232,28,TRUE,56,TRUE,83,TRUE
"1197","Carlos Chandía Alarcón",276,254,0.920289855072464,28,TRUE,56,TRUE,83,TRUE
"1198","Paz Charpentier Rajcevich",276,270,0.978260869565217,28,TRUE,56,TRUE,83,TRUE
"1199","Jaime Coloma Álamos",276,264,0.956521739130435,28,TRUE,56,TRUE,83,TRUE
"1200","Cristian Contreras Radovic",276,260,0.942028985507246,28,TRUE,56,TRUE,83,TRUE
"1201","Flor Contreras Vivallo",276,261,0.945652173913043,28,TRUE,56,TRUE,83,TRUE
"1202","Eduardo Cretton Rebolledo",276,266,0.963768115942029,28,TRUE,56,TRUE,83,TRUE
"1203","Sebastián Cristoffanini Jaraquemada",276,268,0.971014492753623,28,TRUE,56,TRUE,83,TRUE
"1204","Francisco Crisóstomo Llanos",276,262,0.949275362318841,28,TRUE,56,TRUE,83,TRUE
"1205","Carlos Cuadrado Prats",276,242,0.876811594202899,28,TRUE,56,TRUE,83,TRUE
"1206","Carolina Cucumides Calderón",276,267,0.967391304347826,28,TRUE,56,TRUE,83,TRUE
"1207","Valentina Cáceres Monsálvez",276,249,0.902173913043478,28,TRUE,56,TRUE,83,TRUE
"1208","Jorge Díaz Ibarra",276,255,0.923913043478261,28,TRUE,56,TRUE,83,TRUE
"1209","Matías Fernández Hartwig",276,266,0.963768115942029,28,TRUE,56,TRUE,83,TRUE
"1210","Gustavo Gatica Villarroel",276,263,0.952898550724638,28,TRUE,56,TRUE,83,TRUE
"1211","Sofía González Cortés",276,265,0.960144927536232,28,TRUE,56,TRUE,83,TRUE
"1212","Erich Grohs Marín",276,264,0.956521739130435,28,TRUE,56,TRUE,83,TRUE
"1213","Irací Hassler Jacob",276,267,0.967391304347826,28,TRUE,56,TRUE,83,TRUE
"1214","Constanza Hube Portus",276,264,0.956521739130435,28,TRUE,56,TRUE,83,TRUE
"1215","Álvaro Jofré Cáceres",276,275,0.996376811594203,28,TRUE,56,TRUE,83,TRUE
"1216","Stephanie Jéldrez Ortiz",276,269,0.97463768115942,28,TRUE,56,TRUE,83,TRUE
"1217","Pier Karlezi Hazleby",276,258,0.934782608695652,28,TRUE,56,TRUE,83,TRUE
"1218","José Antonio Kast Adriasola",276,270,0.978260869565217,28,TRUE,56,TRUE,83,TRUE
"1219","Tomás Kast Sommerhoff",276,260,0.942028985507246,28,TRUE,56,TRUE,83,TRUE
"1220","Leandro Kunstmann Collado",276,270,0.978260869565217,28,TRUE,56,TRUE,83,TRUE
"1221","Benjamín Lorca Inzunza",276,268,0.971014492753623,28,TRUE,56,TRUE,83,TRUE
"1222","Andrea Macías Palma",276,254,0.920289855072464,28,TRUE,56,TRUE,83,TRUE
"1223","Hans Marowski Cuevas",276,256,0.927536231884058,28,TRUE,56,TRUE,83,TRUE
