"vote_id","boletin","fecha","minority_share_binary","binary_participation_share","spread_1d","midpoint_1d","gmp","apre"
"88686","18156-04","2026-04-21",0.472973,0.954839,-0.414229035377502,-0.230762377381325,0.870892226696014,0.942857142857143
"88687","18156-04","2026-04-21",0.483221,0.96129,-0.712398052215576,-0.262514352798462,0.95348846912384,0.986111111111111
"88688","18156-04","2026-04-21",0.312,0.806452,-1.39548420906067,0.395484238862991,0.971932709217072,0.974358974358974
"88689","18156-04","2026-04-21",0.364286,0.903226,-0.59323662519455,0.149912893772125,0.887232542037964,0.882352941176471
"88690","18156-04","2026-04-21",0.402685,0.96129,-1.18475151062012,0.184751570224762,0.943830907344818,0.95
"88691","18156-04","2026-04-21",0.385135,0.954839,-1.21541917324066,0.215419217944145,0.93584531545639,0.929824561403509
"88692","18156-04","2026-04-21",0.471831,0.916129,-0.349862515926361,-0.379869759082794,0.818702161312103,0.880597014925373
"88693","18156-04","2026-04-21",0.324138,0.935484,1.33497714996338,0.334977179765701,0.932494819164276,0.914893617021277
"88694","18156-04","2026-04-21",0.348993,0.96129,-1.29754626750946,0.29754626750946,0.936626732349396,0.961538461538462
"88695","18156-04","2026-04-21",0.357143,0.903226,0.313903152942657,0.134273365139961,0.792628765106201,0.54
"88696","18156-04","2026-04-21",0.389262,0.96129,-1.21765840053558,0.217658445239067,0.941288471221924,0.96551724137931
"88697","18156-04","2026-04-21",0.430657,0.883871,-1.14303803443909,0.143038004636765,0.961776435375214,0.966101694915254
"88698","18156-04","2026-04-21",0.47651,0.96129,-0.577060222625732,-0.221077352762222,0.928796112537384,0.971830985915493
"88699","18156-04","2026-04-21",0.389262,0.96129,-1.21765840053558,0.217658445239067,0.941288471221924,0.96551724137931
"88700","18156-04","2026-04-21",0.352941,0.877419,0.80010998249054,0.308206737041473,0.884583234786987,0.9375
"88701","18156-04","2026-04-21",0.486486,0.954839,-0.662676990032196,-0.326121419668198,0.945511698722839,0.972222222222222
"88702","18156-04","2026-04-21",0.395833,0.929032,0.328745514154434,0.0660095885396004,0.801213800907135,0.649122807017544
"88703","18156-04","2026-04-21",0.409396,0.96129,-1.18765473365784,0.187654748558998,0.951155781745911,1
"88704","18156-04","2026-04-21",0.409396,0.96129,-0.634956419467926,0.113920673727989,0.889413893222809,0.918032786885246
"88705","18156-04","2026-04-21",0.416107,0.96129,-0.346684336662292,0.0245481133460999,0.811059296131134,0.693548387096774
"88706","18156-04","2026-04-21",0.439189,0.954839,0.338119506835938,-0.0782348066568375,0.816001117229462,0.8
"88707","18156-04","2026-04-21",0.489796,0.948387,-1.43129169940948,-0.431291729211807,0.989024877548218,0.986111111111111
"88755","18016-13","2026-05-05",0.320896,0.864516,-1.57384955883026,-0.750770449638367,0.898804485797882,0.790697674418605
"88756","17381-03","2026-05-05",0.472222,0.929032,-1.58520984649658,-0.61887139081955,0.979434370994568,0.985294117647059
"88757","17381-03","2026-05-05",0.468966,0.935484,-1.5837254524231,-0.651837646961212,0.960066437721252,0.970588235294118
"88758","17471-07","2026-05-05",0.204545,0.851613,-0.110000014305115,1,0.5234375,-0.037037037037037
"88759","17872-33","2026-05-05",0.454545,0.922581,-0.879095435142517,-0.534095108509064,0.945986449718475,0.953846153846154
"88760","17872-33","2026-05-05",0.47482,0.896774,-1.58373808860779,-0.617392897605896,0.980401754379272,0.984848484848485
"88761","17405-07","2026-05-05",0.359375,0.825806,0.336096912622452,0.249534383416176,0.803795397281647,0.826086956521739
"88794","18107-07","2026-05-06",0.5,0.941935,0.628220200538635,-0.325678467750549,0.943714618682861,0.972602739726027
"88812","14309-04","2026-05-11",0.482014,0.896774,-1.53351294994354,-0.533512949943542,0.981183886528015,0.985074626865672
"88813","14309-04","2026-05-11",0.417266,0.896774,-0.351209580898285,0.00671995570883155,0.825082540512085,0.741379310344828
"88826","17112-19","2026-05-12",0.271605,0.522581,-0.143452301621437,0.0815998539328575,0.618189632892609,0.409090909090909
"88870","18155-25","2026-05-13",0.133333,0.774194,1.59673857688904,0.628217697143555,0.947420656681061,0.6875
"88871","18155-25","2026-05-13",0.376923,0.83871,0.348159641027451,0.0937724635004997,0.834868252277374,0.693877551020408
"88872","15258-25","2026-05-13",0.117647,0.767742,1.58336555957794,0.60979175567627,0.974186539649963,0.857142857142857
"88893","18216-05","2026-05-20",0.395973,0.96129,1.1997264623642,0.199726462364197,0.948000192642212,0.966101694915254
"88894","18216-05","2026-05-20",0.443709,0.974194,0.639786422252655,-0.0164956003427505,0.915503442287445,0.940298507462687
"88897","18216-05","2026-05-20",0.418301,0.987097,0.65430760383606,0.0890147015452385,0.901784658432007,0.90625
"88898","18216-05","2026-05-20",0.454545,0.993548,1.0541627407074,-0.0541626885533333,0.968125283718109,0.971428571428571
"88899","18216-05","2026-05-20",0.437908,0.987097,-0.775947988033295,0.0268431752920151,0.927582979202271,0.91044776119403
"88900","18216-05","2026-05-20",0.5,0.993548,1.52578508853912,-0.525785088539124,0.983678162097931,0.987012987012987
"88901","18216-05","2026-05-20",0.437908,0.987097,0.625558495521545,0.0113165220245719,0.910493135452271,0.955223880597015
