"diputado_id","diputado_nombre","opportunities","binary_votes","participation_share","dimension_1_raw","se_wnominate_501","gmp","correctly_classified"
"803","René Alinco Bustos",276,220,0.797101449275362,0.239919424057007,0.077406533062458,0.586324989795685,0.813636363636364
"815","Sergio Bobadilla Muñoz",276,267,0.967391304347826,-0.866172969341278,0.0936381295323372,0.936942994594574,0.98501872659176
"843","René Manuel García García",276,227,0.822463768115942,-0.818010449409485,0.0863070487976074,0.910121738910675,0.969162995594714
"872","Jaime Mulet Martínez",276,248,0.898550724637681,0.21259069442749,0.0761343464255333,0.627420485019684,0.798387096774194
"915","Germán Verdugo Soto",276,257,0.931159420289855,-0.887493073940277,0.101305805146694,0.913946211338043,0.972762645914397
"986","Marcela Hernando Pérez",276,212,0.768115942028985,0.337180376052856,0.0861717760562897,0.814886748790741,0.929245283018868
"1009","Jorge Alessandri Vergara",276,251,0.909420289855073,-0.879655182361603,0.100580506026745,0.959765613079071,0.99203187250996
"1012","Boris Barrera Moreno",276,267,0.967391304347826,0.991220951080322,0.0793088674545288,0.953802704811096,0.99250936329588
"1013","Alejandro Bernales Maldonado",276,242,0.876811594202899,0.264273375272751,0.0795589312911034,0.736209094524384,0.871900826446281
"1015","Jorge Brito Hasbún",276,237,0.858695652173913,0.763551115989685,0.0785682201385498,0.929900109767914,0.974683544303797
"1017","Álvaro Carter Fernández",276,255,0.923913043478261,-0.981062054634094,0.121194444596767,0.974351644515991,0.996078431372549
"1021","Andrés Celis Montt",276,241,0.873188405797101,-0.763008773326874,0.0772976577281952,0.886072874069214,0.941908713692946
"1025","Catalina Del Real Mihovilovic",276,227,0.822463768115942,-0.979113221168518,0.120213188230991,0.971892595291138,0.995594713656388
"1028","Eduardo Durán Salinas",276,255,0.923913043478261,-0.729755461215973,0.0736542493104935,0.939746141433716,0.984313725490196
"1038","Marcos Ilabaca Cerda",276,227,0.822463768115942,0.576128423213959,0.0864051505923271,0.881873607635498,0.960352422907489
"1039","Pamela Jiles Moreno",276,257,0.931159420289855,0.170654118061066,0.0706004798412323,0.676354348659515,0.828793774319066
"1044","Raúl Leiva Carvajal",276,231,0.83695652173913,0.518639802932739,0.0888489112257957,0.913749933242798,0.974025974025974
"1054","Francesca Muñoz González",276,254,0.920289855072464,-0.728870451450348,0.0757860243320465,0.933310329914093,0.976377952755906
"1056","Emilia Nuyado Ancapichun",276,269,0.97463768115942,0.654856085777283,0.0833673700690269,0.91583389043808,0.955390334572491
"1059","Ximena Ossandón Irarrázabal",276,253,0.916666666666667,-0.772552251815796,0.0791648700833321,0.86609423160553,0.940711462450593
"1060","Luis Pardo Sáinz",276,261,0.945652173913043,-0.763075113296509,0.0773909837007523,0.940488636493683,0.977011494252874
"1061","Andrea Parra Sauterel",276,252,0.91304347826087,0.397401720285416,0.0874500349164009,0.857955694198608,0.956349206349206
"1062","Joanna Pérez Olea",276,223,0.807971014492754,-0.697044610977173,0.0715179964900017,0.900244534015656,0.977578475336323
"1065","Guillermo Ramírez Diez",276,249,0.902173913043478,-0.866795241832733,0.096885621547699,0.972123205661774,0.991967871485944
"1073","Juan Santana Castillo",276,250,0.905797101449275,0.762329995632172,0.0779494866728783,0.946866393089294,0.992
"1074","Marisela Santibáñez Novoa",276,238,0.86231884057971,0.81469863653183,0.07821424305439,0.924321174621582,0.978991596638655
"1075","Diego Schalper Sepúlveda",276,248,0.898550724637681,-0.809191346168518,0.0838842168450356,0.932710289955139,0.963709677419355
"1077","Raúl Soto Mardones",276,237,0.858695652173913,0.402703404426575,0.0892552584409714,0.868855953216553,0.949367088607595
"1082","Cristóbal Urruticoechea Ríos",276,239,0.865942028985507,-0.999343276023865,0.127325490117073,0.92620050907135,0.9581589958159
"1086","Gonzalo Winter Etcheberry",276,228,0.826086956521739,0.725313663482666,0.0794310122728348,0.899527251720428,0.973684210526316
"1087","Gael Yeomans Araya",276,253,0.916666666666667,0.738458812236786,0.0792911872267723,0.936672389507294,0.988142292490119
"1099","Jaime Araya Guerrero",276,230,0.833333333333333,0.434719085693359,0.0881753042340279,0.894850313663483,0.969565217391304
"1100","Cristián Araya Lerdo de Tejada",276,268,0.971014492753623,-0.992467880249023,0.126524016261101,0.973602414131165,0.996268656716418
"1102","Roberto Arroyo Muñoz",276,222,0.804347826086957,-0.687252938747406,0.0723833814263344,0.881453037261963,0.959459459459459
"1104","Chiara Barchiesi Chávez",276,259,0.938405797101449,-0.98593544960022,0.116452589631081,0.97813493013382,1
"1105","Héctor Barría Angulo",276,247,0.894927536231884,0.27749314904213,0.0795441865921021,0.732949018478394,0.846153846153846
"1108","Juan Carlos Beltrán Silva",276,251,0.909420289855073,-0.75402969121933,0.0766624361276627,0.902767598628998,0.964143426294821
"1110","Carlos Bianchi Chelech",276,251,0.909420289855073,0.335209548473358,0.0851002484560013,0.800037801265717,0.912350597609562
"1114","Félix Bugueño Sotelo",276,244,0.884057971014493,0.675113379955292,0.0789762735366821,0.931128621101379,0.971311475409836
"1116","Felipe Camaño Cárdenas",276,255,0.923913043478261,0.213547468185425,0.0733643472194672,0.708780765533447,0.83921568627451
"1117","Nathalie Castillo Rojas",276,231,0.83695652173913,0.920069932937622,0.0806789249181747,0.940924823284149,0.987012987012987
"1119","Sara Concha Smith",276,262,0.949275362318841,-0.725470304489136,0.0737309828400612,0.936406314373016,0.980916030534351
"1122","Luis Alberto Cuello Peña y Lillo",276,263,0.952898550724638,0.980134606361389,0.0794612690806389,0.953595221042633,0.992395437262357
"1127","Lorena Fries Monleón",276,254,0.920289855072464,0.757234036922455,0.0772605538368225,0.952354192733765,0.988188976377953
"1128","Ana María Gazmuri Vieira",276,234,0.847826086956522,0.902786135673523,0.0829022154211998,0.928852677345276,0.987179487179487
"1131","Mauro González Villarroel",276,244,0.884057971014493,-0.743403375148773,0.0745867937803268,0.928651809692383,0.979508196721312
"1132","Jorge Guzmán Zepeda",276,260,0.942028985507246,-0.730028450489044,0.0746803730726242,0.878434062004089,0.961538461538462
