"diputado_id","diputado_nombre","n_success","baseline_coord","bootstrap_mean","bootstrap_sd","q025","q975","interval_width"
"803","René Alinco Bustos",200,0.239919424057007,0.25062299657613,0.182945203397265,-0.191613409295678,0.508572599291802,0.70018600858748
"815","Sergio Bobadilla Muñoz",200,-0.866172969341278,-0.706159868240356,0.151054741140586,-0.930551312863827,-0.420835004001856,0.509716308861971
"843","René Manuel García García",200,-0.818010449409485,-0.650410998165607,0.148693569964311,-0.873913392424583,-0.372711243480444,0.50120214894414
"872","Jaime Mulet Martínez",200,0.21259069442749,0.249348291819915,0.108470145898853,0.0253457710612565,0.411596800386906,0.386251029325649
"915","Germán Verdugo Soto",200,-0.887493073940277,-0.723437291830778,0.162949737657462,-0.966174398362637,-0.381969527155161,0.584204871207476
"986","Marcela Hernando Pérez",200,0.337180376052856,0.354111426235177,0.113092834503126,0.110331491939723,0.530921049416065,0.420589557476342
"1009","Jorge Alessandri Vergara",200,-0.879655182361603,-0.707978178560734,0.145123343142836,-0.929905343055725,-0.431536057591438,0.498369285464287
"1012","Boris Barrera Moreno",200,0.991220951080322,0.980907699465752,0.0381151150718025,0.908523090183735,1,0.0914769098162651
"1013","Alejandro Bernales Maldonado",200,0.264273375272751,0.29613694663858,0.112024263755629,0.0712012752890587,0.470680472999811,0.399479197710753
"1015","Jorge Brito Hasbún",200,0.763551115989685,0.810291292071342,0.0946988887282842,0.682334892451763,1,0.317665107548237
"1017","Álvaro Carter Fernández",200,-0.981062054634094,-0.881044325530529,0.133772804713233,-0.992688354849815,-0.54229639172554,0.450391963124275
"1021","Andrés Celis Montt",200,-0.763008773326874,-0.632380536943674,0.19630224816796,-0.917695063352585,-0.291968772560358,0.625726290792227
"1025","Catalina Del Real Mihovilovic",200,-0.979113221168518,-0.884209764301777,0.142332465174975,-1,-0.532308632135391,0.467691367864609
"1028","Eduardo Durán Salinas",200,-0.729755461215973,-0.573490836173296,0.154540089312108,-0.800973200798035,-0.295317278057337,0.505655922740698
"1038","Marcos Ilabaca Cerda",200,0.576128423213959,0.584898440279067,0.109229686391831,0.334342803806067,0.733432084321976,0.399089280515909
"1039","Pamela Jiles Moreno",200,0.170654118061066,0.177045154722146,0.158821984091013,-0.163130728900433,0.430680049955845,0.593810778856278
"1044","Raúl Leiva Carvajal",200,0.518639802932739,0.52777617175132,0.117580371219954,0.248477945104241,0.699805544316769,0.451327599212527
"1054","Francesca Muñoz González",200,-0.728870451450348,-0.574335727617145,0.149010376600439,-0.792916847765446,-0.299735333025455,0.49318151473999
"1056","Emilia Nuyado Ancapichun",200,0.654856085777283,0.674231160678901,0.102866582674203,0.464603318274021,0.831100268661976,0.366496950387955
"1059","Ximena Ossandón Irarrázabal",200,-0.772552251815796,-0.639822014123201,0.1921683599316,-0.907125513255596,-0.297770217061043,0.609355296194553
"1060","Luis Pardo Sáinz",200,-0.763075113296509,-0.620025052428246,0.168175690428595,-0.856271360814571,-0.31331423074007,0.542957130074501
"1061","Andrea Parra Sauterel",200,0.397401720285416,0.397027479112148,0.136371537895,0.10339849665761,0.602515165507794,0.499116668850184
"1062","Joanna Pérez Olea",200,-0.697044610977173,-0.535769194662571,0.152108003050475,-0.761038208007813,-0.273697861656546,0.487340346351266
"1065","Guillermo Ramírez Diez",200,-0.866795241832733,-0.716912711858749,0.159916357187868,-0.957312430441379,-0.39387686997652,0.563435560464859
