observed_date,deputy_id,deputy_name,party_reported,caucus_reported,alignment_reported,profile_url,source_type
2026-09-02,1082,Cristóbal Urruticoechea Ríos,Partido Nacional Libertario,Comité Partido Nacional Libertarios,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1082,camara_snapshot
2026-09-02,1086,Gonzalo Winter Etcheberry,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1086,camara_snapshot
2026-09-02,1087,Gael Yeomans Araya,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1087,camara_snapshot
2026-09-02,1099,Jaime Araya Guerrero,Independientes,Partido Por la Democracia e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1099,camara_snapshot
2026-09-02,1100,Cristián Araya Lerdo de Tejada,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1100,camara_snapshot
2026-09-02,1102,Roberto Arroyo Muñoz,Independientes,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1102,camara_snapshot
2026-09-02,1104,Chiara Barchiesi Chávez,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1104,camara_snapshot
2026-09-02,1105,Héctor Barría Angulo,Partido Demócrata Cristiano,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1105,camara_snapshot
2026-09-02,1107,María Francisca Bello Campos,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1107,camara_snapshot
2026-09-02,1108,Juan Carlos Beltrán Silva,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1108,camara_snapshot
2026-09-02,1110,Carlos Bianchi Chelech,Independientes,Partido Por la Democracia e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1110,camara_snapshot
2026-09-02,1114,Félix Bugueño Sotelo,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1114,camara_snapshot
2026-09-02,1116,Felipe Camaño Cárdenas,Independientes,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1116,camara_snapshot
2026-09-02,1117,Nathalie Castillo Rojas,Partido Comunista,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1117,camara_snapshot
2026-09-02,1119,Sara Concha Smith,Partido Social Cristiano,Por definir,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1119,camara_snapshot
2026-09-02,1122,Luis Alberto Cuello Peña y Lillo,Partido Comunista,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1122,camara_snapshot
2026-09-02,1127,Lorena Fries Monleón,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1127,camara_snapshot
2026-09-02,1128,Ana María Gazmuri Vieira,Partido Acción Humanista,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1128,camara_snapshot
2026-09-02,1131,Mauro González Villarroel,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1131,camara_snapshot
2026-09-02,1132,Jorge Guzmán Zepeda,Evolución Política,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1132,camara_snapshot
2026-09-02,1133,Juan Irarrázaval Rossel,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1133,camara_snapshot
2026-09-02,1140,Daniel Lilayu Vivanco,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1140,camara_snapshot
2026-09-02,1141,Luis Malla Valenzuela,Partido Liberal de Chile,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1141,camara_snapshot
2026-09-02,1142,Daniel Manouchehri Lobos,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1142,camara_snapshot
2026-09-02,1143,Cristóbal Martínez Ramírez,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1143,camara_snapshot
2026-09-02,1146,José Carlos Meza Pereira,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1146,camara_snapshot
2026-09-02,1148,Javiera Morales Alvarado,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1148,camara_snapshot
2026-09-02,1150,Benjamín Moreno Bascur,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1150,camara_snapshot
2026-09-02,1152,Gloria Naveillan Arriagada,Partido Nacional Libertario,Comité Partido Nacional Libertarios,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1152,camara_snapshot
2026-09-02,1153,Coca Ericka Ñanco Vásquez,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1153,camara_snapshot
2026-09-02,1157,Marlene Pérez Cartes,Independientes,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1157,camara_snapshot
2026-09-02,1159,Lorena Pizarro Sierra,Partido Comunista,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1159,camara_snapshot
2026-09-02,1165,Agustín Romero Leiva,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1165,camara_snapshot
2026-09-02,1166,Natalia Romero Talguia,Independientes,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1166,camara_snapshot
2026-09-02,1170,Luis Sánchez Ossa,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1170,camara_snapshot
2026-09-02,1171,Emilia Schneider Videla,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1171,camara_snapshot
2026-09-02,1172,Stephan Schubert Rubio,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1172,camara_snapshot
2026-09-02,1173,Daniela Serrano Salazar,Partido Comunista,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1173,camara_snapshot
2026-09-02,1174,Marco Antonio Sulantay Olivares,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1174,camara_snapshot
2026-09-02,1175,Cristián Tapia Ramos,Independientes,Partido Por la Democracia e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1175,camara_snapshot
2026-09-02,1176,Hotuiti Teao Drago,Independientes,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1176,camara_snapshot
2026-09-02,1177,Carolina Tello Rojas,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1177,camara_snapshot
2026-09-02,1178,Héctor Ulloa Aguilera,Independientes,Partido Por la Democracia e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1178,camara_snapshot
2026-09-02,1180,Consuelo Veloso Ávila,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1180,camara_snapshot
2026-09-02,1181,Nelson Venegas Salazar,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1181,camara_snapshot
2026-09-02,1182,Sebastián Videla Castillo,Independientes,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1182,camara_snapshot
2026-09-02,1183,Flor Weisse Novoa,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1183,camara_snapshot
2026-09-02,1184,Roberto Celedón Fernández,Independientes,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1184,camara_snapshot
2026-09-02,1186,Ignacio Achurra Díaz,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1186,camara_snapshot
2026-09-02,1187,Carlo Arqueros Pizarro,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1187,camara_snapshot
2026-09-02,1188,Marcos Barraza Gómez,Partido Comunista,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1188,camara_snapshot
2026-09-02,1189,Jaime Bassa Mercado,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1189,camara_snapshot
2026-09-02,1190,Enrique Bassaletti Riess,Independientes,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1190,camara_snapshot
2026-09-02,1191,Valentina Becerra Peña,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1191,camara_snapshot
2026-09-02,1192,Lilian Betancurt Delgado,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1192,camara_snapshot
2026-09-02,1193,Patricio Briones Moller,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1193,camara_snapshot
2026-09-02,1194,Daniel Bustos Leal,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1194,camara_snapshot
2026-09-02,1195,Carlos Carvajal Gallardo,Independientes,Partido Por la Democracia e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1195,camara_snapshot
2026-09-02,1196,Priscilla Castillo Gerli,Partido Demócrata Cristiano,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1196,camara_snapshot
2026-09-02,1197,Carlos Chandía Alarcón,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1197,camara_snapshot
2026-09-02,1198,Paz Charpentier Rajcevich,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1198,camara_snapshot
2026-09-02,1199,Jaime Coloma Álamos,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1199,camara_snapshot
2026-09-02,1200,Cristian Contreras Radovic,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1200,camara_snapshot
2026-09-02,1201,Flor Contreras Vivallo,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1201,camara_snapshot
2026-09-02,1202,Eduardo Cretton Rebolledo,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1202,camara_snapshot
2026-09-02,1203,Sebastián Cristoffanini Jaraquemada,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1203,camara_snapshot
2026-09-02,1204,Francisco Crisóstomo Llanos,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1204,camara_snapshot
2026-09-02,1205,Carlos Cuadrado Prats,Partido Por la Democracia,Partido Por la Democracia e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1205,camara_snapshot
2026-09-02,1206,Carolina Cucumides Calderón,Independientes,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1206,camara_snapshot
2026-09-02,1207,Valentina Cáceres Monsálvez,Independientes,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1207,camara_snapshot
2026-09-02,1208,Jorge Díaz Ibarra,Partido Demócrata Cristiano,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1208,camara_snapshot
2026-09-02,1209,Matías Fernández Hartwig,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1209,camara_snapshot
2026-09-02,1210,Gustavo Gatica Villarroel,Independientes,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1210,camara_snapshot
2026-09-02,1211,Sofía González Cortés,Partido Comunista,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1211,camara_snapshot
2026-09-02,1212,Erich Grohs Marín,Partido Nacional Libertario,Comité Partido Nacional Libertarios,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1212,camara_snapshot
2026-09-02,1213,Irací Hassler Jacob,Partido Comunista,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1213,camara_snapshot
2026-09-02,1214,Constanza Hube Portus,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1214,camara_snapshot
2026-09-02,1215,Álvaro Jofré Cáceres,Partido Nacional Libertario,Comité Partido Nacional Libertarios,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1215,camara_snapshot
2026-09-02,1216,Stephanie Jéldrez Ortiz,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1216,camara_snapshot
2026-09-02,1217,Pier Karlezi Hazleby,Partido Nacional Libertario,Comité Partido Nacional Libertarios,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1217,camara_snapshot
2026-09-02,1218,José Antonio Kast Adriasola,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1218,camara_snapshot
2026-09-02,1219,Tomás Kast Sommerhoff,Evolución Política,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1219,camara_snapshot
2026-09-02,1220,Leandro Kunstmann Collado,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1220,camara_snapshot
2026-09-02,1221,Benjamín Lorca Inzunza,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1221,camara_snapshot
2026-09-02,1222,Andrea Macías Palma,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1222,camara_snapshot
