observed_date,deputy_id,deputy_name,party_reported,caucus_reported,alignment_reported,profile_url,source_type
2026-09-02,1256,Tatiana Urrutia Herrera,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1256,camara_snapshot
2026-09-02,1257,Alejandra Valdebenito Torres,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1257,camara_snapshot
2026-09-02,1258,Guillermo Valdés Carmona,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1258,camara_snapshot
2026-09-02,1259,Juan Marcelo Valenzuela Henríquez,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1259,camara_snapshot
2026-09-02,1260,César Valenzuela Maass,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1260,camara_snapshot
2026-09-02,1261,Daniel Valenzuela Salazar,Independientes,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1261,camara_snapshot
2026-09-02,1262,Diego Vergara Rodríguez,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1262,camara_snapshot
2026-09-02,1263,Sebastián Zamora Soto,Independientes,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1263,camara_snapshot
2026-09-02,1264,Fernando Zamorano Peralta,Partido Por la Democracia,Partido Por la Democracia e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1264,camara_snapshot
2026-09-04,803,René Alinco Bustos,Independientes,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=803,camara_snapshot
2026-09-04,815,Sergio Bobadilla Muñoz,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=815,camara_snapshot
2026-09-04,843,René Manuel García García,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=843,camara_snapshot
2026-09-04,872,Jaime Mulet Martínez,Federación Regionalista Verde Social,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=872,camara_snapshot
2026-09-04,915,Germán Verdugo Soto,Partido Nacional Libertario,Comité Partido Nacional Libertarios,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=915,camara_snapshot
2026-09-04,986,Marcela Hernando Pérez,Partido Radical de Chile,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=986,camara_snapshot
2026-09-04,1009,Jorge Alessandri Vergara,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1009,camara_snapshot
2026-09-04,1012,Boris Barrera Moreno,Partido Comunista,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1012,camara_snapshot
2026-09-04,1013,Alejandro Bernales Maldonado,Partido Liberal de Chile,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1013,camara_snapshot
2026-09-04,1015,Jorge Brito Hasbún,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1015,camara_snapshot
2026-09-04,1017,Álvaro Carter Fernández,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1017,camara_snapshot
2026-09-04,1021,Andrés Celis Montt,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1021,camara_snapshot
2026-09-04,1025,Catalina Del Real Mihovilovic,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1025,camara_snapshot
2026-09-04,1028,Eduardo Durán Salinas,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1028,camara_snapshot
2026-09-04,1038,Marcos Ilabaca Cerda,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1038,camara_snapshot
2026-09-04,1039,Pamela Jiles Moreno,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1039,camara_snapshot
2026-09-04,1044,Raúl Leiva Carvajal,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1044,camara_snapshot
2026-09-04,1054,Francesca Muñoz González,Partido Cristiano de Chile,Por definir,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1054,camara_snapshot
2026-09-04,1056,Emilia Nuyado Ancapichun,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1056,camara_snapshot
2026-09-04,1059,Ximena Ossandón Irarrázabal,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1059,camara_snapshot
2026-09-04,1060,Luis Pardo Sáinz,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1060,camara_snapshot
2026-09-04,1061,Andrea Parra Sauterel,Partido Por la Democracia,Partido Por la Democracia e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1061,camara_snapshot
2026-09-04,1062,Joanna Pérez Olea,Partido Demócratas Chile,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1062,camara_snapshot
2026-09-04,1065,Guillermo Ramírez Diez,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1065,camara_snapshot
2026-09-04,1073,Juan Santana Castillo,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1073,camara_snapshot
2026-09-04,1074,Marisela Santibáñez Novoa,Independientes,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1074,camara_snapshot
2026-09-04,1075,Diego Schalper Sepúlveda,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1075,camara_snapshot
2026-09-04,1077,Raúl Soto Mardones,Partido Por la Democracia,Partido Por la Democracia e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1077,camara_snapshot
2026-09-04,1082,Cristóbal Urruticoechea Ríos,Partido Nacional Libertario,Comité Partido Nacional Libertarios,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1082,camara_snapshot
2026-09-04,1086,Gonzalo Winter Etcheberry,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1086,camara_snapshot
2026-09-04,1087,Gael Yeomans Araya,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1087,camara_snapshot
2026-09-04,1099,Jaime Araya Guerrero,Independientes,Partido Por la Democracia e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1099,camara_snapshot
2026-09-04,1100,Cristián Araya Lerdo de Tejada,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1100,camara_snapshot
2026-09-04,1102,Roberto Arroyo Muñoz,Independientes,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1102,camara_snapshot
2026-09-04,1104,Chiara Barchiesi Chávez,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1104,camara_snapshot
2026-09-04,1105,Héctor Barría Angulo,Partido Demócrata Cristiano,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1105,camara_snapshot
2026-09-04,1107,María Francisca Bello Campos,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1107,camara_snapshot
2026-09-04,1108,Juan Carlos Beltrán Silva,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1108,camara_snapshot
2026-09-04,1110,Carlos Bianchi Chelech,Independientes,Partido Por la Democracia e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1110,camara_snapshot
2026-09-04,1114,Félix Bugueño Sotelo,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1114,camara_snapshot
2026-09-04,1116,Felipe Camaño Cárdenas,Independientes,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1116,camara_snapshot
2026-09-04,1117,Nathalie Castillo Rojas,Partido Comunista,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1117,camara_snapshot
2026-09-04,1119,Sara Concha Smith,Partido Cristiano de Chile,Por definir,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1119,camara_snapshot
2026-09-04,1122,Luis Alberto Cuello Peña y Lillo,Partido Comunista,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1122,camara_snapshot
2026-09-04,1127,Lorena Fries Monleón,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1127,camara_snapshot
2026-09-04,1128,Ana María Gazmuri Vieira,Partido Acción Humanista,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1128,camara_snapshot
2026-09-04,1131,Mauro González Villarroel,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1131,camara_snapshot
2026-09-04,1132,Jorge Guzmán Zepeda,Evolución Política,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1132,camara_snapshot
2026-09-04,1133,Juan Irarrázaval Rossel,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1133,camara_snapshot
2026-09-04,1140,Daniel Lilayu Vivanco,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1140,camara_snapshot
2026-09-04,1141,Luis Malla Valenzuela,Partido Liberal de Chile,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1141,camara_snapshot
2026-09-04,1142,Daniel Manouchehri Lobos,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1142,camara_snapshot
2026-09-04,1143,Cristóbal Martínez Ramírez,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1143,camara_snapshot
2026-09-04,1146,José Carlos Meza Pereira,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1146,camara_snapshot
2026-09-04,1148,Javiera Morales Alvarado,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1148,camara_snapshot
2026-09-04,1150,Benjamín Moreno Bascur,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1150,camara_snapshot
2026-09-04,1152,Gloria Naveillan Arriagada,Partido Nacional Libertario,Comité Partido Nacional Libertarios,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1152,camara_snapshot
2026-09-04,1153,Coca Ericka Ñanco Vásquez,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1153,camara_snapshot
2026-09-04,1157,Marlene Pérez Cartes,Independientes,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1157,camara_snapshot
2026-09-04,1159,Lorena Pizarro Sierra,Partido Comunista,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1159,camara_snapshot
2026-09-04,1165,Agustín Romero Leiva,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1165,camara_snapshot
2026-09-04,1166,Natalia Romero Talguia,Independientes,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1166,camara_snapshot
2026-09-04,1170,Luis Sánchez Ossa,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1170,camara_snapshot
2026-09-04,1171,Emilia Schneider Videla,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1171,camara_snapshot
2026-09-04,1172,Stephan Schubert Rubio,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1172,camara_snapshot
2026-09-04,1173,Daniela Serrano Salazar,Partido Comunista,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1173,camara_snapshot
2026-09-04,1174,Marco Antonio Sulantay Olivares,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1174,camara_snapshot
2026-09-04,1175,Cristián Tapia Ramos,Independientes,Partido Por la Democracia e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1175,camara_snapshot
2026-09-04,1176,Hotuiti Teao Drago,Independientes,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1176,camara_snapshot
2026-09-04,1177,Carolina Tello Rojas,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1177,camara_snapshot
2026-09-04,1178,Héctor Ulloa Aguilera,Independientes,Partido Por la Democracia e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1178,camara_snapshot
2026-09-04,1180,Consuelo Veloso Ávila,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1180,camara_snapshot
2026-09-04,1181,Nelson Venegas Salazar,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1181,camara_snapshot
2026-09-04,1182,Sebastián Videla Castillo,Independientes,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1182,camara_snapshot
2026-09-04,1183,Flor Weisse Novoa,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1183,camara_snapshot
2026-09-04,1184,Roberto Celedón Fernández,Independientes,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1184,camara_snapshot
2026-09-04,1186,Ignacio Achurra Díaz,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1186,camara_snapshot
2026-09-04,1187,Carlo Arqueros Pizarro,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1187,camara_snapshot
2026-09-04,1188,Marcos Barraza Gómez,Partido Comunista,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1188,camara_snapshot
2026-09-04,1189,Jaime Bassa Mercado,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1189,camara_snapshot
2026-09-04,1190,Enrique Bassaletti Riess,Independientes,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1190,camara_snapshot
2026-09-04,1191,Valentina Becerra Peña,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1191,camara_snapshot
2026-09-04,1192,Lilian Betancurt Delgado,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1192,camara_snapshot
2026-09-04,1193,Patricio Briones Moller,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1193,camara_snapshot
2026-09-04,1194,Daniel Bustos Leal,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1194,camara_snapshot
2026-09-04,1195,Carlos Carvajal Gallardo,Independientes,Partido Por la Democracia e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1195,camara_snapshot
2026-09-04,1196,Priscilla Castillo Gerli,Partido Demócrata Cristiano,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1196,camara_snapshot
2026-09-04,1197,Carlos Chandía Alarcón,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1197,camara_snapshot
2026-09-04,1198,Paz Charpentier Rajcevich,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1198,camara_snapshot
2026-09-04,1199,Jaime Coloma Álamos,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1199,camara_snapshot
2026-09-04,1200,Cristian Contreras Radovic,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1200,camara_snapshot
2026-09-04,1201,Flor Contreras Vivallo,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1201,camara_snapshot
2026-09-04,1202,Eduardo Cretton Rebolledo,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1202,camara_snapshot
2026-09-04,1203,Sebastián Cristoffanini Jaraquemada,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1203,camara_snapshot
2026-09-04,1204,Francisco Crisóstomo Llanos,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1204,camara_snapshot
2026-09-04,1205,Carlos Cuadrado Prats,Partido Por la Democracia,Partido Por la Democracia e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1205,camara_snapshot
2026-09-04,1206,Carolina Cucumides Calderón,Independientes,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1206,camara_snapshot
2026-09-04,1207,Valentina Cáceres Monsálvez,Independientes,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1207,camara_snapshot
2026-09-04,1208,Jorge Díaz Ibarra,Partido Demócrata Cristiano,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1208,camara_snapshot
2026-09-04,1209,Matías Fernández Hartwig,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1209,camara_snapshot
2026-09-04,1210,Gustavo Gatica Villarroel,Independientes,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1210,camara_snapshot
2026-09-04,1211,Sofía González Cortés,Partido Comunista,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1211,camara_snapshot
2026-09-04,1212,Erich Grohs Marín,Partido Nacional Libertario,Comité Partido Nacional Libertarios,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1212,camara_snapshot
2026-09-04,1213,Irací Hassler Jacob,Partido Comunista,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1213,camara_snapshot
2026-09-04,1214,Constanza Hube Portus,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1214,camara_snapshot
2026-09-04,1215,Álvaro Jofré Cáceres,Partido Nacional Libertario,Comité Partido Nacional Libertarios,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1215,camara_snapshot
2026-09-04,1216,Stephanie Jéldrez Ortiz,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1216,camara_snapshot
2026-09-04,1217,Pier Karlezi Hazleby,Partido Nacional Libertario,Comité Partido Nacional Libertarios,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1217,camara_snapshot
2026-09-04,1218,José Antonio Kast Adriasola,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1218,camara_snapshot
2026-09-04,1219,Tomás Kast Sommerhoff,Evolución Política,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1219,camara_snapshot
2026-09-04,1220,Leandro Kunstmann Collado,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1220,camara_snapshot
2026-09-04,1221,Benjamín Lorca Inzunza,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1221,camara_snapshot
2026-09-04,1222,Andrea Macías Palma,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1222,camara_snapshot
2026-09-04,1223,Hans Marowski Cuevas,Partido Nacional Libertario,Comité Partido Nacional Libertarios,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1223,camara_snapshot
2026-09-04,1224,Cristian Mella Andaur,Partido Demócrata Cristiano,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1224,camara_snapshot
2026-09-04,1225,Cristian Menchaca Pinochet,Independientes,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1225,camara_snapshot
2026-09-04,1226,José Montalva Feuerhake,Independientes,Partido Por la Democracia e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1226,camara_snapshot
2026-09-04,1227,Claudia Mora Vega,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1227,camara_snapshot
2026-09-04,1228,Paulina Muñoz Minte,Partido Nacional Libertario,Comité Partido Nacional Libertarios,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1228,camara_snapshot
2026-09-04,1229,Javier Muñoz Riquelme,Partido Demócrata Cristiano,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1229,camara_snapshot
2026-09-04,1230,Alex Nahuelquin Nahuelquin,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1230,camara_snapshot
2026-09-04,1231,Ximena Naranjo Pinto,Independientes,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1231,camara_snapshot
2026-09-04,1232,Cristian Neira Martínez,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1232,camara_snapshot
2026-09-04,1233,Ricardo Neumann Bertín,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1233,camara_snapshot
2026-09-04,1234,Mario Olavarría Rodríguez,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1234,camara_snapshot
2026-09-04,1235,Javier Olivares Avendaño,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1235,camara_snapshot
2026-09-04,1236,Paula Olmos Contreras,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1236,camara_snapshot
2026-09-04,1237,Francisco Orrego Gutiérrez,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1237,camara_snapshot
2026-09-04,1238,Álvaro Ortiz Vera,Partido Demócrata Cristiano,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1238,camara_snapshot
2026-09-04,1239,Fabián Ossandón Briceño,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1239,camara_snapshot
2026-09-04,1240,Zandra Parisi Fernández,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1240,camara_snapshot
2026-09-04,1241,Patricio Pinilla Valencia,Partido Demócrata Cristiano,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1241,camara_snapshot
2026-09-04,1242,Rodrigo Ramírez Parra,Independientes,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1242,camara_snapshot
2026-09-04,1243,Tamara Ramírez Ramírez,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1243,camara_snapshot
2026-09-04,1244,Claudia Reyes Larenas,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1244,camara_snapshot
2026-09-04,1245,Alejandro Riquelme Ducci,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1245,camara_snapshot
2026-09-04,1246,José Antonio Rivas Villalobos,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1246,camara_snapshot
2026-09-04,1247,Javiera Rodríguez Pascual,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1247,camara_snapshot
