deputy_id,deputy_name,term_start,party_at_term_start,electoral_party_slot,electoral_pact,basis,confidence,source_url_primary,source_url_secondary,source_note,frozen_on
1028,Eduardo Durán Salinas,2026-03-11,Renovación Nacional,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1028,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1038,Marcos Ilabaca Cerda,2026-03-11,Partido Socialista,PARTIDO SOCIALISTA DE CHILE,UNIDAD POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1038,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1039,Pamela Jiles Moreno,2026-03-11,Partido de la Gente,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1039,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1044,Raúl Leiva Carvajal,2026-03-11,Partido Socialista,PARTIDO SOCIALISTA DE CHILE,UNIDAD POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1044,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1054,Francesca Muñoz González,2026-03-11,Partido Social Cristiano,PARTIDO SOCIAL CRISTIANO,CAMBIO POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1054,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1056,Emilia Nuyado Ancapichun,2026-03-11,Partido Socialista,PARTIDO SOCIALISTA DE CHILE,UNIDAD POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1056,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1059,Ximena Ossandón Irarrázabal,2026-03-11,Renovación Nacional,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1059,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1060,Luis Pardo Sáinz,2026-03-11,Renovación Nacional,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1060,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1061,Andrea Parra Sauterel,2026-03-11,Partido Por la Democracia,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1061,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1062,Joanna Pérez Olea,2026-03-11,Partido Demócratas Chile,PARTIDO DEMOCRATAS CHILE,CHILE GRANDE Y UNIDO,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1062,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
