deputy_id,deputy_name,caucus_at_term_start,basis,confidence,source_url_primary,source_url_validation,source_note,electoral_party_slot,party_at_term_start,validation_bucket
1025,Catalina Del Real Mihovilovic,Comité Partido Republicano,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO REPUBLICANO DE CHILE,Partido Republicano,institutional_reconstruction
1028,Eduardo Durán Salinas,"Renovación Nacional, Evopoli e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,RENOVACION NACIONAL,Renovación Nacional,institutional_reconstruction
1038,Marcos Ilabaca Cerda,"Socialista, Liberal, Radical e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO SOCIALISTA DE CHILE,Partido Socialista,institutional_reconstruction
1039,Pamela Jiles Moreno,Comité Partido de la Gente,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO DE LA GENTE,Partido de la Gente,institutional_reconstruction
1044,Raúl Leiva Carvajal,"Socialista, Liberal, Radical e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO SOCIALISTA DE CHILE,Partido Socialista,institutional_reconstruction
1054,Francesca Muñoz González,Por definir,documented_pre_event_state,high,https://www.latercera.com/politica/noticia/partido-cristiano-de-chile-realiza-lanzamiento-oficial-tras-reunir-firmas-para-su-inscripcion-ante-el-servel/,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Bancada inicial reconstruida directamente desde el estado previo al primer cambio documentado del período.,PARTIDO SOCIAL CRISTIANO,Partido Social Cristiano,documented_event
1056,Emilia Nuyado Ancapichun,"Socialista, Liberal, Radical e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO SOCIALISTA DE CHILE,Partido Socialista,institutional_reconstruction
1059,Ximena Ossandón Irarrázabal,"Renovación Nacional, Evopoli e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,RENOVACION NACIONAL,Renovación Nacional,institutional_reconstruction
1060,Luis Pardo Sáinz,"Renovación Nacional, Evopoli e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,RENOVACION NACIONAL,Renovación Nacional,institutional_reconstruction
1061,Andrea Parra Sauterel,Partido Por la Democracia e Independientes,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO POR LA DEMOCRACIA,Partido Por la Democracia,institutional_reconstruction
1062,Joanna Pérez Olea,"Renovación Nacional, Evopoli e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO DEMOCRATAS CHILE,Partido Demócratas Chile,institutional_reconstruction
1065,Guillermo Ramírez Diez,Unión Demócrata Independiente,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,UNION DEMOCRATA INDEPENDIENTE,Unión Demócrata Independiente,institutional_reconstruction
1073,Juan Santana Castillo,"Socialista, Liberal, Radical e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO SOCIALISTA DE CHILE,Partido Socialista,institutional_reconstruction
1074,Marisela Santibáñez Novoa,Comité Comunista e Independientes,independent_electoral_slot_plus_current_caucus_plus_size_closure,medium,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,"Independiente: cupo electoral, bancada actual y cierre exacto de tamaños institucionales apuntan al mismo comité inicial.",PARTIDO COMUNISTA DE CHILE,Independientes,institutional_reconstruction
1075,Diego Schalper Sepúlveda,"Renovación Nacional, Evopoli e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,RENOVACION NACIONAL,Renovación Nacional,institutional_reconstruction
1077,Raúl Soto Mardones,Partido Por la Democracia e Independientes,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO POR LA DEMOCRACIA,Partido Por la Democracia,institutional_reconstruction
1082,Cristóbal Urruticoechea Ríos,Comité Partido Nacional Libertarios,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO NACIONAL LIBERTARIO,Partido Nacional Libertario,institutional_reconstruction
1086,Gonzalo Winter Etcheberry,Frente Amplio,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,FRENTE AMPLIO,Frente Amplio,institutional_reconstruction
1087,Gael Yeomans Araya,Frente Amplio,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,FRENTE AMPLIO,Frente Amplio,institutional_reconstruction
1099,Jaime Araya Guerrero,Partido Por la Democracia e Independientes,independent_electoral_slot_plus_current_caucus_plus_size_closure,medium,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,"Independiente: cupo electoral, bancada actual y cierre exacto de tamaños institucionales apuntan al mismo comité inicial.",PARTIDO POR LA DEMOCRACIA,Independientes,institutional_reconstruction
1100,Cristián Araya Lerdo de Tejada,Comité Partido Republicano,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO REPUBLICANO DE CHILE,Partido Republicano,institutional_reconstruction
1102,Roberto Arroyo Muñoz,Por definir,documented_pre_event_state,high,https://www.latercera.com/politica/noticia/pdg-recupera-sus-14-diputados-tras-el-regreso-de-roberto-arroyo/,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Bancada inicial reconstruida directamente desde el estado previo al primer cambio documentado del período.,PARTIDO SOCIAL CRISTIANO,Partido Social Cristiano,documented_event
1104,Chiara Barchiesi Chávez,Comité Partido Republicano,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO REPUBLICANO DE CHILE,Partido Republicano,institutional_reconstruction
1105,Héctor Barría Angulo,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO DEMOCRATA CRISTIANO,Partido Demócrata Cristiano,institutional_reconstruction
1107,María Francisca Bello Campos,Frente Amplio,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,FRENTE AMPLIO,Frente Amplio,institutional_reconstruction
1108,Juan Carlos Beltrán Silva,"Renovación Nacional, Evopoli e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,RENOVACION NACIONAL,Renovación Nacional,institutional_reconstruction
1110,Carlos Bianchi Chelech,Partido Por la Democracia e Independientes,current_caucus_plus_official_size_closure,medium,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Electo independiente sin cupo partidario; bancada actual y tamaño oficial de marzo reproducen PPD+Ind=10.,INDEPENDIENTES,Independientes,institutional_reconstruction
1114,Félix Bugueño Sotelo,Frente Amplio,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,FRENTE AMPLIO,Frente Amplio,institutional_reconstruction
1116,Felipe Camaño Cárdenas,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",independent_electoral_slot_plus_current_caucus_plus_size_closure,medium,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,"Independiente: cupo electoral, bancada actual y cierre exacto de tamaños institucionales apuntan al mismo comité inicial.",PARTIDO DEMOCRATA CRISTIANO,Independientes,institutional_reconstruction
1117,Nathalie Castillo Rojas,Comité Comunista e Independientes,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO COMUNISTA DE CHILE,Partido Comunista,institutional_reconstruction
1119,Sara Concha Smith,Por definir,documented_pre_event_state,high,https://www.latercera.com/politica/noticia/partido-cristiano-de-chile-realiza-lanzamiento-oficial-tras-reunir-firmas-para-su-inscripcion-ante-el-servel/,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Bancada inicial reconstruida directamente desde el estado previo al primer cambio documentado del período.,PARTIDO SOCIAL CRISTIANO,Partido Social Cristiano,documented_event
1122,Luis Alberto Cuello Peña y Lillo,Comité Comunista e Independientes,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO COMUNISTA DE CHILE,Partido Comunista,institutional_reconstruction
1127,Lorena Fries Monleón,Frente Amplio,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,FRENTE AMPLIO,Frente Amplio,institutional_reconstruction
1128,Ana María Gazmuri Vieira,Comité Comunista e Independientes,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO ACCIÓN HUMANISTA,Partido Acción Humanista,institutional_reconstruction
1131,Mauro González Villarroel,"Renovación Nacional, Evopoli e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,RENOVACION NACIONAL,Renovación Nacional,institutional_reconstruction
1132,Jorge Guzmán Zepeda,"Renovación Nacional, Evopoli e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,EVOLUCION POLITICA,Evolución Política,institutional_reconstruction
1133,Juan Irarrázaval Rossel,Comité Partido Republicano,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO REPUBLICANO DE CHILE,Partido Republicano,institutional_reconstruction
1140,Daniel Lilayu Vivanco,Unión Demócrata Independiente,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,UNION DEMOCRATA INDEPENDIENTE,Unión Demócrata Independiente,institutional_reconstruction
1141,Luis Malla Valenzuela,"Socialista, Liberal, Radical e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO LIBERAL DE CHILE,Partido Liberal de Chile,institutional_reconstruction
1142,Daniel Manouchehri Lobos,"Socialista, Liberal, Radical e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO SOCIALISTA DE CHILE,Partido Socialista,institutional_reconstruction
1143,Cristóbal Martínez Ramírez,Unión Demócrata Independiente,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,UNION DEMOCRATA INDEPENDIENTE,Unión Demócrata Independiente,institutional_reconstruction
1146,José Carlos Meza Pereira,Comité Partido Republicano,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO REPUBLICANO DE CHILE,Partido Republicano,institutional_reconstruction
1148,Javiera Morales Alvarado,Frente Amplio,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,FRENTE AMPLIO,Frente Amplio,institutional_reconstruction
1150,Benjamín Moreno Bascur,Comité Partido Republicano,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO REPUBLICANO DE CHILE,Partido Republicano,institutional_reconstruction
