effective_date,window_start,window_end,deputy_id,deputy_name,party_before,party_after,caucus_before,caucus_after,source_url,source_type,confidence,date_precision,note
2026-09-04,2026-09-03,2026-09-04,1054,Francesca Muñoz González,Partido Social Cristiano,Partido Cristiano de Chile,,,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1054,camara_weekly_snapshot_change,medium,observation_window,Cambio detectado entre snapshots de Cámara 2026-09-02 y 2026-09-04; fecha exacta pendiente de corroboración. Partido: Partido Social Cristiano → Partido Cristiano de Chile.
2026-09-04,2026-09-03,2026-09-04,1119,Sara Concha Smith,Partido Social Cristiano,Partido Cristiano de Chile,,,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1119,camara_weekly_snapshot_change,medium,observation_window,Cambio detectado entre snapshots de Cámara 2026-09-02 y 2026-09-04; fecha exacta pendiente de corroboración. Partido: Partido Social Cristiano → Partido Cristiano de Chile.
