deputy_id,deputy_name,valid_from,valid_to,party,caucus,alignment,basis,confidence,date_precision,source_url,source_note,official_snapshot_conflict
1054,Francesca Muñoz González,2026-06-06,,Partido Cristiano de Chile,Por definir,oficialismo,documented_event_chain,high,day,https://www.latercera.com/politica/noticia/partido-cristiano-de-chile-realiza-lanzamiento-oficial-tras-reunir-firmas-para-su-inscripcion-ante-el-servel/,Participa en el lanzamiento del Partido Cristiano de Chile como continuidad política del disuelto Partido Social Cristiano. La ficha de Cámara aún puede conservar la etiqueta anterior. | Conflicto con snapshot oficial: party: Cámara=Partido Social Cristiano / evidencia=Partido Cristiano de Chile,1
1056,Emilia Nuyado Ancapichun,2026-03-11,,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1056,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1059,Ximena Ossandón Irarrázabal,2026-03-11,,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1059,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1060,Luis Pardo Sáinz,2026-03-11,,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1060,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1061,Andrea Parra Sauterel,2026-03-11,,Partido Por la Democracia,Partido Por la Democracia e Independientes,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1061,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1062,Joanna Pérez Olea,2026-03-11,,Partido Demócratas Chile,"Renovación Nacional, Evopoli e Independientes",oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1062,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1065,Guillermo Ramírez Diez,2026-03-11,,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1065,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1073,Juan Santana Castillo,2026-03-11,,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1073,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1074,Marisela Santibáñez Novoa,2026-03-11,,Independientes,Comité Comunista e Independientes,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1074,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1075,Diego Schalper Sepúlveda,2026-03-11,,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1075,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
