deputy_id,deputy_name,district,electoral_party_slot,electoral_pact,current_party_camara,current_caucus_camara,comparison_status,has_documented_2026_event,event_dates,baseline_action,review_priority
1263,Sebastián Zamora Soto,7,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,Independientes,Comité Partido Republicano,actual_independiente_en_cupo_partidario,0,,verificar_independencia_en_eleccion_o_fecha_de_salida,alta
815,Sergio Bobadilla Muñoz,20,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,Unión Demócrata Independiente,Unión Demócrata Independiente,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
843,René Manuel García García,23,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
872,Jaime Mulet Martínez,4,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",Federación Regionalista Verde Social,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
915,Germán Verdugo Soto,17,PARTIDO NACIONAL LIBERTARIO,CAMBIO POR CHILE,Partido Nacional Libertario,Comité Partido Nacional Libertarios,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
986,Marcela Hernando Pérez,3,PARTIDO RADICAL DE CHILE,UNIDAD POR CHILE,Partido Radical de Chile,"Socialista, Liberal, Radical e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1009,Jorge Alessandri Vergara,10,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,Unión Demócrata Independiente,Unión Demócrata Independiente,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1012,Boris Barrera Moreno,9,PARTIDO COMUNISTA DE CHILE,UNIDAD POR CHILE,Partido Comunista,Comité Comunista e Independientes,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1013,Alejandro Bernales Maldonado,26,PARTIDO LIBERAL DE CHILE,UNIDAD POR CHILE,Partido Liberal de Chile,"Socialista, Liberal, Radical e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1015,Jorge Brito Hasbún,7,FRENTE AMPLIO,UNIDAD POR CHILE,Frente Amplio,Frente Amplio,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1017,Álvaro Carter Fernández,12,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,Partido Republicano,Comité Partido Republicano,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
