"spec_a","spec_b","n_common","pearson","spearman","standardized_rmse","median_abs_rank_change","max_abs_rank_change"
"early_raw","late_raw",153,0.951564238968235,0.913858604814071,0.31017984161062,7,57
"early_cap20","late_cap20",153,0.882642211659407,0.895532072240683,0.482281141612791,9,63
"early_raw","early_cap20",154,0.967095441442592,0.984795371040155,0.255698621790379,3,43
"late_raw","late_cap20",153,0.99895248657462,0.998404872817059,0.0456216381206068,1,10
