boletin,fecha,sesion,etapa,subetapa,documento_url,fuente
18155-25,2026-04-20,,Primer trámite constitucional / C. Diputados,Oficio N°21.165. Comunica que la Cámara de Diputados accedió a la solicitud para fusionar el proyecto boletín N° 18.155-25 con el proyecto boletín N° 18.161-07.,https://www.camara.cl/verDoc.aspx?prmID=36053&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18813&prmBOLETIN=18155-25
18155-25,2026-05-04,,Primer trámite constitucional / C. Diputados,S.E. el Presidente de la República formula indicación al proyecto. (029-374).,https://www.camara.cl/verDoc.aspx?prmID=36104&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18813&prmBOLETIN=18155-25
18155-25,2026-05-06,,Primer trámite constitucional / C. Diputados,Primer informe de comisión,https://www.camara.cl/verDoc.aspx?prmID=27963&prmTIPO=INFORMEPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18813&prmBOLETIN=18155-25
18155-25,2026-05-13,,Primer trámite constitucional / C. Diputados,Oficio de ley a Cámara Revisora,https://www.camara.cl/verDoc.aspx?prmID=36170&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18813&prmBOLETIN=18155-25
18155-25,2026-09-01,53ª / 374,Segundo trámite constitucional / Senado,Cuenta del Mensaje 288-374 que retira y hace presente la urgencia Simple,,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18813&prmBOLETIN=18155-25
18156-04,2026-04-07,,Primer trámite constitucional / C. Diputados,Ingreso de proyecto. Incluye IF N°078 / 07.04.2026,https://www.camara.cl/verDoc.aspx?prmID=18380&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18814&prmBOLETIN=18156-04
18156-04,2026-04-07,,Primer trámite constitucional / C. Diputados,Texto del mensaje,https://www.camara.cl/verDoc.aspx?prmID=35984&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18814&prmBOLETIN=18156-04
18156-04,2026-04-15,,Primer trámite constitucional / C. Diputados,"Oficio de S.E. el Presidente de la República (N° 014-374), mediante el cual formula indicaciones al proyecto.",https://www.camara.cl/verDoc.aspx?prmID=36048&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18814&prmBOLETIN=18156-04
18156-04,2026-04-16,,Primer trámite constitucional / C. Diputados,Primer informe de comisión,https://www.camara.cl/verDoc.aspx?prmID=27941&prmTIPO=INFORMEPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18814&prmBOLETIN=18156-04
18156-04,2026-04-21,,Primer trámite constitucional / C. Diputados,Oficio de ley a Cámara Revisora. Oficio de ley a Cámara revisora.,https://www.camara.cl/verDoc.aspx?prmID=36058&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18814&prmBOLETIN=18156-04
18156-04,2026-05-18,18ª / 374,Segundo trámite constitucional / Senado,"Discusión general. Aprobado en general, queda pendiente la discusión en particular.",https://www.camara.cl/verDoc.aspx?prmID=80261&prmTIPO=BOLETINOFICIAL,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18814&prmBOLETIN=18156-04
18156-04,2026-05-18,,Segundo trámite constitucional / Senado,Primer informe de comisión,https://www.camara.cl/verDoc.aspx?prmID=27979&prmTIPO=INFORMEPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18814&prmBOLETIN=18156-04
18156-04,2026-05-19,20ª / 374,Segundo trámite constitucional / Senado,Discusión general,https://www.camara.cl/verDoc.aspx?prmID=80303&prmTIPO=BOLETINOFICIAL,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18814&prmBOLETIN=18156-04
18156-04,2026-05-19,20ª / 374,Segundo trámite constitucional / Senado,La Honorable Senadora señora Pascual hace reserva de constitucionalidad en la discusión del proyecto de ley,https://www.camara.cl/verDoc.aspx?prmID=80303&prmTIPO=BOLETINOFICIAL,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18814&prmBOLETIN=18156-04
18156-04,2026-05-19,20ª / 374,Segundo trámite constitucional / Senado,La Honorable Senadora señora Provoste hace reserva de constitucionalidad en la discusión del proyecto de ley,https://www.camara.cl/verDoc.aspx?prmID=80303&prmTIPO=BOLETINOFICIAL,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18814&prmBOLETIN=18156-04
18156-04,2026-05-19,20ª / 374,Segundo trámite constitucional / Senado,La Honorable Senadora señora Sánchez hace reserva de constitucionalidad en la discusión del proyecto de ley,https://www.camara.cl/verDoc.aspx?prmID=80303&prmTIPO=BOLETINOFICIAL,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18814&prmBOLETIN=18156-04
18156-04,2026-05-20,,Segundo trámite constitucional / Senado,Oficio modificaciones a Cámara de Origen,https://www.camara.cl/verDoc.aspx?prmID=36225&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18814&prmBOLETIN=18156-04
18156-04,2026-06-02,28ª / 374,Tercer trámite constitucional / C. Diputados,Cuenta del Mensaje 118-374 que hace presente la urgencia Discusión inmediata,,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18814&prmBOLETIN=18156-04
18156-04,2026-06-02,,Tercer trámite constitucional / C. Diputados,"Oficio N° 21.262, que comunica aprobacion de modificaciones",https://www.camara.cl/verDoc.aspx?prmID=36664&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18814&prmBOLETIN=18156-04
18156-04,2026-06-02,,Tercer trámite constitucional / C. Diputados,Oficio de ley al Ejecutivo,https://www.camara.cl/verDoc.aspx?prmID=36665&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18814&prmBOLETIN=18156-04
18157-33,2026-04-06,,Primer trámite constitucional / C. Diputados,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18388&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18822&prmBOLETIN=18157-33
18157-33,2026-05-28,,Primer trámite constitucional / C. Diputados,Primer informe de comisión,https://www.camara.cl/verDoc.aspx?prmID=27996&prmTIPO=INFORMEPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18822&prmBOLETIN=18157-33
18157-33,2026-06-08,,Primer trámite constitucional / C. Diputados,Oficio de ley a Cámara Revisora,https://www.camara.cl/verDoc.aspx?prmID=36689&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18822&prmBOLETIN=18157-33
18157-33,2026-07-27,,Segundo trámite constitucional / Senado,Primer informe de comisión,https://www.camara.cl/verDoc.aspx?prmID=28115&prmTIPO=INFORMEPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18822&prmBOLETIN=18157-33
18157-33,2026-08-04,47ª / 374,Segundo trámite constitucional / Senado,Cuenta del Mensaje 232-374 que retira y hace presente la urgencia Suma,,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18822&prmBOLETIN=18157-33
18157-33,2026-08-18,51ª / 374,Segundo trámite constitucional / Senado,Discusión general,https://www.camara.cl/verDoc.aspx?prmID=81083&prmTIPO=BOLETINOFICIAL,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18822&prmBOLETIN=18157-33
