author_id,author_name,author_chamber,authored_bills,coauthored_bills,solo_bills,unique_coauthors,weighted_degree
1192,Lilian Betancurt Delgado,Diputado,11,11,0,36,69
1127,Lorena Fries Monleón,Diputado,8,8,0,32,54
1159,Lorena Pizarro Sierra,Diputado,6,6,0,20,40
1122,Luis Alberto Cuello Peña y Lillo,Diputado,15,15,0,46,96
1141,Luis Malla Valenzuela,Diputado,21,20,1,62,113
1060,Luis Pardo Sáinz,Diputado,14,14,0,41,109
1170,Luis Sánchez Ossa,Diputado,5,5,0,20,40
1251,Macarena Santelices Cañas,Diputado,15,15,0,68,118
986,Marcela Hernando Pérez,Diputado,19,19,0,54,101
1174,Marco Antonio Sulantay Olivares,Diputado,15,15,0,31,129
1188,Marcos Barraza Gómez,Diputado,12,12,0,38,79
1038,Marcos Ilabaca Cerda,Diputado,5,5,0,23,35
1234,Mario Olavarría Rodríguez,Diputado,22,21,1,61,163
1074,Marisela Santibáñez Novoa,Diputado,16,16,0,73,131
1157,Marlene Pérez Cartes,Diputado,20,18,2,39,148
1107,María Francisca Bello Campos,Diputado,10,10,0,54,78
1209,Matías Fernández Hartwig,Diputado,11,11,0,44,81
1131,Mauro González Villarroel,Diputado,15,15,0,41,114
1166,Natalia Romero Talguia,Diputado,13,13,0,46,106
1117,Nathalie Castillo Rojas,Diputado,12,12,0,42,81
1181,Nelson Venegas Salazar,Diputado,8,8,0,29,50
1249,Omar Sabat Guzmán,Diputado,17,17,0,47,145
1039,Pamela Jiles Moreno,Diputado,10,10,0,41,72
1193,Patricio Briones Moller,Diputado,39,37,2,96,237
1241,Patricio Pinilla Valencia,Diputado,33,33,0,85,207
1236,Paula Olmos Contreras,Diputado,22,22,0,71,152
1228,Paulina Muñoz Minte,Diputado,13,13,0,64,91
1198,Paz Charpentier Rajcevich,Diputado,7,7,0,34,57
1217,Pier Karlezi Hazleby,Diputado,17,17,0,65,118
1196,Priscilla Castillo Gerli,Diputado,7,7,0,19,40
1044,Raúl Leiva Carvajal,Diputado,8,8,0,46,69
1077,Raúl Soto Mardones,Diputado,12,12,0,31,99
803,René Alinco Bustos,Diputado,2,2,0,16,16
843,René Manuel García García,Diputado,15,15,0,50,96
1233,Ricardo Neumann Bertín,Diputado,13,13,0,44,107
1102,Roberto Arroyo Muñoz,Diputado,26,22,4,57,119
1184,Roberto Celedón Fernández,Diputado,4,4,0,26,29
1242,Rodrigo Ramírez Parra,Diputado,12,12,0,27,82
1119,Sara Concha Smith,Diputado,12,12,0,54,91
1203,Sebastián Cristoffanini Jaraquemada,Diputado,6,6,0,38,46
1182,Sebastián Videla Castillo,Diputado,19,19,0,51,110
1263,Sebastián Zamora Soto,Diputado,9,9,0,42,73
