project_id,boletin,titulo,fecha_ingreso,origen_iniciativa,tipo_iniciativa,tipo_iniciativa_codigo,camara_origen,camara_origen_codigo,admisible,estado_actual,source_url,updated_at
19026,18352-04,"Modifica la ley N°20.370, General de Educación, para incorporar la educación emocional y salud mental en el sistema escolar",2026-06-10,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19026&prmBOLETIN=18352-04,2026-09-02T15:26:02Z
19027,18354-07,"Modifica el artículo 19 N°16 de la Constitución Política, para disponer un procedimiento de negociación de reajustes salariales en el sector público y privado",2026-06-10,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19027&prmBOLETIN=18354-07,2026-09-02T15:26:02Z
19051,18358-03,"Modifica la ley N° 19.496, que establece normas sobre protección de los derechos de los consumidores, para consagrar el derecho a poner término a los contratos por la misma forma, vía o canal en que fueron celebrados",2026-06-10,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19051&prmBOLETIN=18358-03,2026-09-02T15:26:02Z
19050,18359-07,Modifica el artículo 52 de la Constitución Política de la República en materia de cumplimiento de los requerimientos de fiscalización realizados por la Cámara de Diputados,2026-06-10,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19050&prmBOLETIN=18359-07,2026-09-02T15:26:02Z
19049,18360-07,Modifica el Código Penal en materia de sanciones aplicables por delitos cometidos en contra de funcionarios y autoridades,2026-06-10,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19049&prmBOLETIN=18360-07,2026-09-02T15:26:02Z
19048,18361-02,"Aumenta la pena aplicable al delito de ingreso no autorizado a recintos militares y policiales, y fortalece la protección de la seguridad pública",2026-06-11,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19048&prmBOLETIN=18361-02,2026-09-02T15:26:02Z
19047,18362-19,Establece la obligación de fijar domicilio en Chile a las plataformas digitales,2026-06-11,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19047&prmBOLETIN=18362-19,2026-09-02T15:26:02Z
19046,18363-06,"Modifica la ley N° 19.925, sobre expendio y consumo de bebidas alcohólicas, en materia de requisitos para acceder a patentes de funcionamiento de establecimientos que expenden alcohol",2026-06-11,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19046&prmBOLETIN=18363-06,2026-09-02T15:26:02Z
19152,18467-06,"Modifica la ley N°18.700, orgánica constitucional sobre Votaciones Populares y Escrutinios, para incorporar el principio de equidad territorial en la distribución de escaños de la Cámara de Diputados",2026-06-11,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19152&prmBOLETIN=18467-06,2026-09-02T15:26:02Z
19025,18341-25,Crea el registro de actos vandálicos e incivilidades,2026-06-12,ejecutivo,Mensaje,1,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19025&prmBOLETIN=18341-25,2026-09-02T15:26:02Z
19045,18364-07,Modifica la carta fundamental para establecer la jornada laboral máxima de 40 horas semanales para los funcionarios públicos,2026-06-12,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19045&prmBOLETIN=18364-07,2026-09-02T15:26:02Z
19044,18365-07,Modifica el artículo 291 bis del Código Penal para aumentar las penas del delito de maltrato animal,2026-06-12,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19044&prmBOLETIN=18365-07,2026-09-02T15:26:02Z
19043,18366-25,Modifica ley N° 21.560 y deroga norma del Código de Justicia Militar,2026-06-12,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19043&prmBOLETIN=18366-25,2026-09-02T15:26:02Z
19042,18367-25,Establece reglas especiales para la determinación de la pena respecto de los delitos de homicidio y lesiones cometidos por adolescentes en contra de funcionarios policiales,2026-06-12,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19042&prmBOLETIN=18367-25,2026-09-02T15:26:02Z
19055,18373-07,"Modifica la ley N° 19.913, que crea la Unidad de Análisis Financiero, para agilizar el acceso a información amparada por secreto o reserva bancaria, manteniendo el control judicial previo",2026-06-15,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19055&prmBOLETIN=18373-07,2026-09-02T15:26:02Z
19054,18374-06,"Modifica la ley N° 18.695, orgánica constitucional de municipalidades, para establecer la obligatoriedad de dar respuesta a los requerimientos de información y antecedentes efectuados por el Concejo Municipal o los concejales que lo integran, a las Corporaciones, Fundaciones y Asociaciones Municipales",2026-06-15,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19054&prmBOLETIN=18374-06,2026-09-02T15:26:02Z
19053,18375-29,Establece normas para la regulación de la emisión de ruido generado por instalaciones deportivas,2026-06-15,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19053&prmBOLETIN=18375-29,2026-09-02T15:26:02Z
