diputado_id,diputado_nombre,binary_votes,affirmative,against,missing_for_spatial_model,binary_participation_share,binary_votes_lop_0025,eligible_minvotes20_lop_0025,binary_votes_lop_0050,eligible_minvotes20_lop_0050,binary_votes_lop_0100,eligible_minvotes20_lop_0100
1182,Sebastián Videla Castillo,335,257,78,29,0.920330,255,1,249,1,238,1
1183,Flor Weisse Novoa,275,210,65,89,0.755495,193,1,188,1,183,1
1184,Roberto Celedón Fernández,349,204,145,15,0.958791,265,1,258,1,247,1
1186,Ignacio Achurra Díaz,348,200,148,16,0.956044,265,1,261,1,252,1
1187,Carlo Arqueros Pizarro,352,252,100,12,0.967033,268,1,262,1,251,1
1188,Marcos Barraza Gómez,347,190,157,17,0.953297,267,1,263,1,254,1
1189,Jaime Bassa Mercado,342,187,155,22,0.939560,261,1,256,1,245,1
1190,Enrique Bassaletti Riess,354,253,101,10,0.972527,271,1,265,1,254,1
1191,Valentina Becerra Peña,339,240,99,25,0.931319,264,1,259,1,248,1
1192,Lilian Betancurt Delgado,210,157,53,154,0.576923,161,1,156,1,147,1
1193,Patricio Briones Moller,350,259,91,14,0.961538,262,1,255,1,244,1
1194,Daniel Bustos Leal,355,254,101,9,0.975275,271,1,265,1,254,1
1195,Carlos Carvajal Gallardo,332,238,94,32,0.912088,249,1,243,1,232,1
1196,Priscilla Castillo Gerli,352,262,90,12,0.967033,265,1,260,1,249,1
1197,Carlos Chandía Alarcón,340,252,88,24,0.934066,254,1,247,1,239,1
1198,Paz Charpentier Rajcevich,351,251,100,13,0.964286,270,1,264,1,253,1
1199,Jaime Coloma Álamos,351,256,95,13,0.964286,264,1,257,1,248,1
1200,Cristian Contreras Radovic,340,255,85,24,0.934066,260,1,254,1,243,1
1201,Flor Contreras Vivallo,346,254,92,18,0.950549,261,1,254,1,243,1
1202,Eduardo Cretton Rebolledo,351,251,100,13,0.964286,266,1,259,1,250,1
1203,Sebastián Cristoffanini Jaraquemada,352,252,100,12,0.967033,268,1,262,1,251,1
1204,Francisco Crisóstomo Llanos,347,212,135,17,0.953297,262,1,257,1,247,1
1205,Carlos Cuadrado Prats,321,207,114,43,0.881868,242,1,237,1,226,1
1206,Carolina Cucumides Calderón,352,214,138,12,0.967033,267,1,263,1,253,1
1207,Valentina Cáceres Monsálvez,333,200,133,31,0.914835,249,1,245,1,234,1
1208,Jorge Díaz Ibarra,336,259,77,28,0.923077,255,1,250,1,239,1
1209,Matías Fernández Hartwig,349,201,148,15,0.958791,266,1,262,1,253,1
1210,Gustavo Gatica Villarroel,337,183,154,27,0.925824,263,1,260,1,251,1
1211,Sofía González Cortés,340,182,158,24,0.934066,265,1,261,1,252,1
1212,Erich Grohs Marín,331,228,103,33,0.909341,264,1,259,1,248,1
1213,Irací Hassler Jacob,347,190,157,17,0.953297,267,1,263,1,254,1
1214,Constanza Hube Portus,346,245,101,18,0.950549,264,1,257,1,248,1
1215,Álvaro Jofré Cáceres,357,249,108,7,0.980769,275,1,268,1,257,1
1216,Stephanie Jéldrez Ortiz,348,249,99,16,0.956044,269,1,263,1,252,1
1217,Pier Karlezi Hazleby,340,239,101,24,0.934066,258,1,251,1,240,1
1218,José Antonio Kast Adriasola,354,254,100,10,0.972527,270,1,264,1,253,1
1219,Tomás Kast Sommerhoff,334,242,92,30,0.917582,260,1,254,1,243,1
1220,Leandro Kunstmann Collado,354,253,101,10,0.972527,270,1,264,1,253,1
1221,Benjamín Lorca Inzunza,352,251,101,12,0.967033,268,1,262,1,252,1
1222,Andrea Macías Palma,330,188,142,34,0.906593,254,1,250,1,242,1
1223,Hans Marowski Cuevas,331,230,101,33,0.909341,256,1,250,1,239,1
1224,Cristian Mella Andaur,345,264,81,19,0.947802,260,1,255,1,244,1
1225,Cristian Menchaca Pinochet,341,245,96,23,0.936813,260,1,255,1,244,1
1226,José Montalva Feuerhake,349,246,103,15,0.958791,263,1,256,1,245,1
1227,Claudia Mora Vega,349,255,94,15,0.958791,263,1,256,1,246,1
1228,Paulina Muñoz Minte,358,250,108,6,0.983516,274,1,267,1,256,1
1229,Javier Muñoz Riquelme,336,257,79,28,0.923077,251,1,246,1,235,1
1230,Alex Nahuelquin Nahuelquin,342,267,75,22,0.939560,257,1,250,1,239,1
1231,Ximena Naranjo Pinto,346,260,86,18,0.950549,258,1,251,1,240,1
1232,Cristian Neira Martínez,348,248,100,16,0.956044,266,1,260,1,249,1
1233,Ricardo Neumann Bertín,343,248,95,21,0.942308,262,1,255,1,246,1
1234,Mario Olavarría Rodríguez,288,201,87,76,0.791209,223,1,218,1,210,1
1235,Javier Olivares Avendaño,355,263,92,9,0.975275,268,1,261,1,250,1
1236,Paula Olmos Contreras,279,183,96,85,0.766484,212,1,206,1,198,1
1237,Francisco Orrego Gutiérrez,347,257,90,17,0.953297,260,1,255,1,244,1
1238,Álvaro Ortiz Vera,347,259,88,17,0.953297,263,1,259,1,248,1
1239,Fabián Ossandón Briceño,327,213,114,37,0.898352,248,1,241,1,230,1
1240,Zandra Parisi Fernández,277,210,67,87,0.760989,209,1,204,1,193,1
1241,Patricio Pinilla Valencia,336,241,95,28,0.923077,254,1,249,1,238,1
1242,Rodrigo Ramírez Parra,346,251,95,18,0.950549,263,1,256,1,247,1
1243,Tamara Ramírez Ramírez,339,214,125,25,0.931319,257,1,251,1,240,1
1244,Claudia Reyes Larenas,337,242,95,27,0.925824,261,1,255,1,244,1
1245,Alejandro Riquelme Ducci,344,248,96,20,0.945055,262,1,256,1,245,1
1246,José Antonio Rivas Villalobos,330,200,130,34,0.906593,251,1,249,1,242,1
1247,Javiera Rodríguez Pascual,355,254,101,9,0.975275,271,1,265,1,254,1
1248,Felipe Ross Correa,342,242,100,22,0.939560,265,1,259,1,250,1
1249,Omar Sabat Guzmán,336,241,95,28,0.923077,259,1,252,1,243,1
1250,Bernardo Salinas Maya,280,162,118,84,0.769231,212,1,208,1,200,1
1251,Macarena Santelices Cañas,344,245,99,20,0.945055,265,1,259,1,248,1
1252,Constanza Schonhaut Soto,336,186,150,28,0.923077,261,1,257,1,246,1
1253,Fernando Ugarte Tejeda,354,253,101,10,0.972527,271,1,265,1,254,1
1254,Ignacio Urcullú Clèment-Lund,355,254,101,9,0.975275,271,1,265,1,254,1
1255,Eileen Urqueta Rojas,351,238,113,13,0.964286,263,1,256,1,245,1
1256,Tatiana Urrutia Herrera,330,182,148,34,0.906593,258,1,253,1,242,1
1257,Alejandra Valdebenito Torres,346,256,90,18,0.950549,267,1,260,1,249,1
1258,Guillermo Valdés Carmona,350,253,97,14,0.961538,262,1,255,1,244,1
1259,Juan Marcelo Valenzuela Henríquez,339,256,83,25,0.931319,256,1,249,1,238,1
1260,César Valenzuela Maass,346,209,137,18,0.950549,262,1,257,1,249,1
1261,Daniel Valenzuela Salazar,320,228,92,44,0.879121,250,1,244,1,236,1
1262,Diego Vergara Rodríguez,351,251,100,13,0.964286,270,1,264,1,253,1
1263,Sebastián Zamora Soto,339,244,95,25,0.931319,258,1,252,1,241,1
1264,Fernando Zamorano Peralta,340,233,107,24,0.934066,255,1,248,1,238,1
