diputado_id,diputado_nombre,opportunity_rollcalls,rollcalls_total,first_opportunity_date,last_opportunity_date,n_affirmative,n_against,n_abstention,n_no_vote,n_excused,n_substantive,substantive_participation_pct,n_binary,binary_participation_pct
1143,Cristóbal Martínez Ramírez,364,364,2026-03-18,2026-09-01,254,94,6,10,0,354,97.2527,348,95.6044
1146,José Carlos Meza Pereira,364,364,2026-03-18,2026-09-01,229,93,9,33,0,331,90.9341,322,88.4615
1148,Javiera Morales Alvarado,364,364,2026-03-18,2026-09-01,40,51,2,271,0,93,25.5495,91,25.0000
1150,Benjamín Moreno Bascur,364,364,2026-03-18,2026-09-01,254,101,9,0,0,364,100.0000,355,97.5275
1152,Gloria Naveillan Arriagada,364,364,2026-03-18,2026-09-01,202,95,7,60,0,304,83.5165,297,81.5934
1153,Coca Ericka Ñanco Vásquez,364,364,2026-03-18,2026-09-01,115,80,6,163,0,201,55.2198,195,53.5714
1157,Marlene Pérez Cartes,364,364,2026-03-18,2026-09-01,217,70,18,59,0,305,83.7912,287,78.8462
1159,Lorena Pizarro Sierra,364,364,2026-03-18,2026-09-01,174,149,16,25,0,339,93.1319,323,88.7363
1165,Agustín Romero Leiva,364,364,2026-03-18,2026-09-01,247,101,9,7,0,357,98.0769,348,95.6044
1166,Natalia Romero Talguia,364,364,2026-03-18,2026-09-01,275,76,10,3,0,361,99.1758,351,96.4286
1170,Luis Sánchez Ossa,364,364,2026-03-18,2026-09-01,244,96,9,15,0,349,95.8791,340,93.4066
1171,Emilia Schneider Videla,364,364,2026-03-18,2026-09-01,196,151,13,4,0,360,98.9011,347,95.3297
1172,Stephan Schubert Rubio,364,364,2026-03-18,2026-09-01,228,73,9,54,0,310,85.1648,301,82.6923
1173,Daniela Serrano Salazar,364,364,2026-03-18,2026-09-01,185,159,15,5,0,359,98.6264,344,94.5055
1174,Marco Antonio Sulantay Olivares,364,364,2026-03-18,2026-09-01,249,95,8,12,0,352,96.7033,344,94.5055
1175,Cristián Tapia Ramos,364,364,2026-03-18,2026-09-01,219,76,18,51,0,313,85.9890,295,81.0440
1176,Hotuiti Teao Drago,364,364,2026-03-18,2026-09-01,215,83,8,58,0,306,84.0659,298,81.8681
1177,Carolina Tello Rojas,364,364,2026-03-18,2026-09-01,201,145,10,8,0,356,97.8022,346,95.0549
1178,Héctor Ulloa Aguilera,364,364,2026-03-18,2026-09-01,224,92,24,24,0,340,93.4066,316,86.8132
1180,Consuelo Veloso Ávila,364,364,2026-03-18,2026-09-01,198,144,17,5,0,359,98.6264,342,93.9560
1181,Nelson Venegas Salazar,364,364,2026-03-18,2026-09-01,186,139,11,28,0,336,92.3077,325,89.2857
1182,Sebastián Videla Castillo,364,364,2026-03-18,2026-09-01,257,78,19,10,0,354,97.2527,335,92.0330
1183,Flor Weisse Novoa,364,364,2026-03-18,2026-09-01,210,65,9,80,0,284,78.0220,275,75.5495
1184,Roberto Celedón Fernández,364,364,2026-03-18,2026-09-01,204,145,15,0,0,364,100.0000,349,95.8791
1186,Ignacio Achurra Díaz,364,364,2026-03-18,2026-09-01,200,148,15,1,0,363,99.7253,348,95.6044
1187,Carlo Arqueros Pizarro,364,364,2026-03-18,2026-09-01,252,100,9,3,0,361,99.1758,352,96.7033
1188,Marcos Barraza Gómez,364,364,2026-03-18,2026-09-01,190,157,17,0,0,364,100.0000,347,95.3297
1189,Jaime Bassa Mercado,364,364,2026-03-18,2026-09-01,187,155,8,14,0,350,96.1538,342,93.9560
1190,Enrique Bassaletti Riess,364,364,2026-03-18,2026-09-01,253,101,9,1,0,363,99.7253,354,97.2527
1191,Valentina Becerra Peña,364,364,2026-03-18,2026-09-01,240,99,9,16,0,348,95.6044,339,93.1319
1192,Lilian Betancurt Delgado,364,364,2026-03-18,2026-09-01,157,53,6,148,0,216,59.3407,210,57.6923
1193,Patricio Briones Moller,364,364,2026-03-18,2026-09-01,259,91,13,1,0,363,99.7253,350,96.1538
