diputado_id,diputado_nombre,88442,88450,88451,88452,88453,88454,88455,88456,88472,88474,88475,88476,88477,88489,88490,88491,88492,88493,88494,88500,88501,88502,88503,88504,88505,88506,88507,88517,88518,88519,88544,88545,88564,88594,88611,88612,88613,88614,88633,88634,88646,88647,88648,88679,88680,88681,88682,88683,88684,88685,88686,88687,88688,88689,88690,88691,88692,88693,88694,88695,88696,88697,88698,88699,88700,88701,88702,88703,88704,88705,88706,88707,88718,88738,88754,88755,88756,88757,88758,88759,88760,88761,88794,88810,88811,88812,88813,88826,88869,88870,88871,88872,88881,88893,88894,88895,88896,88897,88898,88899,88900,88901,88902,88903,88904,88905,88906,88907,88908,88909,88910,88911,88912,88913,88914,88915,88916,88917,88918,88919,88920,88921,88922,88923,88924,88925,88926,88927,88928,88929,88930,88931,88932,88933,88934,88935,88936,88937,88938,88939,88940,88941,88942,88943,88944,88945,88946,88947,88948,88949,88950,88951,88952,88953,88954,88955,88956,88957,88958,88959,88960,88961,88962,88963,88964,88965,88966,88967,88968,88969,88970,88971,88972,88973,88974,88975,88976,88977,88978,88979,88980,88981,88984,89000,89001,89002,89003,89031,89032,89033,89034,89035,89036,89037,89038,89067,89068,89069,89070,89071,89072,89085,89086,89087,89104,89105,89106,89107,89108,89109,89110,89111,89112,89113,89153,89154,89155,89156,89157,89158,89159,89160,89161,89162,89178,89179,89180,89210,89241,89242,89287,89288,89302,89303,89304,89305,89306,89307,89308,89309,89310,89311,89312,89313,89314,89315,89316,89317,89344,89345,89346,89347,89348,89349,89350,89351,89352,89353,89354,89355,89356,89357,89358,89381,89382,89383,89384,89385,89386,89387,89388,89389,89390,89391,89407,89408,89409,89410,89411,89420,89421,89422,89423,89470,89471,89472,89473,89474,89475,89476,89477,89478,89479,89480,89481,89482,89483,89484,89485,89486,89487,89488,89489,89490,89491,89492,89493,89494,89495,89521,89522,89523,89524,89542,89543,89544,89545,89546,89583,89584,89585,89587,89630,89631,89632,89633,89634,89668,89669,89670,89693,89694,89695,89749,89750,89751,89779,89780,89781,89783,89784,89814,89815,89816,89817,89842,89843,89844,89862,89863,89864,89865,89866,89867,89928,89929,89930,89931,89932,89933,89934,89935,89936,89937
803,René Alinco Bustos,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,,1,0,1,1,1,,1,,,1,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,,1,,1,1,1,1,,1,1,0,0,,,,,1,,,0,1,,1,1,1,1,0,0,1,0,1,0,0,0,0,,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,,,1,1,1,1,1,,,1,,,,,,,,,,,1,1,1,0,1,1,1,1,1,1,1,1,,1,1,,1,,,1,0,1,1,1,1,0,,,,,,1,1,1,,,,,,,,,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,1,1,0,1,1,1,1,1,,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,,,,1,1,1,1,,,,,,,,,1,1,1,1,1,0,,,,,,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,,1,1,1,1,1
815,Sergio Bobadilla Muñoz,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,,,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,,,,,,1,1,1,0,,,,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1
843,René Manuel García García,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,1,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,,1,1,1,0,0,1,,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,,,,,,,,,,,,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1
872,Jaime Mulet Martínez,,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,1,1,0,0,1,1,1,0,,1,1,1,1,1,,0,1,1,,0,1,0,1,1,,0,0,0,0,0,1,1,1,0,,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,,1,1,1,1,,,,,,,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,1,1,1,1,0,1,,1,0,1,1,,1,1,1,1,,,,,,,,,,,,,,,,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
915,Germán Verdugo Soto,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,,,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,,1,1,0,1,1,,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1
986,Marcela Hernando Pérez,1,1,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,,,,0,1,1,1,1,1,1,0,1,0,1,1,1,,1,1,1,1,,1,1,1,1,1,1,0,1,,1,1,1,0,1,1,1,1,1,1,1,0,1,,1,0,1,1,1,1,,1,1,,1,1,0,0,1,1,1,0,1,0,0,1,,0,0,0,,1,0,1,1,,1,1,,0,1,1,0,,0,0,0,0,,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,0,0,1,1,,0,1,0,0,0,0,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,0,1,1,,1,,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
1009,Jorge Alessandri Vergara,1,,,,,,,,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,,,,,,,,,,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,,,1,0,,1,1,0,0,,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1
1012,Boris Barrera Moreno,1,0,0,0,0,0,0,1,1,0,0,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,0,0,1,1,1,,0,1,0,,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,,,1,1,,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,,1,,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,,0,0,0,1,1,0,0,1,1,0,1,1,1,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,,,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,
1013,Alejandro Bernales Maldonado,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,,,0,1,1,1,1,1,1,1,,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,,1,0,1,1,1,0,1,,0,1,1,0,1,1,0,0,0,1,0,0,,,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,0,0,1,1,,0,1,0,,0,0,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0,0,0,0,0,,,,,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,,1,,1,1,1,1,1,1,1,1,1,1,0,,0,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,,,,,,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,1,1,0,1,1,1,,1,,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
1015,Jorge Brito Hasbún,1,1,0,0,0,0,0,1,1,0,0,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,0,,0,0,1,1,1,,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,1,,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,,1,,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,
