vote_id,fecha,boletin,diputado_id,diputado_nombre,opcion,opcion_codigo,party_at_vote,caucus_at_vote,alignment_at_vote,party_confidence,caucus_confidence,affiliation_confidence,party_basis,caucus_basis,affiliation_interval_from,affiliation_interval_to,affiliation_uncertain,uncertain_fields,uncertainty_window_start,uncertainty_window_end
88442,2026-03-18,16944-25,1065,Guillermo Ramírez Diez,No Vota,4,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1073,Juan Santana Castillo,Afirmativo,1,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1074,Marisela Santibáñez Novoa,No Vota,4,Independientes,Comité Comunista e Independientes,oposicion,high,medium,medium,bcn_biografia,independent_electoral_slot_plus_current_caucus_plus_size_closure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1075,Diego Schalper Sepúlveda,Afirmativo,1,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1077,Raúl Soto Mardones,Afirmativo,1,Partido Por la Democracia,Partido Por la Democracia e Independientes,oposicion,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1082,Cristóbal Urruticoechea Ríos,Afirmativo,1,Partido Nacional Libertario,Comité Partido Nacional Libertarios,no_alineado,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1086,Gonzalo Winter Etcheberry,Afirmativo,1,Frente Amplio,Frente Amplio,oposicion,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1087,Gael Yeomans Araya,Afirmativo,1,Frente Amplio,Frente Amplio,oposicion,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1099,Jaime Araya Guerrero,Afirmativo,1,Independientes,Partido Por la Democracia e Independientes,oposicion,high,medium,medium,bcn_biografia,independent_electoral_slot_plus_current_caucus_plus_size_closure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1100,Cristián Araya Lerdo de Tejada,Afirmativo,1,Partido Republicano,Comité Partido Republicano,oficialismo,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1102,Roberto Arroyo Muñoz,Afirmativo,1,Partido Social Cristiano,Por definir,oficialismo,high,high,high,bcn_biografia,documented_pre_event_state,2026-03-11,2026-08-16,0,,,
88442,2026-03-18,16944-25,1104,Chiara Barchiesi Chávez,Afirmativo,1,Partido Republicano,Comité Partido Republicano,oficialismo,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1105,Héctor Barría Angulo,Afirmativo,1,Partido Demócrata Cristiano,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1107,María Francisca Bello Campos,No Vota,4,Frente Amplio,Frente Amplio,oposicion,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1108,Juan Carlos Beltrán Silva,Afirmativo,1,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1110,Carlos Bianchi Chelech,No Vota,4,Independientes,Partido Por la Democracia e Independientes,oposicion,medium,medium,medium,servel_slot_camara_snapshot_concordance,current_caucus_plus_official_size_closure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1114,Félix Bugueño Sotelo,Afirmativo,1,Frente Amplio,Frente Amplio,oposicion,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1116,Felipe Camaño Cárdenas,Afirmativo,1,Independientes,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,high,medium,medium,bcn_biografia,independent_electoral_slot_plus_current_caucus_plus_size_closure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1117,Nathalie Castillo Rojas,Afirmativo,1,Partido Comunista,Comité Comunista e Independientes,oposicion,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1119,Sara Concha Smith,Afirmativo,1,Partido Social Cristiano,Por definir,oficialismo,medium,high,medium,servel_slot_camara_snapshot_concordance,documented_pre_event_state,2026-03-11,2026-06-05,0,,,
88442,2026-03-18,16944-25,1122,Luis Alberto Cuello Peña y Lillo,Afirmativo,1,Partido Comunista,Comité Comunista e Independientes,oposicion,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1127,Lorena Fries Monleón,Afirmativo,1,Frente Amplio,Frente Amplio,oposicion,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1128,Ana María Gazmuri Vieira,Afirmativo,1,Partido Acción Humanista,Comité Comunista e Independientes,oposicion,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1131,Mauro González Villarroel,Afirmativo,1,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1132,Jorge Guzmán Zepeda,No Vota,4,Evolución Política,"Renovación Nacional, Evopoli e Independientes",oficialismo,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1133,Juan Irarrázaval Rossel,No Vota,4,Partido Republicano,Comité Partido Republicano,oficialismo,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1140,Daniel Lilayu Vivanco,No Vota,4,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1141,Luis Malla Valenzuela,Afirmativo,1,Partido Liberal de Chile,"Socialista, Liberal, Radical e Independientes",oposicion,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1142,Daniel Manouchehri Lobos,Afirmativo,1,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1143,Cristóbal Martínez Ramírez,Afirmativo,1,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1146,José Carlos Meza Pereira,Afirmativo,1,Partido Republicano,Comité Partido Republicano,oficialismo,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1148,Javiera Morales Alvarado,No Vota,4,Frente Amplio,Frente Amplio,oposicion,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
