vote_id,boletin,fecha,sesion_id,sesion_numero,descripcion,articulo,total_si,total_no,total_abstencion,total_dispensado,tipo_votacion,tipo_votacion_codigo,resultado,resultado_codigo,quorum,quorum_codigo,tipo_votacion_proyecto,tipo_votacion_proyecto_codigo,tramite_constitucional,tramite_constitucional_codigo,tramite_reglamentario,tramite_reglamentario_codigo,verificado_sala,verification_url
88475,17474-06,2026-03-24,4759,4,Boletín N°17474-06,"Numeral 1) del artículo 1 del proyecto, cuya votación separada ha sido solicitada por la exdiputada Camila Musante, y que consta en la página 1 del comparado.",83,45,22,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Particular,2,Primer Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88475
88476,16985-06,2026-03-24,4759,4,Boletín N°16985-06,"Modificaciones incorporadas por el Senado en el proyecto de ley, originado en mensaje, que “Establece, para el personal de Gendarmería de Chile, la obligación de efectuar declaraciones de intereses y patrimonio, en conformidad con lo dispuesto en la ley N° 20.880, sobre probidad en la función pública y prevención de los conflictos de intereses.”, que requieren para su aprobación del voto favorable de 78 diputadas y diputados por tratarse de normas de rango orgánico constitucional y de quórum calificado.",150,0,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Calificado,2,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88476
88477,16487-12,2026-03-24,4759,4,Boletín N°16487-12,"Artículo único del proyecto, en los términos propuestos por la Comisión de Medio Ambiente y Recursos Naturales, tanto en su primer como en su segundo informe.",75,71,4,0,Proyecto de Ley,1,Unánime,2,Quórum Simple,1,Particular,2,Primer Trámite,,Segundo Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88477
88489,18137-05,2026-03-24,4760,5,Boletín N°18137-05,,109,3,37,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,General,1,Primer Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88489
88490,18137-05,2026-03-24,4760,5,Boletín N°18137-05,"Artículo 1 del proyecto en los términos propuestos por la Comisión de Hacienda, que coincide con el mensaje, cuya votación separada ha sido solicitada por el diputado Jorge Brito, y que consta en las páginas 1 a 3 del comparado.",149,0,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Particular,2,Primer Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88490
88491,18137-05,2026-03-24,4760,5,Boletín N°18137-05,"Artículo 2 del proyecto, en los términos propuestos por la Comisión de Hacienda, cuya votación separada ha sido solicitada por el diputado Jorge Brito, y que consta en las páginas 4 a 7 del comparado.",148,1,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Particular,2,Primer Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88491
88492,18137-05,2026-03-24,4760,5,Boletín N°18137-05,"Artículo 3 del proyecto, en los términos propuestos por la Comisión de Hacienda, cuya votación separada ha sido solicitada por el diputado Jorge Brito, y que consta en las páginas 8 a 15 del comparado.",149,0,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Particular,2,Primer Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88492
88493,18137-05,2026-03-24,4760,5,Boletín N°18137-05,"Artículo 4 del proyecto en los términos propuestos por la Comisión de Hacienda, que coincide con el mensaje, cuya votación separada ha sido solicitada por los diputados Boris Barrera, Jorge Brito, y Juan Marcelo Valenzuela, y que consta en las páginas 15 a 17 del comparado.",92,51,6,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Particular,2,Primer Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88493
88494,18137-05,2026-03-24,4760,5,Boletín N°18137-05,"Artículos primero, segundo y tercero transitorios del proyecto, y que constan en las páginas 17 a 18 del comparado.",149,0,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Particular,2,Primer Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88494
88500,18003-35,2026-03-25,4761,6,Boletín N°18003-35,,149,0,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Calificado,2,General,1,Primer Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88500
88501,10634-29,2026-03-25,4761,6,Boletín N°10634-29,"Modificaciones incorporadas por el Senado en el proyecto de ley, originado en mensaje, que “Modifica la ley N° 20.019, que Regula las Sociedades Anónimas Deportivas Profesionales, en materia de fiscalización, de conflictos de interés, y de fomento de la participación de los hinchas en la propiedad de las mismas.”, con la salvedad de la enmienda que requiere quorum especial de aprobación y de aquellas cuya votación separada ha sido solicitada.",148,0,1,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88501
88502,10634-29,2026-03-25,4761,6,Boletín N°10634-29,"Enmienda del Senado que incorpora un nuevo numeral 6 al artículo 1º del proyecto de ley, mediante el cual se agrega un artículo 2 quáter, cuya votación separada fue solicitada por el diputado Diego Schalper, y que consta en las páginas 9 a 11 del comparado.",119,19,11,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88502
88503,10634-29,2026-03-25,4761,6,Boletín N°10634-29,"Enmienda del Senado que incorpora un nuevo numeral 7 al artículo 1º del proyecto de ley, que reemplaza el artículo 3, cuya votación separada fue solicitada por el diputado Diego Schalper, y que consta en las páginas 11 a 17 del comparado.",125,13,11,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88503
88504,10634-29,2026-03-25,4761,6,Boletín N°10634-29,"Enmienda del Senado que incorpora un nuevo numeral 32 al artículo 1º del proyecto de ley, mediante el cual se agrega un artículo 24 bis, cuya votación separada fue solicitada por el diputado Diego Schalper, y que consta en las páginas 77 y 78 del comparado.",127,7,15,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88504
88505,10634-29,2026-03-25,4761,6,Boletín N°10634-29,"Enmienda del Senado que incorpora un nuevo numeral 10 al inciso primero del artículo 39 ter, contenido en el numeral 39 del artículo 1º del proyecto de ley, que requiere para su aprobación del voto favorable de 78 diputadas y diputados por tratarse de una norma de rango orgánico constitucional, y que consta en las páginas 95 y 96 del comparado.",149,0,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Calificado,2,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88505
