diputado_id,diputado_nombre,group_type,scope,min_chamber_binary_minority_share,comparisons,matches,divergences,agreement_pct,group_names_observed
1233,Ricardo Neumann Bertín,caucus,all,0.00,357,347,10,97.1989,Unión Demócrata Independiente
1233,Ricardo Neumann Bertín,caucus,minority_ge_05,0.05,268,259,9,96.6418,Unión Demócrata Independiente
1233,Ricardo Neumann Bertín,caucus,minority_ge_10,0.10,257,250,7,97.2763,Unión Demócrata Independiente
1233,Ricardo Neumann Bertín,caucus,minority_ge_20,0.20,238,234,4,98.3193,Unión Demócrata Independiente
1233,Ricardo Neumann Bertín,party,all,0.00,355,346,9,97.4648,Unión Demócrata Independiente
1233,Ricardo Neumann Bertín,party,minority_ge_05,0.05,266,258,8,96.9925,Unión Demócrata Independiente
1233,Ricardo Neumann Bertín,party,minority_ge_10,0.10,256,249,7,97.2656,Unión Demócrata Independiente
1233,Ricardo Neumann Bertín,party,minority_ge_20,0.20,237,233,4,98.3122,Unión Demócrata Independiente
1234,Mario Olavarría Rodríguez,caucus,all,0.00,293,286,7,97.6109,Unión Demócrata Independiente
1234,Mario Olavarría Rodríguez,caucus,minority_ge_05,0.05,223,216,7,96.8610,Unión Demócrata Independiente
1234,Mario Olavarría Rodríguez,caucus,minority_ge_10,0.10,215,208,7,96.7442,Unión Demócrata Independiente
1234,Mario Olavarría Rodríguez,caucus,minority_ge_20,0.20,204,197,7,96.5686,Unión Demócrata Independiente
1234,Mario Olavarría Rodríguez,party,all,0.00,292,286,6,97.9452,Unión Demócrata Independiente
1234,Mario Olavarría Rodríguez,party,minority_ge_05,0.05,222,216,6,97.2973,Unión Demócrata Independiente
1234,Mario Olavarría Rodríguez,party,minority_ge_10,0.10,214,208,6,97.1963,Unión Demócrata Independiente
1234,Mario Olavarría Rodríguez,party,minority_ge_20,0.20,203,197,6,97.0443,Unión Demócrata Independiente
1235,Javier Olivares Avendaño,caucus,all,0.00,361,301,60,83.3795,Comité Partido de la Gente
1235,Javier Olivares Avendaño,caucus,minority_ge_05,0.05,266,207,59,77.8195,Comité Partido de la Gente
1235,Javier Olivares Avendaño,caucus,minority_ge_10,0.10,255,196,59,76.8627,Comité Partido de la Gente
1235,Javier Olivares Avendaño,caucus,minority_ge_20,0.20,236,178,58,75.4237,Comité Partido de la Gente
1235,Javier Olivares Avendaño,party,all,0.00,355,300,55,84.5070,Partido de la Gente
1235,Javier Olivares Avendaño,party,minority_ge_05,0.05,260,206,54,79.2308,Partido de la Gente
1235,Javier Olivares Avendaño,party,minority_ge_10,0.10,249,195,54,78.3133,Partido de la Gente
1235,Javier Olivares Avendaño,party,minority_ge_20,0.20,230,177,53,76.9565,Partido de la Gente
1236,Paula Olmos Contreras,caucus,all,0.00,288,272,16,94.4444,Comité Partido de la Gente
1236,Paula Olmos Contreras,caucus,minority_ge_05,0.05,215,199,16,92.5581,Comité Partido de la Gente
1236,Paula Olmos Contreras,caucus,minority_ge_10,0.10,207,192,15,92.7536,Comité Partido de la Gente
1236,Paula Olmos Contreras,caucus,minority_ge_20,0.20,192,177,15,92.1875,Comité Partido de la Gente
1236,Paula Olmos Contreras,party,all,0.00,282,267,15,94.6809,Partido de la Gente
1236,Paula Olmos Contreras,party,minority_ge_05,0.05,209,194,15,92.8230,Partido de la Gente
1236,Paula Olmos Contreras,party,minority_ge_10,0.10,201,187,14,93.0348,Partido de la Gente
1236,Paula Olmos Contreras,party,minority_ge_20,0.20,186,172,14,92.4731,Partido de la Gente
1237,Francisco Orrego Gutiérrez,caucus,all,0.00,360,341,19,94.7222,"Renovación Nacional, Evopoli e Independientes"
1237,Francisco Orrego Gutiérrez,caucus,minority_ge_05,0.05,266,249,17,93.6090,"Renovación Nacional, Evopoli e Independientes"
1237,Francisco Orrego Gutiérrez,caucus,minority_ge_10,0.10,256,240,16,93.7500,"Renovación Nacional, Evopoli e Independientes"
1237,Francisco Orrego Gutiérrez,caucus,minority_ge_20,0.20,238,223,15,93.6975,"Renovación Nacional, Evopoli e Independientes"
1237,Francisco Orrego Gutiérrez,party,all,0.00,359,341,18,94.9861,Renovación Nacional
1237,Francisco Orrego Gutiérrez,party,minority_ge_05,0.05,265,249,16,93.9623,Renovación Nacional
1237,Francisco Orrego Gutiérrez,party,minority_ge_10,0.10,255,240,15,94.1176,Renovación Nacional
1237,Francisco Orrego Gutiérrez,party,minority_ge_20,0.20,237,223,14,94.0928,Renovación Nacional
1238,Álvaro Ortiz Vera,caucus,all,0.00,362,352,10,97.2376,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
1238,Álvaro Ortiz Vera,caucus,minority_ge_05,0.05,267,260,7,97.3783,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
1238,Álvaro Ortiz Vera,caucus,minority_ge_10,0.10,256,249,7,97.2656,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
1238,Álvaro Ortiz Vera,caucus,minority_ge_20,0.20,237,230,7,97.0464,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
1238,Álvaro Ortiz Vera,party,all,0.00,362,352,10,97.2376,Partido Demócrata Cristiano
1238,Álvaro Ortiz Vera,party,minority_ge_05,0.05,267,260,7,97.3783,Partido Demócrata Cristiano
1238,Álvaro Ortiz Vera,party,minority_ge_10,0.10,256,249,7,97.2656,Partido Demócrata Cristiano
1238,Álvaro Ortiz Vera,party,minority_ge_20,0.20,237,230,7,97.0464,Partido Demócrata Cristiano
1239,Fabián Ossandón Briceño,caucus,all,0.00,343,295,48,86.0058,Comité Partido de la Gente
1239,Fabián Ossandón Briceño,caucus,minority_ge_05,0.05,256,209,47,81.6406,Comité Partido de la Gente
1239,Fabián Ossandón Briceño,caucus,minority_ge_10,0.10,245,199,46,81.2245,Comité Partido de la Gente
1239,Fabián Ossandón Briceño,caucus,minority_ge_20,0.20,227,181,46,79.7357,Comité Partido de la Gente
1239,Fabián Ossandón Briceño,party,all,0.00,337,289,48,85.7567,Partido de la Gente
1239,Fabián Ossandón Briceño,party,minority_ge_05,0.05,250,203,47,81.2000,Partido de la Gente
1239,Fabián Ossandón Briceño,party,minority_ge_10,0.10,239,193,46,80.7531,Partido de la Gente
1239,Fabián Ossandón Briceño,party,minority_ge_20,0.20,221,175,46,79.1855,Partido de la Gente
1240,Zandra Parisi Fernández,caucus,all,0.00,291,267,24,91.7526,Comité Partido de la Gente
1240,Zandra Parisi Fernández,caucus,minority_ge_05,0.05,218,194,24,88.9908,Comité Partido de la Gente
1240,Zandra Parisi Fernández,caucus,minority_ge_10,0.10,207,183,24,88.4058,Comité Partido de la Gente
1240,Zandra Parisi Fernández,caucus,minority_ge_20,0.20,191,168,23,87.9581,Comité Partido de la Gente
1240,Zandra Parisi Fernández,party,all,0.00,285,265,20,92.9825,Partido de la Gente
1240,Zandra Parisi Fernández,party,minority_ge_05,0.05,212,192,20,90.5660,Partido de la Gente
1240,Zandra Parisi Fernández,party,minority_ge_10,0.10,201,181,20,90.0498,Partido de la Gente
1240,Zandra Parisi Fernández,party,minority_ge_20,0.20,185,166,19,89.7297,Partido de la Gente
1241,Patricio Pinilla Valencia,caucus,all,0.00,357,331,26,92.7171,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
1241,Patricio Pinilla Valencia,caucus,minority_ge_05,0.05,265,242,23,91.3208,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
1241,Patricio Pinilla Valencia,caucus,minority_ge_10,0.10,254,231,23,90.9449,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
1241,Patricio Pinilla Valencia,caucus,minority_ge_20,0.20,235,212,23,90.2128,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
1241,Patricio Pinilla Valencia,party,all,0.00,357,329,28,92.1569,Partido Demócrata Cristiano
1241,Patricio Pinilla Valencia,party,minority_ge_05,0.05,265,240,25,90.5660,Partido Demócrata Cristiano
1241,Patricio Pinilla Valencia,party,minority_ge_10,0.10,254,229,25,90.1575,Partido Demócrata Cristiano
1241,Patricio Pinilla Valencia,party,minority_ge_20,0.20,235,210,25,89.3617,Partido Demócrata Cristiano
1242,Rodrigo Ramírez Parra,caucus,all,0.00,352,348,4,98.8636,"Renovación Nacional, Evopoli e Independientes"
1242,Rodrigo Ramírez Parra,caucus,minority_ge_05,0.05,262,258,4,98.4733,"Renovación Nacional, Evopoli e Independientes"
1242,Rodrigo Ramírez Parra,caucus,minority_ge_10,0.10,253,249,4,98.4190,"Renovación Nacional, Evopoli e Independientes"
1242,Rodrigo Ramírez Parra,caucus,minority_ge_20,0.20,235,232,3,98.7234,"Renovación Nacional, Evopoli e Independientes"
1242,Rodrigo Ramírez Parra,party,all,0.00,0,0,0,,Independientes
1242,Rodrigo Ramírez Parra,party,minority_ge_05,0.05,0,0,0,,Independientes
1242,Rodrigo Ramírez Parra,party,minority_ge_10,0.10,0,0,0,,Independientes
1242,Rodrigo Ramírez Parra,party,minority_ge_20,0.20,0,0,0,,Independientes
1243,Tamara Ramírez Ramírez,caucus,all,0.00,352,308,44,87.5000,Comité Partido de la Gente
1243,Tamara Ramírez Ramírez,caucus,minority_ge_05,0.05,263,220,43,83.6502,Comité Partido de la Gente
1243,Tamara Ramírez Ramírez,caucus,minority_ge_10,0.10,252,210,42,83.3333,Comité Partido de la Gente
1243,Tamara Ramírez Ramírez,caucus,minority_ge_20,0.20,233,192,41,82.4034,Comité Partido de la Gente
1243,Tamara Ramírez Ramírez,party,all,0.00,346,302,44,87.2832,Partido de la Gente
1243,Tamara Ramírez Ramírez,party,minority_ge_05,0.05,257,214,43,83.2685,Partido de la Gente
1243,Tamara Ramírez Ramírez,party,minority_ge_10,0.10,246,204,42,82.9268,Partido de la Gente
1243,Tamara Ramírez Ramírez,party,minority_ge_20,0.20,227,186,41,81.9383,Partido de la Gente
1244,Claudia Reyes Larenas,caucus,all,0.00,346,344,2,99.4220,Comité Partido Republicano
1244,Claudia Reyes Larenas,caucus,minority_ge_05,0.05,259,257,2,99.2278,Comité Partido Republicano
1244,Claudia Reyes Larenas,caucus,minority_ge_10,0.10,248,246,2,99.1935,Comité Partido Republicano
1244,Claudia Reyes Larenas,caucus,minority_ge_20,0.20,230,228,2,99.1304,Comité Partido Republicano
1244,Claudia Reyes Larenas,party,all,0.00,346,344,2,99.4220,Partido Republicano
1244,Claudia Reyes Larenas,party,minority_ge_05,0.05,259,257,2,99.2278,Partido Republicano
1244,Claudia Reyes Larenas,party,minority_ge_10,0.10,248,246,2,99.1935,Partido Republicano
1244,Claudia Reyes Larenas,party,minority_ge_20,0.20,230,228,2,99.1304,Partido Republicano
1245,Alejandro Riquelme Ducci,caucus,all,0.00,354,353,1,99.7175,Comité Partido Republicano
1245,Alejandro Riquelme Ducci,caucus,minority_ge_05,0.05,260,260,0,100.0000,Comité Partido Republicano
1245,Alejandro Riquelme Ducci,caucus,minority_ge_10,0.10,249,249,0,100.0000,Comité Partido Republicano
1245,Alejandro Riquelme Ducci,caucus,minority_ge_20,0.20,232,232,0,100.0000,Comité Partido Republicano
1245,Alejandro Riquelme Ducci,party,all,0.00,354,353,1,99.7175,Partido Republicano
1245,Alejandro Riquelme Ducci,party,minority_ge_05,0.05,260,260,0,100.0000,Partido Republicano
1245,Alejandro Riquelme Ducci,party,minority_ge_10,0.10,249,249,0,100.0000,Partido Republicano
1245,Alejandro Riquelme Ducci,party,minority_ge_20,0.20,232,232,0,100.0000,Partido Republicano
1246,José Antonio Rivas Villalobos,caucus,all,0.00,340,326,14,95.8824,"Socialista, Liberal, Radical e Independientes"
1246,José Antonio Rivas Villalobos,caucus,minority_ge_05,0.05,253,241,12,95.2569,"Socialista, Liberal, Radical e Independientes"
1246,José Antonio Rivas Villalobos,caucus,minority_ge_10,0.10,246,234,12,95.1220,"Socialista, Liberal, Radical e Independientes"
1246,José Antonio Rivas Villalobos,caucus,minority_ge_20,0.20,230,221,9,96.0870,"Socialista, Liberal, Radical e Independientes"
1246,José Antonio Rivas Villalobos,party,all,0.00,339,328,11,96.7552,Partido Socialista
1246,José Antonio Rivas Villalobos,party,minority_ge_05,0.05,252,243,9,96.4286,Partido Socialista
1246,José Antonio Rivas Villalobos,party,minority_ge_10,0.10,244,235,9,96.3115,Partido Socialista
1246,José Antonio Rivas Villalobos,party,minority_ge_20,0.20,228,221,7,96.9298,Partido Socialista
1247,Javiera Rodríguez Pascual,caucus,all,0.00,364,364,0,100.0000,Comité Partido Republicano
1247,Javiera Rodríguez Pascual,caucus,minority_ge_05,0.05,269,269,0,100.0000,Comité Partido Republicano
1247,Javiera Rodríguez Pascual,caucus,minority_ge_10,0.10,258,258,0,100.0000,Comité Partido Republicano
1247,Javiera Rodríguez Pascual,caucus,minority_ge_20,0.20,239,239,0,100.0000,Comité Partido Republicano
1247,Javiera Rodríguez Pascual,party,all,0.00,364,364,0,100.0000,Partido Republicano
1247,Javiera Rodríguez Pascual,party,minority_ge_05,0.05,269,269,0,100.0000,Partido Republicano
1247,Javiera Rodríguez Pascual,party,minority_ge_10,0.10,258,258,0,100.0000,Partido Republicano
1247,Javiera Rodríguez Pascual,party,minority_ge_20,0.20,239,239,0,100.0000,Partido Republicano
1248,Felipe Ross Correa,caucus,all,0.00,351,349,2,99.4302,Comité Partido Republicano
1248,Felipe Ross Correa,caucus,minority_ge_05,0.05,263,262,1,99.6198,Comité Partido Republicano
1248,Felipe Ross Correa,caucus,minority_ge_10,0.10,254,253,1,99.6063,Comité Partido Republicano
1248,Felipe Ross Correa,caucus,minority_ge_20,0.20,239,238,1,99.5816,Comité Partido Republicano
1248,Felipe Ross Correa,party,all,0.00,351,349,2,99.4302,Partido Republicano
1248,Felipe Ross Correa,party,minority_ge_05,0.05,263,262,1,99.6198,Partido Republicano
1248,Felipe Ross Correa,party,minority_ge_10,0.10,254,253,1,99.6063,Partido Republicano
1248,Felipe Ross Correa,party,minority_ge_20,0.20,239,238,1,99.5816,Partido Republicano
1249,Omar Sabat Guzmán,caucus,all,0.00,352,335,17,95.1705,Unión Demócrata Independiente
1249,Omar Sabat Guzmán,caucus,minority_ge_05,0.05,267,251,16,94.0075,Unión Demócrata Independiente
1249,Omar Sabat Guzmán,caucus,minority_ge_10,0.10,256,242,14,94.5312,Unión Demócrata Independiente
1249,Omar Sabat Guzmán,caucus,minority_ge_20,0.20,237,226,11,95.3586,Unión Demócrata Independiente
1249,Omar Sabat Guzmán,party,all,0.00,0,0,0,,Independientes
1249,Omar Sabat Guzmán,party,minority_ge_05,0.05,0,0,0,,Independientes
1249,Omar Sabat Guzmán,party,minority_ge_10,0.10,0,0,0,,Independientes
1249,Omar Sabat Guzmán,party,minority_ge_20,0.20,0,0,0,,Independientes
1250,Bernardo Salinas Maya,caucus,all,0.00,292,291,1,99.6575,Comité Comunista e Independientes
1250,Bernardo Salinas Maya,caucus,minority_ge_05,0.05,213,212,1,99.5305,Comité Comunista e Independientes
1250,Bernardo Salinas Maya,caucus,minority_ge_10,0.10,203,202,1,99.5074,Comité Comunista e Independientes
1250,Bernardo Salinas Maya,caucus,minority_ge_20,0.20,184,183,1,99.4565,Comité Comunista e Independientes
1250,Bernardo Salinas Maya,party,all,0.00,0,0,0,,Independientes
1250,Bernardo Salinas Maya,party,minority_ge_05,0.05,0,0,0,,Independientes
1250,Bernardo Salinas Maya,party,minority_ge_10,0.10,0,0,0,,Independientes
1250,Bernardo Salinas Maya,party,minority_ge_20,0.20,0,0,0,,Independientes
1251,Macarena Santelices Cañas,caucus,all,0.00,352,352,0,100.0000,Comité Partido Republicano
1251,Macarena Santelices Cañas,caucus,minority_ge_05,0.05,262,262,0,100.0000,Comité Partido Republicano
1251,Macarena Santelices Cañas,caucus,minority_ge_10,0.10,251,251,0,100.0000,Comité Partido Republicano
1251,Macarena Santelices Cañas,caucus,minority_ge_20,0.20,232,232,0,100.0000,Comité Partido Republicano
1251,Macarena Santelices Cañas,party,all,0.00,352,352,0,100.0000,Partido Republicano
1251,Macarena Santelices Cañas,party,minority_ge_05,0.05,262,262,0,100.0000,Partido Republicano
1251,Macarena Santelices Cañas,party,minority_ge_10,0.10,251,251,0,100.0000,Partido Republicano
1251,Macarena Santelices Cañas,party,minority_ge_20,0.20,232,232,0,100.0000,Partido Republicano
1252,Constanza Schonhaut Soto,caucus,all,0.00,349,344,5,98.5673,Frente Amplio
1252,Constanza Schonhaut Soto,caucus,minority_ge_05,0.05,262,258,4,98.4733,Frente Amplio
1252,Constanza Schonhaut Soto,caucus,minority_ge_10,0.10,251,248,3,98.8048,Frente Amplio
1252,Constanza Schonhaut Soto,caucus,minority_ge_20,0.20,233,232,1,99.5708,Frente Amplio
1252,Constanza Schonhaut Soto,party,all,0.00,349,344,5,98.5673,Frente Amplio
1252,Constanza Schonhaut Soto,party,minority_ge_05,0.05,262,258,4,98.4733,Frente Amplio
1252,Constanza Schonhaut Soto,party,minority_ge_10,0.10,251,248,3,98.8048,Frente Amplio
1252,Constanza Schonhaut Soto,party,minority_ge_20,0.20,233,232,1,99.5708,Frente Amplio
1253,Fernando Ugarte Tejeda,caucus,all,0.00,363,363,0,100.0000,Comité Partido Republicano
1253,Fernando Ugarte Tejeda,caucus,minority_ge_05,0.05,269,269,0,100.0000,Comité Partido Republicano
1253,Fernando Ugarte Tejeda,caucus,minority_ge_10,0.10,258,258,0,100.0000,Comité Partido Republicano
1253,Fernando Ugarte Tejeda,caucus,minority_ge_20,0.20,239,239,0,100.0000,Comité Partido Republicano
1253,Fernando Ugarte Tejeda,party,all,0.00,363,363,0,100.0000,Partido Republicano
1253,Fernando Ugarte Tejeda,party,minority_ge_05,0.05,269,269,0,100.0000,Partido Republicano
1253,Fernando Ugarte Tejeda,party,minority_ge_10,0.10,258,258,0,100.0000,Partido Republicano
1253,Fernando Ugarte Tejeda,party,minority_ge_20,0.20,239,239,0,100.0000,Partido Republicano
1254,Ignacio Urcullú Clèment-Lund,caucus,all,0.00,361,361,0,100.0000,Comité Partido Republicano
1254,Ignacio Urcullú Clèment-Lund,caucus,minority_ge_05,0.05,268,268,0,100.0000,Comité Partido Republicano
1254,Ignacio Urcullú Clèment-Lund,caucus,minority_ge_10,0.10,257,257,0,100.0000,Comité Partido Republicano
1254,Ignacio Urcullú Clèment-Lund,caucus,minority_ge_20,0.20,239,239,0,100.0000,Comité Partido Republicano
1254,Ignacio Urcullú Clèment-Lund,party,all,0.00,361,361,0,100.0000,Partido Republicano
1254,Ignacio Urcullú Clèment-Lund,party,minority_ge_05,0.05,268,268,0,100.0000,Partido Republicano
1254,Ignacio Urcullú Clèment-Lund,party,minority_ge_10,0.10,257,257,0,100.0000,Partido Republicano
1254,Ignacio Urcullú Clèment-Lund,party,minority_ge_20,0.20,239,239,0,100.0000,Partido Republicano
1255,Eileen Urqueta Rojas,caucus,all,0.00,361,327,34,90.5817,Comité Partido de la Gente
1255,Eileen Urqueta Rojas,caucus,minority_ge_05,0.05,266,232,34,87.2180,Comité Partido de la Gente
1255,Eileen Urqueta Rojas,caucus,minority_ge_10,0.10,255,221,34,86.6667,Comité Partido de la Gente
1255,Eileen Urqueta Rojas,caucus,minority_ge_20,0.20,236,204,32,86.4407,Comité Partido de la Gente
1255,Eileen Urqueta Rojas,party,all,0.00,355,321,34,90.4225,Partido de la Gente
1255,Eileen Urqueta Rojas,party,minority_ge_05,0.05,260,226,34,86.9231,Partido de la Gente
1255,Eileen Urqueta Rojas,party,minority_ge_10,0.10,249,215,34,86.3454,Partido de la Gente
1255,Eileen Urqueta Rojas,party,minority_ge_20,0.20,230,198,32,86.0870,Partido de la Gente
1256,Tatiana Urrutia Herrera,caucus,all,0.00,341,336,5,98.5337,Frente Amplio
1256,Tatiana Urrutia Herrera,caucus,minority_ge_05,0.05,258,254,4,98.4496,Frente Amplio
1256,Tatiana Urrutia Herrera,caucus,minority_ge_10,0.10,247,244,3,98.7854,Frente Amplio
1256,Tatiana Urrutia Herrera,caucus,minority_ge_20,0.20,229,228,1,99.5633,Frente Amplio
1256,Tatiana Urrutia Herrera,party,all,0.00,341,336,5,98.5337,Frente Amplio
1256,Tatiana Urrutia Herrera,party,minority_ge_05,0.05,258,254,4,98.4496,Frente Amplio
1256,Tatiana Urrutia Herrera,party,minority_ge_10,0.10,247,244,3,98.7854,Frente Amplio
1256,Tatiana Urrutia Herrera,party,minority_ge_20,0.20,229,228,1,99.5633,Frente Amplio
1257,Alejandra Valdebenito Torres,caucus,all,0.00,355,339,16,95.4930,Unión Demócrata Independiente
1257,Alejandra Valdebenito Torres,caucus,minority_ge_05,0.05,268,253,15,94.4030,Unión Demócrata Independiente
1257,Alejandra Valdebenito Torres,caucus,minority_ge_10,0.10,257,242,15,94.1634,Unión Demócrata Independiente
1257,Alejandra Valdebenito Torres,caucus,minority_ge_20,0.20,238,223,15,93.6975,Unión Demócrata Independiente
1257,Alejandra Valdebenito Torres,party,all,0.00,353,338,15,95.7507,Unión Demócrata Independiente
1257,Alejandra Valdebenito Torres,party,minority_ge_05,0.05,266,252,14,94.7368,Unión Demócrata Independiente
1257,Alejandra Valdebenito Torres,party,minority_ge_10,0.10,256,242,14,94.5312,Unión Demócrata Independiente
1257,Alejandra Valdebenito Torres,party,minority_ge_20,0.20,237,223,14,94.0928,Unión Demócrata Independiente
1258,Guillermo Valdés Carmona,caucus,all,0.00,361,342,19,94.7368,Comité Partido de la Gente
