vote_id,diputado_id,diputado_nombre,opcion,opcion_codigo
88442,1009,Jorge Alessandri Vergara,Afirmativo,1
88442,1012,Boris Barrera Moreno,Afirmativo,1
88442,1013,Alejandro Bernales Maldonado,Afirmativo,1
88442,1015,Jorge Brito Hasbún,Afirmativo,1
88442,1017,Álvaro Carter Fernández,Afirmativo,1
88442,1021,Andrés Celis Montt,Afirmativo,1
88442,1025,Catalina Del Real Mihovilovic,Afirmativo,1
88442,1028,Eduardo Durán Salinas,Afirmativo,1
88442,1038,Marcos Ilabaca Cerda,Afirmativo,1
88442,1039,Pamela Jiles Moreno,Afirmativo,1
88442,1044,Raúl Leiva Carvajal,Afirmativo,1
88442,1054,Francesca Muñoz González,Afirmativo,1
88442,1056,Emilia Nuyado Ancapichun,Afirmativo,1
88442,1059,Ximena Ossandón Irarrázabal,Afirmativo,1
88442,1060,Luis Pardo Sáinz,Afirmativo,1
88442,1061,Andrea Parra Sauterel,Abstención,2
88442,1062,Joanna Pérez Olea,Afirmativo,1
88442,1065,Guillermo Ramírez Diez,No Vota,4
88442,1073,Juan Santana Castillo,Afirmativo,1
88442,1074,Marisela Santibáñez Novoa,No Vota,4
88442,1075,Diego Schalper Sepúlveda,Afirmativo,1
88442,1077,Raúl Soto Mardones,Afirmativo,1
88442,1082,Cristóbal Urruticoechea Ríos,Afirmativo,1
88442,1086,Gonzalo Winter Etcheberry,Afirmativo,1
88442,1087,Gael Yeomans Araya,Afirmativo,1
88442,1099,Jaime Araya Guerrero,Afirmativo,1
88442,1100,Cristián Araya Lerdo de Tejada,Afirmativo,1
88442,1102,Roberto Arroyo Muñoz,Afirmativo,1
88442,1104,Chiara Barchiesi Chávez,Afirmativo,1
88442,1105,Héctor Barría Angulo,Afirmativo,1
88442,1107,María Francisca Bello Campos,No Vota,4
88442,1108,Juan Carlos Beltrán Silva,Afirmativo,1
88442,1110,Carlos Bianchi Chelech,No Vota,4
88442,1114,Félix Bugueño Sotelo,Afirmativo,1
88442,1116,Felipe Camaño Cárdenas,Afirmativo,1
88442,1117,Nathalie Castillo Rojas,Afirmativo,1
88442,1119,Sara Concha Smith,Afirmativo,1
88442,1122,Luis Alberto Cuello Peña y Lillo,Afirmativo,1
88442,1127,Lorena Fries Monleón,Afirmativo,1
88442,1128,Ana María Gazmuri Vieira,Afirmativo,1
88442,1131,Mauro González Villarroel,Afirmativo,1
88442,1132,Jorge Guzmán Zepeda,No Vota,4
88442,1133,Juan Irarrázaval Rossel,No Vota,4
88442,1140,Daniel Lilayu Vivanco,No Vota,4
88442,1141,Luis Malla Valenzuela,Afirmativo,1
88442,1142,Daniel Manouchehri Lobos,Afirmativo,1
88442,1143,Cristóbal Martínez Ramírez,Afirmativo,1
88442,1146,José Carlos Meza Pereira,Afirmativo,1
88442,1148,Javiera Morales Alvarado,No Vota,4
88442,1150,Benjamín Moreno Bascur,Afirmativo,1
88442,1152,Gloria Naveillan Arriagada,Afirmativo,1
88442,1153,Coca Ericka Ñanco Vásquez,No Vota,4
88442,1157,Marlene Pérez Cartes,Afirmativo,1
88442,1159,Lorena Pizarro Sierra,Afirmativo,1
88442,1165,Agustín Romero Leiva,Afirmativo,1
88442,1166,Natalia Romero Talguia,Afirmativo,1
88442,1170,Luis Sánchez Ossa,Afirmativo,1
88442,1171,Emilia Schneider Videla,Afirmativo,1
88442,1172,Stephan Schubert Rubio,Afirmativo,1
88442,1173,Daniela Serrano Salazar,Afirmativo,1
88442,1174,Marco Antonio Sulantay Olivares,Afirmativo,1
88442,1175,Cristián Tapia Ramos,Afirmativo,1
88442,1176,Hotuiti Teao Drago,Afirmativo,1
88442,1177,Carolina Tello Rojas,Afirmativo,1
88442,1178,Héctor Ulloa Aguilera,Afirmativo,1
88442,1180,Consuelo Veloso Ávila,Afirmativo,1
88442,1181,Nelson Venegas Salazar,No Vota,4
88442,1182,Sebastián Videla Castillo,No Vota,4
88442,1183,Flor Weisse Novoa,Afirmativo,1
88442,1184,Roberto Celedón Fernández,Afirmativo,1
88442,1186,Ignacio Achurra Díaz,Afirmativo,1
88442,1187,Carlo Arqueros Pizarro,Afirmativo,1
88442,1188,Marcos Barraza Gómez,Afirmativo,1
88442,1189,Jaime Bassa Mercado,Afirmativo,1
88442,1190,Enrique Bassaletti Riess,Afirmativo,1
88442,1191,Valentina Becerra Peña,Afirmativo,1
88442,1192,Lilian Betancurt Delgado,Afirmativo,1
88442,1193,Patricio Briones Moller,Afirmativo,1
88442,1194,Daniel Bustos Leal,Afirmativo,1
88442,1195,Carlos Carvajal Gallardo,Afirmativo,1
88442,1196,Priscilla Castillo Gerli,Afirmativo,1
88442,1197,Carlos Chandía Alarcón,Afirmativo,1
88442,1198,Paz Charpentier Rajcevich,Afirmativo,1
88442,1199,Jaime Coloma Álamos,Afirmativo,1
88442,1200,Cristian Contreras Radovic,Afirmativo,1
88442,1201,Flor Contreras Vivallo,Afirmativo,1
88442,1202,Eduardo Cretton Rebolledo,Afirmativo,1
88442,1203,Sebastián Cristoffanini Jaraquemada,Afirmativo,1
88442,1204,Francisco Crisóstomo Llanos,Afirmativo,1
88442,1205,Carlos Cuadrado Prats,Afirmativo,1
88442,1206,Carolina Cucumides Calderón,Afirmativo,1
88442,1207,Valentina Cáceres Monsálvez,Afirmativo,1
88442,1208,Jorge Díaz Ibarra,Afirmativo,1
88442,1209,Matías Fernández Hartwig,Afirmativo,1
88442,1210,Gustavo Gatica Villarroel,Afirmativo,1
88442,1211,Sofía González Cortés,Afirmativo,1
88442,1212,Erich Grohs Marín,Afirmativo,1
88442,1213,Irací Hassler Jacob,Afirmativo,1
88442,1214,Constanza Hube Portus,Afirmativo,1
88442,1215,Álvaro Jofré Cáceres,Afirmativo,1
88442,1216,Stephanie Jéldrez Ortiz,Afirmativo,1
88442,1217,Pier Karlezi Hazleby,Afirmativo,1
88442,1218,José Antonio Kast Adriasola,Afirmativo,1
88442,1219,Tomás Kast Sommerhoff,Afirmativo,1
88442,1220,Leandro Kunstmann Collado,Afirmativo,1
88442,1221,Benjamín Lorca Inzunza,Afirmativo,1
88442,1222,Andrea Macías Palma,Afirmativo,1
88442,1223,Hans Marowski Cuevas,Afirmativo,1
88442,1224,Cristian Mella Andaur,Afirmativo,1
88442,1225,Cristian Menchaca Pinochet,Afirmativo,1
88442,1226,José Montalva Feuerhake,Afirmativo,1
88442,1227,Claudia Mora Vega,Afirmativo,1
88442,1228,Paulina Muñoz Minte,Afirmativo,1
88442,1229,Javier Muñoz Riquelme,Afirmativo,1
