diputado_id,diputado_nombre,unique_coauthors,recurrent_coauthors,one_off_coauthors,strongest_tie_shared_motions
1237,Francisco Orrego Gutiérrez,69,36,33,10
1238,Álvaro Ortiz Vera,51,12,39,8
1239,Fabián Ossandón Briceño,48,14,34,7
1240,Zandra Parisi Fernández,59,21,38,7
1241,Patricio Pinilla Valencia,85,43,42,9
1242,Rodrigo Ramírez Parra,27,16,11,9
1243,Tamara Ramírez Ramírez,58,31,27,9
1244,Claudia Reyes Larenas,42,11,31,4
1245,Alejandro Riquelme Ducci,33,10,23,3
1246,José Antonio Rivas Villalobos,44,22,22,9
1247,Javiera Rodríguez Pascual,46,25,21,6
1248,Felipe Ross Correa,27,11,16,3
1249,Omar Sabat Guzmán,47,21,26,13
1250,Bernardo Salinas Maya,41,22,19,6
1251,Macarena Santelices Cañas,68,33,35,5
1252,Constanza Schonhaut Soto,35,14,21,3
1253,Fernando Ugarte Tejeda,29,6,23,2
1254,Ignacio Urcullú Clèment-Lund,25,3,22,4
1255,Eileen Urqueta Rojas,56,26,30,5
1256,Tatiana Urrutia Herrera,38,12,26,5
1257,Alejandra Valdebenito Torres,40,21,19,11
1258,Guillermo Valdés Carmona,40,8,32,5
1259,Juan Marcelo Valenzuela Henríquez,54,19,35,9
1260,César Valenzuela Maass,41,15,26,4
1261,Daniel Valenzuela Salazar,59,27,32,9
1262,Diego Vergara Rodríguez,26,5,21,3
1263,Sebastián Zamora Soto,42,16,26,5
1264,Fernando Zamorano Peralta,32,18,14,10
