diputado_id,diputado_nombre,group_type,scope,min_chamber_binary_minority_share,comparisons,matches,divergences,agreement_pct,group_names_observed
1211,Sofía González Cortés,caucus,minority_ge_20,0.20,237,236,1,99.5781,Comité Comunista e Independientes
1211,Sofía González Cortés,party,all,0.00,355,353,2,99.4366,Partido Comunista
1211,Sofía González Cortés,party,minority_ge_05,0.05,267,266,1,99.6255,Partido Comunista
1211,Sofía González Cortés,party,minority_ge_10,0.10,256,255,1,99.6094,Partido Comunista
1211,Sofía González Cortés,party,minority_ge_20,0.20,237,236,1,99.5781,Partido Comunista
1212,Erich Grohs Marín,caucus,all,0.00,336,334,2,99.4048,Comité Partido Nacional Libertarios
1212,Erich Grohs Marín,caucus,minority_ge_05,0.05,262,260,2,99.2366,Comité Partido Nacional Libertarios
1212,Erich Grohs Marín,caucus,minority_ge_10,0.10,251,249,2,99.2032,Comité Partido Nacional Libertarios
1212,Erich Grohs Marín,caucus,minority_ge_20,0.20,232,230,2,99.1379,Comité Partido Nacional Libertarios
1212,Erich Grohs Marín,party,all,0.00,336,334,2,99.4048,Partido Nacional Libertario
1212,Erich Grohs Marín,party,minority_ge_05,0.05,262,260,2,99.2366,Partido Nacional Libertario
1212,Erich Grohs Marín,party,minority_ge_10,0.10,251,249,2,99.2032,Partido Nacional Libertario
1212,Erich Grohs Marín,party,minority_ge_20,0.20,232,230,2,99.1379,Partido Nacional Libertario
1213,Irací Hassler Jacob,caucus,all,0.00,364,364,0,100.0000,Comité Comunista e Independientes
1213,Irací Hassler Jacob,caucus,minority_ge_05,0.05,269,269,0,100.0000,Comité Comunista e Independientes
1213,Irací Hassler Jacob,caucus,minority_ge_10,0.10,258,258,0,100.0000,Comité Comunista e Independientes
1213,Irací Hassler Jacob,caucus,minority_ge_20,0.20,239,239,0,100.0000,Comité Comunista e Independientes
1213,Irací Hassler Jacob,party,all,0.00,364,363,1,99.7253,Partido Comunista
1213,Irací Hassler Jacob,party,minority_ge_05,0.05,269,269,0,100.0000,Partido Comunista
1213,Irací Hassler Jacob,party,minority_ge_10,0.10,258,258,0,100.0000,Partido Comunista
1213,Irací Hassler Jacob,party,minority_ge_20,0.20,239,239,0,100.0000,Partido Comunista
1214,Constanza Hube Portus,caucus,all,0.00,363,342,21,94.2149,Unión Demócrata Independiente
1214,Constanza Hube Portus,caucus,minority_ge_05,0.05,268,253,15,94.4030,Unión Demócrata Independiente
1214,Constanza Hube Portus,caucus,minority_ge_10,0.10,257,244,13,94.9416,Unión Demócrata Independiente
1214,Constanza Hube Portus,caucus,minority_ge_20,0.20,238,228,10,95.7983,Unión Demócrata Independiente
1214,Constanza Hube Portus,party,all,0.00,364,343,21,94.2308,Unión Demócrata Independiente
1214,Constanza Hube Portus,party,minority_ge_05,0.05,269,254,15,94.4238,Unión Demócrata Independiente
1214,Constanza Hube Portus,party,minority_ge_10,0.10,258,245,13,94.9612,Unión Demócrata Independiente
1214,Constanza Hube Portus,party,minority_ge_20,0.20,239,229,10,95.8159,Unión Demócrata Independiente
1215,Álvaro Jofré Cáceres,caucus,all,0.00,362,360,2,99.4475,Comité Partido Nacional Libertarios
1215,Álvaro Jofré Cáceres,caucus,minority_ge_05,0.05,267,267,0,100.0000,Comité Partido Nacional Libertarios
1215,Álvaro Jofré Cáceres,caucus,minority_ge_10,0.10,256,256,0,100.0000,Comité Partido Nacional Libertarios
1215,Álvaro Jofré Cáceres,caucus,minority_ge_20,0.20,237,237,0,100.0000,Comité Partido Nacional Libertarios
1215,Álvaro Jofré Cáceres,party,all,0.00,362,360,2,99.4475,Partido Nacional Libertario
1215,Álvaro Jofré Cáceres,party,minority_ge_05,0.05,267,267,0,100.0000,Partido Nacional Libertario
1215,Álvaro Jofré Cáceres,party,minority_ge_10,0.10,256,256,0,100.0000,Partido Nacional Libertario
1215,Álvaro Jofré Cáceres,party,minority_ge_20,0.20,237,237,0,100.0000,Partido Nacional Libertario
1216,Stephanie Jéldrez Ortiz,caucus,all,0.00,356,356,0,100.0000,Comité Partido Republicano
1216,Stephanie Jéldrez Ortiz,caucus,minority_ge_05,0.05,267,267,0,100.0000,Comité Partido Republicano
1216,Stephanie Jéldrez Ortiz,caucus,minority_ge_10,0.10,256,256,0,100.0000,Comité Partido Republicano
1216,Stephanie Jéldrez Ortiz,caucus,minority_ge_20,0.20,238,238,0,100.0000,Comité Partido Republicano
1216,Stephanie Jéldrez Ortiz,party,all,0.00,356,356,0,100.0000,Partido Republicano
1216,Stephanie Jéldrez Ortiz,party,minority_ge_05,0.05,267,267,0,100.0000,Partido Republicano
1216,Stephanie Jéldrez Ortiz,party,minority_ge_10,0.10,256,256,0,100.0000,Partido Republicano
1216,Stephanie Jéldrez Ortiz,party,minority_ge_20,0.20,238,238,0,100.0000,Partido Republicano
1217,Pier Karlezi Hazleby,caucus,all,0.00,345,340,5,98.5507,Comité Partido Nacional Libertarios
1217,Pier Karlezi Hazleby,caucus,minority_ge_05,0.05,253,251,2,99.2095,Comité Partido Nacional Libertarios
1217,Pier Karlezi Hazleby,caucus,minority_ge_10,0.10,242,240,2,99.1736,Comité Partido Nacional Libertarios
1217,Pier Karlezi Hazleby,caucus,minority_ge_20,0.20,226,224,2,99.1150,Comité Partido Nacional Libertarios
1217,Pier Karlezi Hazleby,party,all,0.00,345,340,5,98.5507,Partido Nacional Libertario
1217,Pier Karlezi Hazleby,party,minority_ge_05,0.05,253,251,2,99.2095,Partido Nacional Libertario
1217,Pier Karlezi Hazleby,party,minority_ge_10,0.10,242,240,2,99.1736,Partido Nacional Libertario
1217,Pier Karlezi Hazleby,party,minority_ge_20,0.20,226,224,2,99.1150,Partido Nacional Libertario
1218,José Antonio Kast Adriasola,caucus,all,0.00,363,363,0,100.0000,Comité Partido Republicano
1218,José Antonio Kast Adriasola,caucus,minority_ge_05,0.05,268,268,0,100.0000,Comité Partido Republicano
1218,José Antonio Kast Adriasola,caucus,minority_ge_10,0.10,257,257,0,100.0000,Comité Partido Republicano
1218,José Antonio Kast Adriasola,caucus,minority_ge_20,0.20,238,238,0,100.0000,Comité Partido Republicano
1218,José Antonio Kast Adriasola,party,all,0.00,363,363,0,100.0000,Partido Republicano
1218,José Antonio Kast Adriasola,party,minority_ge_05,0.05,268,268,0,100.0000,Partido Republicano
1218,José Antonio Kast Adriasola,party,minority_ge_10,0.10,257,257,0,100.0000,Partido Republicano
1218,José Antonio Kast Adriasola,party,minority_ge_20,0.20,238,238,0,100.0000,Partido Republicano
1219,Tomás Kast Sommerhoff,caucus,all,0.00,337,325,12,96.4392,"Renovación Nacional, Evopoli e Independientes"
1219,Tomás Kast Sommerhoff,caucus,minority_ge_05,0.05,257,245,12,95.3307,"Renovación Nacional, Evopoli e Independientes"
1219,Tomás Kast Sommerhoff,caucus,minority_ge_10,0.10,246,236,10,95.9350,"Renovación Nacional, Evopoli e Independientes"
1219,Tomás Kast Sommerhoff,caucus,minority_ge_20,0.20,227,220,7,96.9163,"Renovación Nacional, Evopoli e Independientes"
1219,Tomás Kast Sommerhoff,party,all,0.00,0,0,0,,Evolución Política
1219,Tomás Kast Sommerhoff,party,minority_ge_05,0.05,0,0,0,,Evolución Política
1219,Tomás Kast Sommerhoff,party,minority_ge_10,0.10,0,0,0,,Evolución Política
1219,Tomás Kast Sommerhoff,party,minority_ge_20,0.20,0,0,0,,Evolución Política
1220,Leandro Kunstmann Collado,caucus,all,0.00,363,362,1,99.7245,Comité Partido Republicano
1220,Leandro Kunstmann Collado,caucus,minority_ge_05,0.05,268,268,0,100.0000,Comité Partido Republicano
1220,Leandro Kunstmann Collado,caucus,minority_ge_10,0.10,257,257,0,100.0000,Comité Partido Republicano
1220,Leandro Kunstmann Collado,caucus,minority_ge_20,0.20,238,238,0,100.0000,Comité Partido Republicano
1220,Leandro Kunstmann Collado,party,all,0.00,363,362,1,99.7245,Partido Republicano
1220,Leandro Kunstmann Collado,party,minority_ge_05,0.05,268,268,0,100.0000,Partido Republicano
1220,Leandro Kunstmann Collado,party,minority_ge_10,0.10,257,257,0,100.0000,Partido Republicano
1220,Leandro Kunstmann Collado,party,minority_ge_20,0.20,238,238,0,100.0000,Partido Republicano
1221,Benjamín Lorca Inzunza,caucus,all,0.00,361,361,0,100.0000,Comité Partido Republicano
1221,Benjamín Lorca Inzunza,caucus,minority_ge_05,0.05,266,266,0,100.0000,Comité Partido Republicano
1221,Benjamín Lorca Inzunza,caucus,minority_ge_10,0.10,256,256,0,100.0000,Comité Partido Republicano
1221,Benjamín Lorca Inzunza,caucus,minority_ge_20,0.20,237,237,0,100.0000,Comité Partido Republicano
1221,Benjamín Lorca Inzunza,party,all,0.00,361,361,0,100.0000,Partido Republicano
1221,Benjamín Lorca Inzunza,party,minority_ge_05,0.05,266,266,0,100.0000,Partido Republicano
1221,Benjamín Lorca Inzunza,party,minority_ge_10,0.10,256,256,0,100.0000,Partido Republicano
1221,Benjamín Lorca Inzunza,party,minority_ge_20,0.20,237,237,0,100.0000,Partido Republicano
