"spec_id","n_common","scale_to_baseline","rotation_11","rotation_12","rotation_21","rotation_22","procrustes_rmse","procrustes_disparity","pearson_dim1_after_alignment","pearson_dim2_after_alignment","spearman_dim1_after_alignment","spearman_dim2_after_alignment"
"raw_lop025_2d",154,1,1,0,0,1,0,0,1,1,1,1
"raw_lop050_2d",154,1.00636640732327,0.999999982175384,-0.000188810043381143,0.000188810043381157,0.999999982175384,0.0521181709893718,0.00406192324867796,0.99970947322601,0.991345932647173,0.99829623235334,0.977022154920193
"cap20_balanced_lop025_2d",154,0.936554114938522,0.9997930487555,0.0203435409941699,-0.0203435409941699,0.999793048755501,0.287747911568475,0.123816276887704,0.994396235875971,0.722853583846623,0.964178543035487,0.346919194604383
