"spec_id","vote_id","boletin","fecha","spread_1d","spread_2d","midpoint_1d","midpoint_2d","gmp","apre"
"raw_lop025_2d","88450","15347-07","2026-03-23",1.58115136623383,1.285489320755,0.759033203125,0.374896585941315,0.967421650886536,0.916666666666667
"raw_lop025_2d","88451","15347-07","2026-03-23",1.57734048366547,0.374947398900986,0.625024437904358,0.0332391820847988,0.952556252479553,1
"raw_lop025_2d","88452","15347-07","2026-03-23",1.5795738697052,0.314875841140747,0.633832514286041,0.151118770241737,0.949834585189819,0.961538461538462
"raw_lop025_2d","88453","15347-07","2026-03-23",1.58067417144775,0.316478371620178,0.63549929857254,0.173557266592979,0.951984226703644,0.96
"raw_lop025_2d","88454","15347-07","2026-03-23",1.57861363887787,0.332476705312729,0.633030712604523,0.12617264688015,0.948135018348694,0.962962962962963
"raw_lop025_2d","88455","15347-07","2026-03-23",1.58595132827759,0.513834595680237,0.643823564052582,0.186301752924919,0.936482608318329,0.88
"raw_lop025_2d","88474","17474-06","2026-03-24",1.28246235847473,-0.28956925868988,0.282462388277054,-0.479540407657623,0.931341469287872,0.854166666666667
"raw_lop025_2d","88475","17474-06","2026-03-24",0.525420129299164,-0.0280425641685724,0.188162118196487,0.98213791847229,0.896948516368866,0.866666666666667
"raw_lop025_2d","88477","16487-12","2026-03-24",-1.59150433540344,-0.637271106243134,-0.655865967273712,0.592976748943329,0.990847587585449,1
"raw_lop025_2d","88489","18137-05","2026-03-24",1.55231535434723,0.463991463184357,0.552315354347229,0.347913712263107,0.992850482463837,1
"raw_lop025_2d","88493","18137-05","2026-03-24",0.267013281583786,0.883914768695831,0.211464002728462,0.0597460493445396,0.917636811733246,1
"raw_lop025_2d","88502","10634-29","2026-03-25",-0.319999933242798,-0.781337201595306,-0.962144494056702,-0.154814764857292,0.854921638965607,0.631578947368421
"raw_lop025_2d","88503","10634-29","2026-03-25",-0.440000057220459,-0.975592374801636,-0.963287353515625,-0.187589421868324,0.901119291782379,0.615384615384615
"raw_lop025_2d","88504","10634-29","2026-03-25",-1,-1.54854929447174,-0.963126540184021,-0.225674748420715,0.968096911907196,1
"raw_lop025_2d","88506","10634-29","2026-03-25",-0.370000004768372,-0.875067472457886,-0.927379727363586,-0.181840896606445,0.867744147777557,0.588235294117647
"raw_lop025_2d","88507","10634-29","2026-03-25",-0.400000095367432,-0.932451725006104,-0.955194652080536,-0.185201197862625,0.883251309394836,0.6875
"raw_lop025_2d","88544","16569-25","2026-04-06",-0.37548491358757,-0.295570641756058,0.897000908851624,0.184620961546898,0.825993597507477,0.75
"raw_lop025_2d","88613","17170-07","2026-04-13",1.58807516098022,-0.21885173022747,0.672112166881561,-0.417500078678131,0.943366825580597,0.875
"raw_lop025_2d","88614","17170-07","2026-04-13",1.58341193199158,-0.249196410179138,0.658646047115326,-0.321679353713989,0.957223892211914,0.666666666666667
"raw_lop025_2d","88633","17354-37","2026-04-14",1.57862484455109,-0.414089441299438,0.648102104663849,-0.0168814584612846,0.937863528728485,0.863636363636364
"raw_lop025_2d","88634","17690-07","2026-04-14",0.415892392396927,0.303100079298019,-0.192751690745354,0.044007558375597,0.913869142532349,0.920634920634921
"raw_lop025_2d","88646","17757-29","2026-04-15",-1.58308136463165,0.63568526506424,-0.849840044975281,0.102952726185322,0.898021101951599,0.756756756756757
"raw_lop025_2d","88647","17522-12","2026-04-15",-1.53683841228485,0.410531580448151,-0.727810740470886,-0.32230082154274,0.959021270275116,0.938775510204082
"raw_lop025_2d","88648","17522-12","2026-04-15",-1.5823073387146,-0.0403570495545864,-0.613802969455719,0.22421395778656,0.984718799591064,1
"raw_lop025_2d","88680","18156-04","2026-04-21",0.258011281490326,0.843384027481079,0.371721088886261,0.0869999825954437,0.906660497188568,0.953488372093023
"raw_lop025_2d","88681","18156-04","2026-04-21",-1.58359432220459,-0.624052584171295,-0.615094780921936,0.475385189056396,0.990856349468231,1
"raw_lop025_2d","88682","18156-04","2026-04-21",0.28578394651413,0.770146071910858,0.117807596921921,0.0504273734986782,0.936761736869812,0.96
"raw_lop025_2d","88683","18156-04","2026-04-21",-0.550633430480957,-0.0184587314724922,-0.341537445783615,-0.54170036315918,0.915458261966705,0.966666666666667
"raw_lop025_2d","88684","18156-04","2026-04-21",0.332085967063904,0.563774406909943,0.0550964847207069,0.0430957973003387,0.957569897174835,0.979591836734694
"raw_lop025_2d","88685","18156-04","2026-04-21",-1.13540387153625,0.082983136177063,0.110513210296631,0.993874669075012,0.956583857536316,0.96551724137931
"raw_lop025_2d","88686","18156-04","2026-04-21",-0.412844091653824,-0.215442076325417,-0.228873327374458,0.0880865305662155,0.890180706977844,0.942857142857143
"raw_lop025_2d","88687","18156-04","2026-04-21",-0.710236012935638,-0.258302062749863,-0.259516775608063,0.242164850234985,0.967337191104889,0.986111111111111
"raw_lop025_2d","88688","18156-04","2026-04-21",-1.3978408575058,-1.14840841293335,0.397840857505798,-0.514524221420288,0.993548572063446,1
"raw_lop025_2d","88689","18156-04","2026-04-21",-0.591717064380646,0.24279573559761,0.152654007077217,0.0476948693394661,0.906357169151306,0.941176470588235
"raw_lop025_2d","88690","18156-04","2026-04-21",-1.18266904354095,0.177146524190903,0.182669058442116,0.29395604133606,0.951155662536621,0.95
"raw_lop025_2d","88691","18156-04","2026-04-21",-1.21164786815643,0.184840083122253,0.211647883057594,0.0572088770568371,0.94408917427063,0.947368421052632
"raw_lop025_2d","88692","18156-04","2026-04-21",-0.348785549402237,-0.195022523403168,-0.378822565078735,0.0220677442848682,0.832068562507629,0.895522388059702
"raw_lop025_2d","88693","18156-04","2026-04-21",1.33007979393005,0.108307600021362,0.330079764127731,-0.410686701536179,0.933503389358521,0.936170212765957
"raw_lop025_2d","88694","18156-04","2026-04-21",-1.27686905860901,-0.100962370634079,0.276869088411331,-0.208873674273491,0.938177227973938,0.980769230769231
"raw_lop025_2d","88695","18156-04","2026-04-21",0.314862161874771,0.609953343868256,0.13661040365696,0.0257771480828524,0.943703293800354,0.96
"raw_lop025_2d","88696","18156-04","2026-04-21",-1.21427297592163,0.212309584021568,0.214272975921631,-0.0154339410364628,0.950375914573669,0.948275862068966
"raw_lop025_2d","88697","18156-04","2026-04-21",-1.14279544353485,-0.202048882842064,0.142795398831367,-0.909890472888947,0.962771654129028,0.966101694915254
"raw_lop025_2d","88698","18156-04","2026-04-21",-0.575158655643463,-0.268203258514404,-0.217974811792374,0.112892605364323,0.953307390213013,0.971830985915493
"raw_lop025_2d","88699","18156-04","2026-04-21",-1.21427297592163,0.212309584021568,0.214272975921631,-0.0154339410364628,0.950375914573669,0.948275862068966
"raw_lop025_2d","88700","18156-04","2026-04-21",0.797942757606506,0.541665077209473,0.309508830308914,-0.41731658577919,0.910494863986969,0.979166666666667
"raw_lop025_2d","88701","18156-04","2026-04-21",-0.657053411006927,-0.366562396287918,-0.32421350479126,0.0748129487037659,0.966235041618347,0.986111111111111
"raw_lop025_2d","88702","18156-04","2026-04-21",0.3284050822258,0.55235368013382,0.0684682130813599,-0.0112089989706874,0.933816730976105,0.947368421052632
"raw_lop025_2d","88703","18156-04","2026-04-21",-1.1836895942688,1.12118637561798,0.183689549565315,0.244988441467285,0.99790221452713,1
"raw_lop025_2d","88704","18156-04","2026-04-21",-0.633671760559082,0.512793302536011,0.116841733455658,0.215505793690681,0.930124700069427,0.967213114754098
"raw_lop025_2d","88705","18156-04","2026-04-21",-0.34540867805481,-0.491146743297577,0.0263169705867767,-0.0750696882605553,0.929034769535065,0.951612903225806
"raw_lop025_2d","88706","18156-04","2026-04-21",0.338097333908081,0.376548856496811,-0.0756072327494621,-0.0795558616518974,0.895420014858246,0.938461538461538
"raw_lop025_2d","88707","18156-04","2026-04-21",-1.45098507404327,0.189814954996109,-0.450985074043274,-0.475843757390976,0.989416062831879,1
"raw_lop025_2d","88755","18016-13","2026-05-05",-1.58694624900818,0.348189175128937,-0.751685321331024,0.190403461456299,0.910911798477173,0.906976744186046
"raw_lop025_2d","88756","17381-03","2026-05-05",-1.58498799800873,-0.641770780086517,-0.616493821144104,0.373612850904465,0.992463231086731,1
"raw_lop025_2d","88757","17381-03","2026-05-05",-1.59215080738068,-0.326624900102615,-0.652259349822998,0.60120415687561,0.970721006393433,0.985294117647059
"raw_lop025_2d","88758","17471-07","2026-05-05",-0.110000014305115,0.945842087268829,0.40946102142334,-0.069965235888958,0.729888081550598,0.259259259259259
"raw_lop025_2d","88759","17872-33","2026-05-05",-0.875228643417358,0.25368869304657,-0.534012675285339,-0.00259258132427931,0.951732814311981,0.953846153846154
