"spec_id","diputado_id","diputado_nombre","binary_votes_selected","dimension_1_raw","dimension_2_raw","se_1d","se_2d","gmp","correctly_classified"
"raw_lop025_2d","803","René Alinco Bustos",220,0.242598906159401,-0.642006874084473,0,0,0.628494262695312,0.809090909090909
"raw_lop025_2d","815","Sergio Bobadilla Muñoz",267,-0.867146909236908,-0.0211293026804924,0,0,0.941782295703888,0.9812734082397
"raw_lop025_2d","843","René Manuel García García",227,-0.81772392988205,-0.126240506768227,0,0,0.92052173614502,0.973568281938326
"raw_lop025_2d","872","Jaime Mulet Martínez",248,0.214790597558022,-0.955464482307434,0,0,0.753462672233582,0.854838709677419
"raw_lop025_2d","915","Germán Verdugo Soto",257,-0.888938307762146,-0.158647194504738,0,0,0.924264311790466,0.972762645914397
"raw_lop025_2d","986","Marcela Hernando Pérez",212,0.337684094905853,-0.182344928383827,0,0,0.840088903903961,0.929245283018868
"raw_lop025_2d","1009","Jorge Alessandri Vergara",251,-0.880603194236755,0.0699620991945267,0,0,0.967950582504272,0.99203187250996
"raw_lop025_2d","1012","Boris Barrera Moreno",267,0.94821172952652,0.317638963460922,0,0,0.971037566661835,0.98501872659176
"raw_lop025_2d","1013","Alejandro Bernales Maldonado",242,0.265578716993332,-0.344935089349747,0,0,0.782537341117859,0.892561983471074
"raw_lop025_2d","1015","Jorge Brito Hasbún",237,0.764837205410004,-0.00829486642032862,0,0,0.935809075832367,0.987341772151899
"raw_lop025_2d","1017","Álvaro Carter Fernández",255,-0.981794893741608,0.189905539155006,0,0,0.984250485897064,0.996078431372549
"raw_lop025_2d","1021","Andrés Celis Montt",241,-0.762457489967346,-0.291605323553085,0,0,0.897113740444183,0.954356846473029
"raw_lop025_2d","1025","Catalina Del Real Mihovilovic",227,-0.979868829250336,0.190834492444992,0,0,0.982703864574432,0.995594713656388
"raw_lop025_2d","1028","Eduardo Durán Salinas",255,-0.729209840297699,0.0414980873465538,0,0,0.950445353984833,0.976470588235294
"raw_lop025_2d","1038","Marcos Ilabaca Cerda",227,0.578047096729279,0.119879595935345,0,0,0.889515995979309,0.960352422907489
"raw_lop025_2d","1039","Pamela Jiles Moreno",257,0.210526883602142,0.977588057518005,0,0,0.836986601352692,0.945525291828794
"raw_lop025_2d","1044","Raúl Leiva Carvajal",231,0.519877552986145,0.0593373998999596,0,0,0.917825162410736,0.974025974025974
"raw_lop025_2d","1054","Francesca Muñoz González",254,-0.72823029756546,-0.0520207658410072,0,0,0.943242847919464,0.97244094488189
"raw_lop025_2d","1056","Emilia Nuyado Ancapichun",269,0.657104313373566,0.0334914550185204,0,0,0.915209949016571,0.970260223048327
"raw_lop025_2d","1059","Ximena Ossandón Irarrázabal",253,-0.772171497344971,-0.255569875240326,0,0,0.879164159297943,0.960474308300395
"raw_lop025_2d","1060","Luis Pardo Sáinz",261,-0.763909876346588,-0.141075596213341,0,0,0.947931826114655,0.988505747126437
"raw_lop025_2d","1061","Andrea Parra Sauterel",252,0.398261159658432,-0.189071416854858,0,0,0.883659780025482,0.964285714285714
"raw_lop025_2d","1062","Joanna Pérez Olea",223,-0.695723831653595,0.111542880535126,0,0,0.91364848613739,0.973094170403587
"raw_lop025_2d","1065","Guillermo Ramírez Diez",249,-0.868340373039246,-0.123934552073479,0,0,0.977005362510681,0.995983935742972
"raw_lop025_2d","1073","Juan Santana Castillo",250,0.762712180614471,0.103357456624508,0,0,0.951097905635834,0.988
"raw_lop025_2d","1074","Marisela Santibáñez Novoa",238,0.814282953739166,0.561802089214325,0,0,0.954781889915466,0.983193277310924
"raw_lop025_2d","1075","Diego Schalper Sepúlveda",248,-0.809112787246704,-0.347766518592834,0,0,0.949986159801483,0.991935483870968
"raw_lop025_2d","1077","Raúl Soto Mardones",237,0.403608471155167,-0.0853957086801529,0,0,0.889520347118378,0.957805907172996
"raw_lop025_2d","1082","Cristóbal Urruticoechea Ríos",239,-0.942367136478424,-0.334580391645432,0,0,0.957463264465332,0.98744769874477
"raw_lop025_2d","1086","Gonzalo Winter Etcheberry",228,0.726726412773132,0.0130059104412794,0,0,0.905141472816467,0.978070175438597
"raw_lop025_2d","1087","Gael Yeomans Araya",253,0.739563047885895,0.013785389252007,0,0,0.94447135925293,0.992094861660079
"raw_lop025_2d","1099","Jaime Araya Guerrero",230,0.435773193836212,-0.129405915737152,0,0,0.91277939081192,0.98695652173913
"raw_lop025_2d","1100","Cristián Araya Lerdo de Tejada",268,-0.987650632858276,0.156672537326813,0,0,0.983246266841888,0.996268656716418
"raw_lop025_2d","1102","Roberto Arroyo Muñoz",222,-0.686586737632751,-0.0616929642856121,0,0,0.891993343830109,0.945945945945946
"raw_lop025_2d","1104","Chiara Barchiesi Chávez",259,-0.988360941410065,0.152127578854561,0,0,0.98733377456665,1
"raw_lop025_2d","1105","Héctor Barría Angulo",247,0.278631538152695,-0.856931746006012,0,0,0.865060269832611,0.967611336032389
"raw_lop025_2d","1107","María Francisca Bello Campos",0,NA,NA,NA,NA,NA,NA
"raw_lop025_2d","1108","Juan Carlos Beltrán Silva",251,-0.75373238325119,-0.226712360978127,0,0,0.922250688076019,0.964143426294821
"raw_lop025_2d","1110","Carlos Bianchi Chelech",251,0.336065381765366,-0.0703259408473969,0,0,0.832471191883087,0.920318725099602
"raw_lop025_2d","1114","Félix Bugueño Sotelo",244,0.677100598812103,-0.0793193802237511,0,0,0.940962791442871,0.991803278688525
"raw_lop025_2d","1116","Felipe Camaño Cárdenas",255,0.215516358613968,-0.733121335506439,0,0,0.804059267044067,0.905882352941176
"raw_lop025_2d","1117","Nathalie Castillo Rojas",231,0.905264675617218,0.424847960472107,0,0,0.971242547035217,0.991341991341991
"raw_lop025_2d","1119","Sara Concha Smith",262,-0.724715232849121,-0.118216544389725,0,0,0.948648929595947,0.980916030534351
"raw_lop025_2d","1122","Luis Alberto Cuello Peña y Lillo",263,0.951443135738373,0.30782476067543,0,0,0.97049754858017,0.988593155893536
"raw_lop025_2d","1127","Lorena Fries Monleón",254,0.758665859699249,0.0947071388363838,0,0,0.961837768554688,0.996062992125984
