"spec_id","diputado_id","diputado_nombre","dimension_1_aligned","dimension_2_aligned","dimension_2_predicted_by_quadratic","dimension_2_residual_after_quadratic","modal_party","modal_caucus","modal_alignment"
"raw_lop025_2d","803","René Alinco Bustos",0.242598906159401,-0.642006874084473,-0.03052097222506,-0.611485901859413,"Independientes","Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes","oposicion"
"raw_lop025_2d","815","Sergio Bobadilla Muñoz",-0.867146909236908,-0.0211293026804924,-0.00675743024245308,-0.0143718724380393,"Unión Demócrata Independiente","Unión Demócrata Independiente","oficialismo"
"raw_lop025_2d","843","René Manuel García García",-0.81772392988205,-0.126240506768227,-0.0174046004526776,-0.108835906315549,"Renovación Nacional","Renovación Nacional, Evopoli e Independientes","oficialismo"
"raw_lop025_2d","872","Jaime Mulet Martínez",0.214790597558022,-0.955464482307434,-0.035430739493357,-0.920033742814077,"Federación Regionalista Verde Social","Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes","oposicion"
"raw_lop025_2d","915","Germán Verdugo Soto",-0.888938307762146,-0.158647194504738,-0.00177896222233997,-0.156868232282398,"Partido Nacional Libertario","Comité Partido Nacional Libertarios","no_alineado"
"raw_lop025_2d","986","Marcela Hernando Pérez",0.337684094905853,-0.182344928383827,-0.0115947972672798,-0.170750131116547,"Partido Radical de Chile","Socialista, Liberal, Radical e Independientes","oposicion"
"raw_lop025_2d","1009","Jorge Alessandri Vergara",-0.880603194236755,0.0699620991945267,-0.00370372699645438,0.0736658261909811,"Unión Demócrata Independiente","Unión Demócrata Independiente","oficialismo"
"raw_lop025_2d","1012","Boris Barrera Moreno",0.94821172952652,0.317638963460922,0.188753648504888,0.128885314956034,"Partido Comunista","Comité Comunista e Independientes","oposicion"
"raw_lop025_2d","1013","Alejandro Bernales Maldonado",0.265578716993332,-0.344935089349747,-0.026250158563626,-0.318684930786121,"Partido Liberal de Chile","Socialista, Liberal, Radical e Independientes","oposicion"
"raw_lop025_2d","1015","Jorge Brito Hasbún",0.764837205410004,-0.00829486642032862,0.114245650828806,-0.122540517249135,"Frente Amplio","Frente Amplio","oposicion"
"raw_lop025_2d","1017","Álvaro Carter Fernández",-0.981794893741608,0.189905539155006,0.0213830291237413,0.168522510031265,"Partido Republicano","Comité Partido Republicano","oficialismo"
"raw_lop025_2d","1021","Andrés Celis Montt",-0.762457489967346,-0.291605323553085,-0.0282519468983742,-0.263353376654711,"Renovación Nacional","Renovación Nacional, Evopoli e Independientes","oficialismo"
"raw_lop025_2d","1025","Catalina Del Real Mihovilovic",-0.979868829250336,0.190834492444992,0.0208705483625276,0.169963944082464,"Partido Republicano","Comité Partido Republicano","oficialismo"
"raw_lop025_2d","1028","Eduardo Durán Salinas",-0.729209840297699,0.0414980873465538,-0.0342391006703139,0.0757371880168677,"Renovación Nacional","Renovación Nacional, Evopoli e Independientes","oficialismo"
"raw_lop025_2d","1038","Marcos Ilabaca Cerda",0.578047096729279,0.119879595935345,0.0510015307350794,0.0688780652002656,"Partido Socialista","Socialista, Liberal, Radical e Independientes","oposicion"
"raw_lop025_2d","1039","Pamela Jiles Moreno",0.210526883602142,0.977588057518005,-0.0361585089142616,1.01374656643227,"Partido de la Gente","Comité Partido de la Gente","no_alineado"
"raw_lop025_2d","1044","Raúl Leiva Carvajal",0.519877552986145,0.0593373998999596,0.0339135533266606,0.025423846573299,"Partido Socialista","Socialista, Liberal, Radical e Independientes","oposicion"
"raw_lop025_2d","1054","Francesca Muñoz González",-0.72823029756546,-0.0520207658410072,-0.0344093595683685,-0.0176114062726386,"Partido Social Cristiano","Por definir","oficialismo"
"raw_lop025_2d","1056","Emilia Nuyado Ancapichun",0.657104313373566,0.0334914550185204,0.0762105925631664,-0.042719137544646,"Partido Socialista","Socialista, Liberal, Radical e Independientes","oposicion"
"raw_lop025_2d","1059","Ximena Ossandón Irarrázabal",-0.772171497344971,-0.255569875240326,-0.026426310395004,-0.229143564845322,"Renovación Nacional","Renovación Nacional, Evopoli e Independientes","oficialismo"
"raw_lop025_2d","1060","Luis Pardo Sáinz",-0.763909876346588,-0.141075596213341,-0.0279811830703599,-0.113094413142981,"Renovación Nacional","Renovación Nacional, Evopoli e Independientes","oficialismo"
"raw_lop025_2d","1061","Andrea Parra Sauterel",0.398261159658432,-0.189071416854858,0.00218813375532703,-0.191259550610185,"Partido Por la Democracia","Partido Por la Democracia e Independientes","oposicion"
"raw_lop025_2d","1062","Joanna Pérez Olea",-0.695723831653595,0.111542880535126,-0.0398602862387322,0.151403166773858,"Partido Demócratas Chile","Renovación Nacional, Evopoli e Independientes","oficialismo"
"raw_lop025_2d","1065","Guillermo Ramírez Diez",-0.868340373039246,-0.123934552073479,-0.00648926935701158,-0.117445282716467,"Unión Demócrata Independiente","Unión Demócrata Independiente","oficialismo"
"raw_lop025_2d","1073","Juan Santana Castillo",0.762712180614471,0.103357456624508,0.11345434773481,-0.0100968911103017,"Partido Socialista","Socialista, Liberal, Radical e Independientes","oposicion"
"raw_lop025_2d","1074","Marisela Santibáñez Novoa",0.814282953739166,0.561802089214325,0.133124527695786,0.428677561518539,"Independientes","Comité Comunista e Independientes","oposicion"
"raw_lop025_2d","1075","Diego Schalper Sepúlveda",-0.809112787246704,-0.347766518592834,-0.0191682534520071,-0.328598265140827,"Renovación Nacional","Renovación Nacional, Evopoli e Independientes","oficialismo"
"raw_lop025_2d","1077","Raúl Soto Mardones",0.403608471155167,-0.0853957086801529,0.00346929583419253,-0.0888650045143454,"Partido Por la Democracia","Partido Por la Democracia e Independientes","oposicion"
"raw_lop025_2d","1082","Cristóbal Urruticoechea Ríos",-0.942367136478424,-0.334580391645432,0.0111627771773338,-0.345743168822766,"Partido Nacional Libertario","Comité Partido Nacional Libertarios","no_alineado"
"raw_lop025_2d","1086","Gonzalo Winter Etcheberry",0.726726412773132,0.0130059104412794,0.100305143335805,-0.0872992328945258,"Frente Amplio","Frente Amplio","oposicion"
"raw_lop025_2d","1087","Gael Yeomans Araya",0.739563047885895,0.013785389252007,0.104941278257201,-0.0911558890051936,"Frente Amplio","Frente Amplio","oposicion"
"raw_lop025_2d","1099","Jaime Araya Guerrero",0.435773193836212,-0.129405915737152,0.0113964150805861,-0.140802330817738,"Independientes","Partido Por la Democracia e Independientes","oposicion"
"raw_lop025_2d","1100","Cristián Araya Lerdo de Tejada",-0.987650632858276,0.156672537326813,0.0229494424842712,0.133723094842542,"Partido Republicano","Comité Partido Republicano","oficialismo"
"raw_lop025_2d","1102","Roberto Arroyo Muñoz",-0.686586737632751,-0.0616929642856121,-0.041322838876447,-0.0203701254091651,"Partido Social Cristiano","Por definir","oficialismo"
"raw_lop025_2d","1104","Chiara Barchiesi Chávez",-0.988360941410065,0.152127578854561,0.0231403037996193,0.128987275054942,"Partido Republicano","Comité Partido Republicano","oficialismo"
"raw_lop025_2d","1105","Héctor Barría Angulo",0.278631538152695,-0.856931746006012,-0.0237382230485121,-0.8331935229575,"Partido Demócrata Cristiano","Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes","oposicion"
"raw_lop025_2d","1108","Juan Carlos Beltrán Silva",-0.75373238325119,-0.226712360978127,-0.0298622927026203,-0.196850068275507,"Renovación Nacional","Renovación Nacional, Evopoli e Independientes","oficialismo"
"raw_lop025_2d","1110","Carlos Bianchi Chelech",0.336065381765366,-0.0703259408473969,-0.0119446768380759,-0.058381264009321,"Independientes","Partido Por la Democracia e Independientes","oposicion"
"raw_lop025_2d","1114","Félix Bugueño Sotelo",0.677100598812103,-0.0793193802237511,0.082949255612216,-0.162268635835967,"Frente Amplio","Frente Amplio","oposicion"
"raw_lop025_2d","1116","Felipe Camaño Cárdenas",0.215516358613968,-0.733121335506439,-0.0353061974101384,-0.697815138096301,"Independientes","Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes","oposicion"
"raw_lop025_2d","1117","Nathalie Castillo Rojas",0.905264675617218,0.424847960472107,0.170200042470276,0.254647918001831,"Partido Comunista","Comité Comunista e Independientes","oposicion"
