"diputado_id","spec_id","diputado_nombre","binary_votes_selected","dimension_1_raw","dimension_2_raw","se_1d","se_2d","gmp","correctly_classified","dimension_1_aligned","dimension_2_aligned","modal_party","modal_party_share","modal_caucus","modal_caucus_share","modal_alignment","modal_alignment_share"
"1012","raw_lop050_2d","Boris Barrera Moreno",263,0.943687796592712,0.330837547779083,0,0,0.972099661827087,0.988593155893536,0.970191388187844,0.336409079679771,"Partido Comunista",1,"Comité Comunista e Independientes",1,"oposicion",1
"1013","raw_lop025_2d","Alejandro Bernales Maldonado",242,0.265578716993332,-0.344935089349747,0,0,0.782537341117859,0.892561983471074,0.265578716993332,-0.344935089349747,"Partido Liberal de Chile",1,"Socialista, Liberal, Radical e Independientes",1,"oposicion",1
"1013","raw_lop050_2d","Alejandro Bernales Maldonado",238,0.227789044380188,-0.270590096712112,0,0,0.780535042285919,0.890756302521008,0.249620667237653,-0.26871145796869,"Partido Liberal de Chile",1,"Socialista, Liberal, Radical e Independientes",1,"oposicion",1
"1013","cap20_balanced_lop025_2d","Alejandro Bernales Maldonado",148,0.435097277164459,-0.321383595466614,0,0,0.875819623470306,0.966216216216216,0.283932536615209,-0.276284628623753,"Partido Liberal de Chile",1,"Socialista, Liberal, Radical e Independientes",1,"oposicion",1
"1015","raw_lop050_2d","Jorge Brito Hasbún",232,0.747379183769226,-0.0675258114933968,0,0,0.938240349292755,0.987068965517241,0.772557304442968,-0.0644531148457934,"Frente Amplio",1,"Frente Amplio",1,"oposicion",1
"1015","raw_lop025_2d","Jorge Brito Hasbún",237,0.764837205410004,-0.00829486642032862,0,0,0.935809075832367,0.987341772151899,0.764837205410004,-0.00829486642032862,"Frente Amplio",1,"Frente Amplio",1,"oposicion",1
"1015","cap20_balanced_lop025_2d","Jorge Brito Hasbún",134,0.978117644786835,-0.0872887447476387,0,0,0.964998245239258,0.992537313432836,0.7879350789357,-0.0467414322659624,"Frente Amplio",1,"Frente Amplio",1,"oposicion",1
"1017","cap20_balanced_lop025_2d","Álvaro Carter Fernández",148,-0.779291391372681,-0.211598500609398,0,0,0.975180089473724,1,-0.855264510386557,-0.196623762186982,"Partido Republicano",1,"Comité Partido Republicano",1,"oficialismo",1
"1017","raw_lop050_2d","Álvaro Carter Fernández",249,-0.982547461986542,0.170445665717125,0,0,0.980021357536316,0.991967871485944,-0.968337510490911,0.175362088420115,"Partido Republicano",1,"Comité Partido Republicano",1,"oficialismo",1
"1017","raw_lop025_2d","Álvaro Carter Fernández",255,-0.981794893741608,0.189905539155006,0,0,0.984250485897064,0.996078431372549,-0.981794893741608,0.189905539155006,"Partido Republicano",1,"Comité Partido Republicano",1,"oficialismo",1
"1021","raw_lop025_2d","Andrés Celis Montt",241,-0.762457489967346,-0.291605323553085,0,0,0.897113740444183,0.954356846473029,-0.762457489967346,-0.291605323553085,"Renovación Nacional",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"1021","cap20_balanced_lop025_2d","Andrés Celis Montt",140,-0.744300842285156,0.536040544509888,0,0,0.895601809024811,0.964285714285714,-0.836745386967192,0.504102422710669,"Renovación Nacional",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"1021","raw_lop050_2d","Andrés Celis Montt",235,-0.783490180969238,-0.274716824293137,0,0,0.891144275665283,0.953191489361702,-0.768097539565598,-0.272672302630232,"Renovación Nacional",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"1025","raw_lop025_2d","Catalina Del Real Mihovilovic",227,-0.979868829250336,0.190834492444992,0,0,0.982703864574432,0.995594713656388,-0.979868829250336,0.190834492444992,"Partido Republicano",1,"Comité Partido Republicano",1,"oficialismo",1
"1025","raw_lop050_2d","Catalina Del Real Mihovilovic",222,-0.979887306690216,0.172218754887581,0,0,0.978181183338165,0.990990990990991,-0.965660082701773,0.17714596030499,"Partido Republicano",1,"Comité Partido Republicano",1,"oficialismo",1
"1025","cap20_balanced_lop025_2d","Catalina Del Real Mihovilovic",120,-0.771336436271667,-0.249488770961761,0,0,0.972525298595428,1,-0.847093889523056,-0.231951142486454,"Partido Republicano",1,"Comité Partido Republicano",1,"oficialismo",1
"1028","raw_lop050_2d","Eduardo Durán Salinas",248,-0.74542760848999,0.0932610034942627,0,0,0.950155735015869,0.971774193548387,-0.729722725694645,0.0976409829452149,"Renovación Nacional",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"1028","raw_lop025_2d","Eduardo Durán Salinas",255,-0.729209840297699,0.0414980873465538,0,0,0.950445353984833,0.976470588235294,-0.729209840297699,0.0414980873465538,"Renovación Nacional",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"1028","cap20_balanced_lop025_2d","Eduardo Durán Salinas",151,-0.615793645381927,0.214115664362907,0,0,0.94349992275238,0.980132450331126,-0.710282771248504,0.205113172717648,"Renovación Nacional",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"1038","raw_lop025_2d","Marcos Ilabaca Cerda",227,0.578047096729279,0.119879595935345,0,0,0.889515995979309,0.960352422907489,0.578047096729279,0.119879595935345,"Partido Socialista",1,"Socialista, Liberal, Radical e Independientes",1,"oposicion",1
"1038","cap20_balanced_lop025_2d","Marcos Ilabaca Cerda",128,0.664834380149841,-0.0120573043823242,0,0,0.860130846500397,0.953125,0.493155697566063,0.0177333694922584,"Partido Socialista",1,"Socialista, Liberal, Radical e Independientes",1,"oposicion",1
"1038","raw_lop050_2d","Marcos Ilabaca Cerda",222,0.537046909332275,0.179566353559494,0,0,0.888864755630493,0.954954954954955,0.560932923344156,0.184252100817864,"Partido Socialista",1,"Socialista, Liberal, Radical e Independientes",1,"oposicion",1
"1039","raw_lop050_2d","Pamela Jiles Moreno",250,0.184137508273125,0.982900440692902,0,0,0.834153473377228,0.94,0.205929406805042,0.992767582607467,"Partido de la Gente",1,"Comité Partido de la Gente",1,"no_alineado",1
"1039","raw_lop025_2d","Pamela Jiles Moreno",257,0.210526883602142,0.977588057518005,0,0,0.836986601352692,0.945525291828794,0.210526883602142,0.977588057518005,"Partido de la Gente",1,"Comité Partido de la Gente",1,"no_alineado",1
"1039","cap20_balanced_lop025_2d","Pamela Jiles Moreno",155,0.250381797552109,0.968147158622742,0,0,0.908165872097015,0.948387096774194,0.0864030894295254,0.927661415184107,"Partido de la Gente",1,"Comité Partido de la Gente",1,"no_alineado",1
"1044","raw_lop025_2d","Raúl Leiva Carvajal",231,0.519877552986145,0.0593373998999596,0,0,0.917825162410736,0.974025974025974,0.519877552986145,0.0593373998999596,"Partido Socialista",1,"Socialista, Liberal, Radical e Independientes",1,"oposicion",1
"1044","cap20_balanced_lop025_2d","Raúl Leiva Carvajal",125,0.60971999168396,-0.0808605626225471,0,0,0.930572330951691,0.976,0.44285966916248,-0.0477413545250911,"Partido Socialista",1,"Socialista, Liberal, Radical e Independientes",1,"oposicion",1
"1044","raw_lop050_2d","Raúl Leiva Carvajal",226,0.480719536542892,0.0956216752529144,0,0,0.915985107421875,0.973451327433628,0.504230998063201,0.0997837008839188,"Partido Socialista",1,"Socialista, Liberal, Radical e Independientes",1,"oposicion",1
"1054","raw_lop050_2d","Francesca Muñoz González",247,-0.746369421482086,-0.100796595215797,0,0,0.940894782543182,0.97165991902834,-0.730707407923922,-0.0976518830455348,"Partido Social Cristiano",0.535714285714286,"Por definir",1,"oficialismo",1
"1054","raw_lop025_2d","Francesca Muñoz González",254,-0.72823029756546,-0.0520207658410072,0,0,0.943242847919464,0.97244094488189,-0.72823029756546,-0.0520207658410072,"Partido Social Cristiano",0.535714285714286,"Por definir",1,"oficialismo",1
"1054","cap20_balanced_lop025_2d","Francesca Muñoz González",149,-0.624751508235931,-0.0416289865970612,0,0,0.947383284568787,0.979865771812081,-0.713797899744466,-0.0345266364298185,"Partido Social Cristiano",0.535714285714286,"Por definir",1,"oficialismo",1
"1056","raw_lop025_2d","Emilia Nuyado Ancapichun",269,0.657104313373566,0.0334914550185204,0,0,0.915209949016571,0.970260223048327,0.657104313373566,0.0334914550185204,"Partido Socialista",1,"Socialista, Liberal, Radical e Independientes",1,"oposicion",1
"1056","cap20_balanced_lop025_2d","Emilia Nuyado Ancapichun",163,0.750774323940277,-0.21232545375824,0,0,0.924765229225159,0.975460122699387,0.57744212300111,-0.168152374831911,"Partido Socialista",1,"Socialista, Liberal, Radical e Independientes",1,"oposicion",1
"1056","raw_lop050_2d","Emilia Nuyado Ancapichun",265,0.618428230285645,0.074003703892231,0,0,0.91409707069397,0.973584905660377,0.642812291296232,0.0780019347838117,"Partido Socialista",1,"Socialista, Liberal, Radical e Independientes",1,"oposicion",1
"1059","raw_lop050_2d","Ximena Ossandón Irarrázabal",246,-0.792964279651642,-0.226265594363213,0,0,0.873315572738647,0.959349593495935,-0.777622747730067,-0.223910813111139,"Renovación Nacional",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"1059","raw_lop025_2d","Ximena Ossandón Irarrázabal",253,-0.772171497344971,-0.255569875240326,0,0,0.879164159297943,0.960474308300395,-0.772171497344971,-0.255569875240326,"Renovación Nacional",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"1059","cap20_balanced_lop025_2d","Ximena Ossandón Irarrázabal",149,-0.736283421516418,0.478792309761047,0,0,0.859388470649719,0.953020134228188,-0.828147451785394,0.450650203327188,"Renovación Nacional",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"1060","raw_lop025_2d","Luis Pardo Sáinz",261,-0.763909876346588,-0.141075596213341,0,0,0.947931826114655,0.988505747126437,-0.763909876346588,-0.141075596213341,"Renovación Nacional",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"1060","cap20_balanced_lop025_2d","Luis Pardo Sáinz",155,-0.683753311634064,0.305535018444061,0,0,0.9593745470047,1,-0.775659301454175,0.289419802206971,"Renovación Nacional",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"1060","raw_lop050_2d","Luis Pardo Sáinz",254,-0.782606601715088,-0.106655925512314,0,0,0.94497162103653,0.984251968503937,-0.767176401500075,-0.103541630618084,"Renovación Nacional",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"1061","raw_lop025_2d","Andrea Parra Sauterel",252,0.398261159658432,-0.189071416854858,0,0,0.883659780025482,0.964285714285714,0.398261159658432,-0.189071416854858,"Partido Por la Democracia",1,"Partido Por la Democracia e Independientes",1,"oposicion",1
"1061","raw_lop050_2d","Andrea Parra Sauterel",247,0.364102780818939,-0.185939818620682,0,0,0.881884515285492,0.951417004048583,0.38681831457696,-0.183548164502645,"Partido Por la Democracia",1,"Partido Por la Democracia e Independientes",1,"oposicion",1
"1061","cap20_balanced_lop025_2d","Andrea Parra Sauterel",152,0.438447922468185,-0.228003233671188,0,0,0.88328617811203,0.953947368421053,0.285290787955222,-0.188783126343191,"Partido Por la Democracia",1,"Partido Por la Democracia e Independientes",1,"oposicion",1
"1062","raw_lop050_2d","Joanna Pérez Olea",218,-0.710940539836884,0.153302654623985,0,0,0.913779437541962,0.963302752293578,-0.69500469029442,0.158058329645537,"Partido Demócratas Chile",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"1062","raw_lop025_2d","Joanna Pérez Olea",223,-0.695723831653595,0.111542880535126,0,0,0.91364848613739,0.973094170403587,-0.695723831653595,0.111542880535126,"Partido Demócratas Chile",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"1062","cap20_balanced_lop025_2d","Joanna Pérez Olea",124,-0.581270754337311,0.159031555056572,0,0,0.855343401432037,0.959677419354839,-0.676907398836984,0.154192358610075,"Partido Demócratas Chile",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"1065","cap20_balanced_lop025_2d","Guillermo Ramírez Diez",143,-0.713987171649933,0.123643174767494,0,0,0.973655462265015,0.993006993006993,-0.800503533668501,0.118527461498822,"Unión Demócrata Independiente",1,"Unión Demócrata Independiente",1,"oficialismo",1
"1065","raw_lop050_2d","Guillermo Ramírez Diez",243,-0.881006598472595,-0.168185919523239,0,0,0.976291358470917,0.995884773662551,-0.866214542394894,-0.1654446513412,"Unión Demócrata Independiente",1,"Unión Demócrata Independiente",1,"oficialismo",1
"1065","raw_lop025_2d","Guillermo Ramírez Diez",249,-0.868340373039246,-0.123934552073479,0,0,0.977005362510681,0.995983935742972,-0.868340373039246,-0.123934552073479,"Unión Demócrata Independiente",1,"Unión Demócrata Independiente",1,"oficialismo",1
"1073","raw_lop025_2d","Juan Santana Castillo",250,0.762712180614471,0.103357456624508,0,0,0.951097905635834,0.988,0.762712180614471,0.103357456624508,"Partido Socialista",1,"Socialista, Liberal, Radical e Independientes",1,"oposicion",1
"1073","cap20_balanced_lop025_2d","Juan Santana Castillo",146,0.998141348361969,0.043973084539175,0,0,0.973893046379089,1,0.804183570971147,0.0765484409434722,"Partido Socialista",1,"Socialista, Liberal, Radical e Independientes",1,"oposicion",1
"1073","raw_lop050_2d","Juan Santana Castillo",246,0.736829578876495,0.0781161189079285,0,0,0.952305853366852,0.991869918699187,0.761968210384492,0.0821180333476972,"Partido Socialista",1,"Socialista, Liberal, Radical e Independientes",1,"oposicion",1
"1074","raw_lop025_2d","Marisela Santibáñez Novoa",238,0.814282953739166,0.561802089214325,0,0,0.954781889915466,0.983193277310924,0.814282953739166,0.561802089214325,"Independientes",1,"Comité Comunista e Independientes",1,"oposicion",1
"1074","raw_lop050_2d","Marisela Santibáñez Novoa",233,0.816654086112976,0.56066769361496,0,0,0.953855156898499,0.978540772532189,0.842392602147362,0.567726551656687,"Independientes",1,"Comité Comunista e Independientes",1,"oposicion",1
"1074","cap20_balanced_lop025_2d","Marisela Santibáñez Novoa",131,0.917366564273834,0.165265023708344,0,0,0.951403558254242,0.984732824427481,0.726238316065576,0.188582408761824,"Independientes",1,"Comité Comunista e Independientes",1,"oposicion",1
"1075","raw_lop050_2d","Diego Schalper Sepúlveda",241,-0.831647872924805,-0.328700721263885,0,0,0.944116711616516,0.987551867219917,-0.816572079732866,-0.326990731566167,"Renovación Nacional",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"1075","raw_lop025_2d","Diego Schalper Sepúlveda",248,-0.809112787246704,-0.347766518592834,0,0,0.949986159801483,0.991935483870968,-0.809112787246704,-0.347766518592834,"Renovación Nacional",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"1075","cap20_balanced_lop025_2d","Diego Schalper Sepúlveda",143,-0.831602573394775,0.44123774766922,0,0,0.970130681991577,0.993006993006993,-0.916685000276664,0.413669503216208,"Renovación Nacional",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"1077","raw_lop025_2d","Raúl Soto Mardones",237,0.403608471155167,-0.0853957086801529,0,0,0.889520347118378,0.957805907172996,0.403608471155167,-0.0853957086801529,"Partido Por la Democracia",1,"Partido Por la Democracia e Independientes",1,"oposicion",1
"1077","cap20_balanced_lop025_2d","Raúl Soto Mardones",137,0.452450305223465,-0.0152034377679229,0,0,0.906429708003998,0.970802919708029,0.294347625483768,0.0107409380670669,"Partido Por la Democracia",1,"Partido Por la Democracia e Independientes",1,"oposicion",1
"1077","raw_lop050_2d","Raúl Soto Mardones",231,0.369484663009644,-0.0799414590001106,0,0,0.88651043176651,0.956709956709957,0.392254600894637,-0.0768760006731953,"Partido Por la Democracia",1,"Partido Por la Democracia e Independientes",1,"oposicion",1
"1082","raw_lop050_2d","Cristóbal Urruticoechea Ríos",233,-0.946775078773499,-0.32189604640007,0,0,0.949236154556274,0.982832618025751,-0.932430937232362,-0.320120859932103,"Partido Nacional Libertario",1,"Comité Partido Nacional Libertarios",1,"no_alineado",1
"1082","raw_lop025_2d","Cristóbal Urruticoechea Ríos",239,-0.942367136478424,-0.334580391645432,0,0,0.957463264465332,0.98744769874477,-0.942367136478424,-0.334580391645432,"Partido Nacional Libertario",1,"Comité Partido Nacional Libertarios",1,"no_alineado",1
"1082","cap20_balanced_lop025_2d","Cristóbal Urruticoechea Ríos",136,-0.990604281425476,0.0326138697564602,0,0,0.92225307226181,0.970588235294118,-1.05778244627231,0.0280208967590452,"Partido Nacional Libertario",1,"Comité Partido Nacional Libertarios",1,"no_alineado",1
"1086","raw_lop050_2d","Gonzalo Winter Etcheberry",224,0.693814516067505,-0.0906676203012466,0,0,0.907771646976471,0.973214285714286,0.718647225986027,-0.0877320754853976,"Frente Amplio",1,"Frente Amplio",1,"oposicion",1
"1086","cap20_balanced_lop025_2d","Gonzalo Winter Etcheberry",132,0.891381800174713,-0.0587343834340572,0,0,0.922611236572266,0.96969696969697,0.706175036676051,-0.021656825159022,"Frente Amplio",1,"Frente Amplio",1,"oposicion",1
"1086","raw_lop025_2d","Gonzalo Winter Etcheberry",228,0.726726412773132,0.0130059104412794,0,0,0.905141472816467,0.978070175438597,0.726726412773132,0.0130059104412794,"Frente Amplio",1,"Frente Amplio",1,"oposicion",1
"1087","cap20_balanced_lop025_2d","Gael Yeomans Araya",148,0.922874629497528,0.0899138823151588,0,0,0.96470308303833,0.993243243243243,0.732831501900764,0.118131536075264,"Frente Amplio",1,"Frente Amplio",1,"oposicion",1
"1087","raw_lop050_2d","Gael Yeomans Araya",249,0.716025292873383,-0.00535261351615191,0,0,0.945361912250519,0.991967871485944,0.741015616127922,-0.00187814046272103,"Frente Amplio",1,"Frente Amplio",1,"oposicion",1
"1087","raw_lop025_2d","Gael Yeomans Araya",253,0.739563047885895,0.013785389252007,0,0,0.94447135925293,0.992094861660079,0.739563047885895,0.013785389252007,"Frente Amplio",1,"Frente Amplio",1,"oposicion",1
