"vote_id","boletin","fecha","spec_id","spread_1d","spread_2d","midpoint_1d","midpoint_2d","gmp","apre","weighted_spread_1","weighted_spread_2","relative_dim2_loading","topic_primary","topic_secondary","topic_method","topic_confidence","topic_source_layer","taxonomy_version","tipo_votacion_proyecto","resultado"
"89864","18189-14","2026-08-19","raw_lop025_2d",0.204413294792175,-0.40158748626709,-0.232359483838081,0.0719282478094101,0.756604611873627,0.807017543859649,0.130122489078133,-0.202029775060169,0.840712126661911,"Vivienda y territorio","","institucional_destinacion",0.97,"period_project","institutional-hybrid-v0.3","Particular","Aprobado"
"88695","18156-04","2026-04-21","raw_lop025_2d",0.314862161874771,0.609953343868256,0.13661040365696,0.0257771480828524,0.943703293800354,0.96,0.200430447840105,0.306854025767486,0.837225556687951,"Educación","","institucional_destinacion",0.97,"period_project","institutional-hybrid-v0.3","Particular","Aprobado"
"88934","18216-05","2026-05-20","raw_lop025_2d",0.283407926559448,0.52234947681427,0.663341224193573,0.169899150729179,0.833734273910522,0.6,0.180407760981893,0.262782459395155,0.824415483066591,"Economía y hacienda","Trabajo y seguridad social | Desarrollo social | Infraestructura y obras públicas","revision_semantica",0.91,"period_project","institutional-hybrid-v0.3","Particular","Aprobado"
"88930","18216-05","2026-05-20","raw_lop025_2d",0.177100971341133,0.325115084648132,0.207178637385368,0.100925587117672,0.709047973155975,0.480769230769231,0.112736401184144,0.163558202549282,0.823359473207659,"Economía y hacienda","Trabajo y seguridad social | Desarrollo social | Infraestructura y obras públicas","revision_semantica",0.91,"period_project","institutional-hybrid-v0.3","Particular","Aprobado"
"89543","18384-08","2026-07-22","raw_lop025_2d",0.330000042915344,-0.568363189697266,0.810660362243652,-0.322723597288132,0.91338586807251,0,0.210066703458267,-0.285930939816808,0.805888546908976,"Minería y energía","","institucional_destinacion",0.97,"period_project","institutional-hybrid-v0.3","Única","Aprobado"
"88684","18156-04","2026-04-21","raw_lop025_2d",0.332085967063904,0.563774406909943,0.0550964847207069,0.0430957973003387,0.957569897174835,0.979591836734694,0.211394531193321,0.283622424770833,0.801790691808234,"Educación","","institucional_destinacion",0.97,"period_project","institutional-hybrid-v0.3","Particular","Aprobado"
"88702","18156-04","2026-04-21","raw_lop025_2d",0.3284050822258,0.55235368013382,0.0684682130813599,-0.0112089989706874,0.933816730976105,0.947368421052632,0.209051406213945,0.277876909931586,0.799110545467556,"Educación","","institucional_destinacion",0.97,"period_project","institutional-hybrid-v0.3","Particular","Aprobado"
"88813","14309-04","2026-05-11","raw_lop025_2d",-0.351269543170929,-0.55972820520401,0.0093913534656167,-0.134716793894768,0.947704255580902,1,-0.223606137463861,-0.281586870256682,0.783120281338209,"Educación","Economía y hacienda","institucional_destinacion",0.97,"inherited_rollcall_project","institutional-hybrid-v0.3","Única","Unánime"
"89931","17818-24","2026-09-01","raw_lop025_2d",-0.383366674184799,0.60047847032547,0.00310143455862999,0.139441683888435,0.926407217979431,0.953125,-0.244038069662977,0.302087426617782,0.777885317345441,"Cultura y comunicaciones","","institucional_destinacion",0.97,"inherited_rollcall_project","institutional-hybrid-v0.3","Particular","Unánime"
"88504","10634-29","2026-03-25","raw_lop025_2d",-1,-1.54854929447174,-0.963126540184021,-0.225674748420715,0.968096911907196,1,-0.636565685272217,-0.779040872363325,0.774362158224909,"Deportes","Economía y hacienda","institucional_destinacion",0.97,"inherited_rollcall_project","institutional-hybrid-v0.3","Única","Aprobado"
