"spec_id","lop","bill_cap","selected_rollcalls","estimated_rollcalls","estimated_members","anchor1_id","anchor1_name","anchor2_id","anchor2_name","correct_classification_1d","correct_classification_2d","delta_correct_classification","apre_1d","apre_2d","delta_apre","gmp_1d","gmp_2d","delta_gmp","eigenvalue_1","eigenvalue_2","beta","weight_1","weight_2"
"raw_lop025_2d",0.025,NA,276,276,154,"1012","Boris Barrera Moreno","1193","Patricio Briones Moller",95.6995620727539,97.2854309082031,1.58586883544922,0.882481634616852,0.925818741321564,0.0433371067047119,0.889985680580139,0.923117160797119,0.03313148021698,24.4261722564697,0.663837969303131,19.4808483123779,0.636565685272217,0.503077864646912
"raw_lop050_2d",0.05,NA,269,269,154,"1012","Boris Barrera Moreno","1193","Patricio Briones Moller",95.6388549804688,97.1101760864258,1.47132110595703,0.883197724819183,0.922603487968445,0.0394057631492615,0.892131984233856,0.921830296516418,0.0296983122825623,25.1484069824219,0.687808871269226,18.7220115661621,0.657294988632202,0.50301992893219
"cap20_balanced_lop025_2d",0.025,20,169,169,154,"1171","Emilia Schneider Videla","1255","Eileen Urqueta Rojas",95.9792709350586,97.5953979492188,1.61612701416016,0.887260317802429,0.932576060295105,0.0453157424926758,0.894071161746979,0.929351389408112,0.0352802276611328,23.3206405639648,0.6080641746521,23.9596500396729,0.600888848304749,0.522193193435669
